epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6155,2.70001,5e-05,1.21842,0.05741,0.04157,0.03952,0.01699,2.93579,3e-05,1.76716,0.0704286,0.00328571,0.00328571
2,111.01,2.73592,3e-05,1.19514,0.05403,0.02967,0.03098,0.01326,3.10303,4e-05,1.62322,0.0402975,0.00648799,0.00648799
3,166.451,2.68535,3e-05,1.19,0.48205,0.05709,0.03319,0.01466,2.70963,3e-05,1.41613,0.0100345,0.00955827,0.00955827
4,220.598,2.65106,3e-05,1.19578,0.47215,0.0688,0.07378,0.03983,2.63187,3e-05,1.19554,0.009406,0.009406,0.009406
5,274.937,2.52489,3e-05,1.15649,0.46827,0.06847,0.04926,0.02368,2.39528,3e-05,1.21329,0.009208,0.009208,0.009208
6,328.511,2.42975,3e-05,1.14252,0.26137,0.05942,0.03281,0.01675,2.40565,4e-05,1.14812,0.00901,0.00901,0.00901
7,381.554,2.43192,4e-05,1.14105,0.08281,0.06537,0.0437,0.02007,2.45217,0.00018,1.23829,0.008812,0.008812,0.008812
8,438.875,2.43145,3e-05,1.1246,0.25826,0.07396,0.02574,0.0108,2.363,3e-05,1.14973,0.008614,0.008614,0.008614
9,493.061,2.35736,3e-05,1.10706,0.28706,0.06073,0.05096,0.02388,2.48343,3e-05,1.14877,0.008416,0.008416,0.008416
10,547.264,2.31032,3e-05,1.10514,0.27892,0.09438,0.05474,0.02693,2.17752,3e-05,1.06687,0.008218,0.008218,0.008218
11,601.856,2.22358,3e-05,1.0988,0.09223,0.05804,0.05501,0.02823,2.25829,3e-05,1.09339,0.00802,0.00802,0.00802
12,656.589,2.30715,3e-05,1.09625,0.09504,0.10095,0.05759,0.02874,2.20918,3e-05,1.07397,0.007822,0.007822,0.007822
13,712.921,2.20685,3e-05,1.08485,0.0991,0.08296,0.06639,0.03809,2.0943,3e-05,1.0715,0.007624,0.007624,0.007624
14,766.843,2.17332,3e-05,1.06754,0.08989,0.07435,0.052,0.02757,2.17395,5e-05,1.09738,0.007426,0.007426,0.007426
15,820.606,2.16422,3e-05,1.07168,0.07284,0.07122,0.05692,0.02996,2.13706,3e-05,1.04875,0.007228,0.007228,0.007228
16,876.379,2.23257,3e-05,1.05495,0.1145,0.10178,0.06561,0.03637,2.2507,3e-05,1.0502,0.00703,0.00703,0.00703
17,933.441,2.18506,3e-05,1.06763,0.30179,0.08666,0.08674,0.04231,2.25825,3e-05,1.09399,0.006832,0.006832,0.006832
18,988.138,2.13278,3e-05,1.05672,0.14467,0.04958,0.08621,0.05374,2.09782,4e-05,1.0806,0.006634,0.006634,0.006634
19,1041.81,2.16746,3e-05,1.04158,0.17335,0.1677,0.10027,0.05634,1.99468,3e-05,1.03773,0.006436,0.006436,0.006436
20,1097.3,2.04958,3e-05,1.04217,0.10214,0.16043,0.10165,0.05842,1.98281,3e-05,1.02594,0.006238,0.006238,0.006238
21,1151.57,2.07253,3e-05,1.02626,0.0646,0.09968,0.02623,0.01271,1.99061,4e-05,1.03517,0.00604,0.00604,0.00604
22,1207.71,2.03912,3e-05,1.04243,0.07496,0.14669,0.08168,0.04571,2.00732,3e-05,1.01207,0.005842,0.005842,0.005842
23,1264.32,2.06066,3e-05,1.02848,0.15165,0.13542,0.08465,0.04643,1.95248,3e-05,1.01714,0.005644,0.005644,0.005644
24,1321.57,2.03584,3e-05,1.0347,0.33793,0.14555,0.10468,0.05482,2.00632,3e-05,1.03681,0.005446,0.005446,0.005446
25,1377.92,2.04589,3e-05,1.02844,0.1479,0.15746,0.11976,0.0693,1.96167,3e-05,1.01058,0.005248,0.005248,0.005248
26,1430.73,2.03484,3e-05,1.0274,0.1518,0.10282,0.10694,0.06054,1.97805,3e-05,1.02422,0.00505,0.00505,0.00505
27,1485.95,2.03281,3e-05,1.02667,0.19362,0.12586,0.11273,0.06382,1.90817,4e-05,1.01234,0.004852,0.004852,0.004852
28,1540.91,2.01612,3e-05,1.01682,0.40555,0.1223,0.06557,0.03534,1.91814,3e-05,1.00073,0.004654,0.004654,0.004654
29,1595.71,1.9607,3e-05,1.01636,0.24704,0.10152,0.07615,0.04549,1.90906,5e-05,1.02711,0.004456,0.004456,0.004456
30,1651.17,1.95586,3e-05,1.01665,0.19946,0.15266,0.12952,0.06777,1.93157,3e-05,1.01948,0.004258,0.004258,0.004258
31,1705.21,1.97565,3e-05,1.01906,0.08089,0.15017,0.08628,0.04952,1.92455,3e-05,1.00107,0.00406,0.00406,0.00406
32,1761.59,1.97617,3e-05,1.00972,0.47479,0.13148,0.14453,0.0921,1.84231,3e-05,1.00497,0.003862,0.003862,0.003862
33,1819.45,2.0088,3e-05,1.00217,0.37489,0.12183,0.12253,0.06639,1.90269,3e-05,1.00024,0.003664,0.003664,0.003664
34,1871.34,1.91207,3e-05,1.01059,0.39263,0.16345,0.12588,0.07125,1.85506,3e-05,0.99631,0.003466,0.003466,0.003466
35,1926.81,1.88459,3e-05,0.99471,0.31578,0.15642,0.11992,0.06225,1.84754,3e-05,0.98438,0.003268,0.003268,0.003268
36,1980.81,1.88421,3e-05,1.00506,0.48471,0.14726,0.19058,0.11543,1.81861,3e-05,0.98188,0.00307,0.00307,0.00307
37,2035.55,1.95871,3e-05,0.99393,0.42963,0.13954,0.16347,0.08824,1.84164,3e-05,0.99217,0.002872,0.002872,0.002872
38,2090.58,1.92056,3e-05,0.99704,0.47247,0.18867,0.16715,0.09175,1.82167,3e-05,0.98992,0.002674,0.002674,0.002674
39,2145.01,1.93082,3e-05,0.98516,0.52033,0.16508,0.16424,0.09398,1.82015,3e-05,0.99747,0.002476,0.002476,0.002476
40,2198.54,1.91608,3e-05,0.9945,0.67863,0.12509,0.15704,0.0869,1.79381,3e-05,0.98168,0.002278,0.002278,0.002278
41,2247.1,1.83096,3e-05,1.0327,0.41416,0.15746,0.13861,0.07683,1.84619,4e-05,0.99438,0.00208,0.00208,0.00208
42,2295.69,1.80495,3e-05,1.02617,0.18079,0.21079,0.17178,0.09615,1.82163,3e-05,0.98153,0.001882,0.001882,0.001882
43,2344.59,1.82434,3e-05,1.02211,0.58834,0.09774,0.13505,0.08624,1.80006,3e-05,0.97297,0.001684,0.001684,0.001684
44,2393.21,1.83514,3e-05,1.01105,0.25418,0.17546,0.16075,0.08991,1.81114,3e-05,0.97967,0.001486,0.001486,0.001486
45,2441.97,1.77985,3e-05,1.00614,0.5271,0.15473,0.16968,0.09227,1.80084,3e-05,0.97441,0.001288,0.001288,0.001288
46,2490.93,1.77139,3e-05,1.00498,0.48407,0.17399,0.18856,0.1079,1.76053,3e-05,0.98217,0.00109,0.00109,0.00109
47,2539.52,1.80535,3e-05,0.99529,0.28528,0.19512,0.19716,0.11561,1.77682,3e-05,0.97429,0.000892,0.000892,0.000892
48,2587.75,1.77918,3e-05,0.99709,0.48329,0.18599,0.17967,0.10207,1.77629,3e-05,0.97472,0.000694,0.000694,0.000694
49,2636.34,1.72106,3e-05,1.00256,0.53466,0.17568,0.18144,0.09891,1.76538,3e-05,0.97138,0.000496,0.000496,0.000496
50,2685.6,1.74868,3e-05,0.99557,0.48965,0.17018,0.18479,0.10721,1.7684,3e-05,0.97411,0.000298,0.000298,0.000298
