epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.138,3.70722,3.48748,2.41159,0.04927,0.11568,0.05413,0.02165,2.67374,2.46917,1.69814,0.0700185,0.00333127,0.00333127
2,286.454,2.4117,2.36568,1.55699,0.33703,0.13117,0.09522,0.04666,2.07931,1.9169,1.38759,0.0399746,0.00662062,0.00662062
3,428.214,2.10778,2.02736,1.37985,0.19748,0.15483,0.12593,0.06401,1.92683,1.71718,1.30464,0.00988657,0.00986597,0.00986597
4,568.391,1.93657,1.83678,1.29576,0.22006,0.20292,0.15393,0.0805,1.76582,1.53555,1.23472,0.009802,0.009802,0.009802
5,705.574,1.8118,1.6674,1.23845,0.25077,0.21826,0.18333,0.09988,1.66065,1.45,1.17844,0.009736,0.009736,0.009736
6,843.788,1.73495,1.56431,1.19797,0.28934,0.23284,0.20373,0.10998,1.61947,1.36026,1.16125,0.00967,0.00967,0.00967
7,982.568,1.67454,1.48456,1.17598,0.34558,0.25169,0.22428,0.12638,1.55566,1.30257,1.13814,0.009604,0.009604,0.009604
8,1107.8,1.63173,1.42365,1.15663,0.3437,0.25102,0.23569,0.13222,1.52575,1.2484,1.12781,0.009538,0.009538,0.009538
9,1248.87,1.59793,1.38092,1.141,0.33971,0.27322,0.25824,0.14851,1.49102,1.22078,1.10603,0.009472,0.009472,0.009472
10,1388.96,1.56555,1.32644,1.12619,0.37547,0.27975,0.26494,0.15265,1.47263,1.20835,1.10045,0.009406,0.009406,0.009406
11,1530.07,1.55098,1.30541,1.116,0.37894,0.2858,0.27408,0.155,1.46132,1.18015,1.09064,0.00934,0.00934,0.00934
12,1673.07,1.52922,1.2786,1.1103,0.38425,0.30113,0.28913,0.16471,1.44729,1.15634,1.08285,0.009274,0.009274,0.009274
13,1813.98,1.52749,1.26515,1.09823,0.3792,0.30316,0.28975,0.16622,1.44922,1.15131,1.07392,0.009208,0.009208,0.009208
14,1953.01,1.51995,1.25063,1.09231,0.39677,0.31105,0.30353,0.17625,1.43243,1.13916,1.06512,0.009142,0.009142,0.009142
15,2094.27,1.50395,1.23279,1.0818,0.39792,0.31143,0.30499,0.1774,1.41967,1.12364,1.06125,0.009076,0.009076,0.009076
16,2236.83,1.49435,1.22227,1.077,0.42117,0.32055,0.3139,0.18043,1.40926,1.11203,1.05196,0.00901,0.00901,0.00901
17,2376.84,1.48374,1.20523,1.07338,0.3998,0.32117,0.31821,0.18441,1.40638,1.09913,1.05158,0.008944,0.008944,0.008944
18,2518.71,1.46724,1.18913,1.06337,0.40049,0.33115,0.32187,0.18707,1.39285,1.10221,1.04724,0.008878,0.008878,0.008878
19,2661.34,1.45857,1.17519,1.06462,0.43439,0.33311,0.33098,0.19374,1.38703,1.07579,1.04204,0.008812,0.008812,0.008812
20,2804.06,1.45765,1.16853,1.05916,0.50628,0.33307,0.33795,0.19881,1.37218,1.07508,1.03514,0.008746,0.008746,0.008746
21,2946.26,1.44217,1.1523,1.05597,0.41609,0.34478,0.33619,0.19796,1.37045,1.06363,1.03572,0.00868,0.00868,0.00868
22,3083.72,1.43466,1.14264,1.04845,0.43161,0.33846,0.34102,0.2013,1.3603,1.05564,1.03115,0.008614,0.008614,0.008614
23,3222.11,1.42395,1.13057,1.04979,0.42475,0.3418,0.34826,0.20618,1.35167,1.04402,1.02711,0.008548,0.008548,0.008548
24,3360.02,1.41972,1.12077,1.0464,0.44608,0.34353,0.34627,0.20518,1.35316,1.04026,1.02746,0.008482,0.008482,0.008482
25,3502.43,1.41055,1.1122,1.04395,0.44091,0.35232,0.35322,0.21077,1.34759,1.038,1.02521,0.008416,0.008416,0.008416
26,3644.31,1.40402,1.09994,1.04054,0.45438,0.34865,0.35316,0.20947,1.34477,1.03539,1.02302,0.00835,0.00835,0.00835
27,3786,1.40363,1.10042,1.03661,0.51408,0.35059,0.35388,0.20987,1.34007,1.02711,1.02147,0.008284,0.008284,0.008284
28,3926.34,1.39489,1.08865,1.03502,0.45363,0.34933,0.35803,0.21299,1.33142,1.01212,1.02028,0.008218,0.008218,0.008218
29,4053.78,1.3884,1.08515,1.03249,0.44929,0.35558,0.36099,0.21495,1.33103,1.0162,1.01798,0.008152,0.008152,0.008152
30,4190.51,1.38234,1.07271,1.03115,0.4788,0.3551,0.36489,0.21748,1.32207,1.01023,1.01619,0.008086,0.008086,0.008086
31,4326.75,1.38042,1.07403,1.02874,0.47828,0.34913,0.36671,0.21719,1.3224,1.00716,1.01559,0.00802,0.00802,0.00802
32,4466.65,1.36717,1.0566,1.02348,0.48467,0.35277,0.36961,0.22063,1.31851,0.99746,1.01529,0.007954,0.007954,0.007954
33,4606.46,1.3746,1.06445,1.02823,0.46017,0.36252,0.36908,0.2203,1.31795,1.00168,1.01333,0.007888,0.007888,0.007888
34,4747.61,1.37174,1.05051,1.02358,0.45855,0.37392,0.37499,0.22479,1.31228,0.99152,1.01259,0.007822,0.007822,0.007822
35,4889.37,1.36456,1.04936,1.02091,0.46295,0.36736,0.37641,0.225,1.31049,0.98619,1.01092,0.007756,0.007756,0.007756
36,5032.5,1.36737,1.05007,1.02448,0.47467,0.36004,0.37574,0.22537,1.30407,0.98224,1.00864,0.00769,0.00769,0.00769
37,5174.23,1.35839,1.04031,1.02155,0.46353,0.36557,0.38028,0.22672,1.29971,0.97755,1.00735,0.007624,0.007624,0.007624
38,5289.74,1.36046,1.03919,1.02057,0.47339,0.37066,0.38121,0.22892,1.29848,0.97802,1.0076,0.007558,0.007558,0.007558
39,5425.83,1.35635,1.0319,1.01727,0.48222,0.36867,0.38309,0.23062,1.29867,0.97942,1.00598,0.007492,0.007492,0.007492
40,5568.3,1.34611,1.0218,1.01418,0.4812,0.36345,0.3833,0.23004,1.29456,0.97428,1.00428,0.007426,0.007426,0.007426
41,5703.38,1.34227,1.01457,1.01424,0.48504,0.3665,0.38735,0.23344,1.29186,0.96555,1.00427,0.00736,0.00736,0.00736
42,5833.86,1.33949,1.01561,1.01466,0.47201,0.37392,0.3882,0.2334,1.29445,0.96522,1.00403,0.007294,0.007294,0.007294
43,5971.23,1.34264,1.01274,1.01359,0.50796,0.37624,0.38884,0.23487,1.28971,0.96229,1.00289,0.007228,0.007228,0.007228
44,6111.36,1.33919,1.00927,1.01138,0.51006,0.37514,0.38913,0.2345,1.28731,0.95959,1.00145,0.007162,0.007162,0.007162
45,6250.66,1.33082,0.9994,1.01268,0.48033,0.37619,0.39217,0.23693,1.28109,0.95585,0.99889,0.007096,0.007096,0.007096
46,6387.29,1.33054,0.99879,1.00964,0.50032,0.38355,0.39397,0.23716,1.28448,0.95285,1.00064,0.00703,0.00703,0.00703
47,6498.01,1.33254,0.99954,1.01048,0.50639,0.37499,0.39192,0.23631,1.27946,0.95214,0.99931,0.006964,0.006964,0.006964
48,6639.4,1.31861,0.98956,1.00845,0.48996,0.3775,0.3943,0.23816,1.27711,0.9479,0.99826,0.006898,0.006898,0.006898
49,6775.32,1.3147,0.988,1.00508,0.52225,0.38368,0.39647,0.23921,1.27458,0.94521,0.99686,0.006832,0.006832,0.006832
50,6917.09,1.32385,0.98752,1.00665,0.48264,0.3846,0.39693,0.24084,1.2741,0.94227,0.99718,0.006766,0.006766,0.006766
51,7055.99,1.31735,0.97838,1.00533,0.49168,0.38777,0.39786,0.23926,1.27649,0.94317,0.99842,0.0067,0.0067,0.0067
52,7198.31,1.31499,0.98207,1.00127,0.49906,0.38509,0.40239,0.24403,1.27127,0.93811,0.99547,0.006634,0.006634,0.006634
53,7337.57,1.31747,0.97831,1.00465,0.50476,0.38773,0.40355,0.24486,1.27044,0.93595,0.99621,0.006568,0.006568,0.006568
54,7477.85,1.3103,0.97484,1.00095,0.50665,0.38614,0.40229,0.24387,1.26991,0.93476,0.99458,0.006502,0.006502,0.006502
55,7620.76,1.31925,0.97515,1.00483,0.49735,0.38246,0.40363,0.24459,1.26838,0.93558,0.99389,0.006436,0.006436,0.006436
56,7762.9,1.30404,0.96685,1.00167,0.50311,0.39185,0.4044,0.24543,1.26665,0.93342,0.99344,0.00637,0.00637,0.00637
57,7904.44,1.30011,0.9573,0.99822,0.49767,0.38771,0.40519,0.2468,1.26539,0.93015,0.99269,0.006304,0.006304,0.006304
58,8046.04,1.30164,0.95877,1.00106,0.49663,0.39078,0.40544,0.24547,1.26422,0.929,0.99176,0.006238,0.006238,0.006238
59,8174.35,1.30138,0.95642,0.99827,0.4924,0.3935,0.40847,0.24741,1.26378,0.92499,0.99103,0.006172,0.006172,0.006172
60,8314.3,1.29527,0.95267,0.99852,0.51929,0.38873,0.4097,0.24748,1.26354,0.92515,0.99259,0.006106,0.006106,0.006106
61,8450.11,1.29642,0.95255,0.99779,0.4962,0.39747,0.40951,0.24833,1.26034,0.92138,0.99086,0.00604,0.00604,0.00604
62,8588.46,1.29405,0.94763,0.99786,0.48543,0.40272,0.41082,0.24954,1.25905,0.92133,0.99054,0.005974,0.005974,0.005974
63,8727.54,1.29919,0.95264,0.99698,0.49511,0.39924,0.41107,0.25037,1.25913,0.91747,0.98957,0.005908,0.005908,0.005908
64,8865.8,1.29891,0.94844,0.99769,0.49968,0.40198,0.4136,0.25173,1.25805,0.91705,0.98863,0.005842,0.005842,0.005842
65,9005,1.28719,0.93899,0.99196,0.50722,0.39801,0.41293,0.25012,1.25445,0.91734,0.98881,0.005776,0.005776,0.005776
66,9145.41,1.28874,0.94375,0.99493,0.51916,0.39219,0.41314,0.25177,1.25375,0.91539,0.98773,0.00571,0.00571,0.00571
67,9287.44,1.28984,0.9444,0.99144,0.521,0.39232,0.41423,0.25171,1.25443,0.91417,0.98789,0.005644,0.005644,0.005644
68,9429.31,1.28378,0.9338,0.99272,0.52184,0.3876,0.41436,0.25248,1.25189,0.9126,0.98773,0.005578,0.005578,0.005578
69,9565.33,1.28249,0.93197,0.99271,0.51617,0.39384,0.41537,0.25324,1.24996,0.91176,0.98747,0.005512,0.005512,0.005512
70,9682.59,1.28174,0.93204,0.99285,0.50415,0.40065,0.41853,0.25437,1.25009,0.91019,0.98659,0.005446,0.005446,0.005446
71,9821.1,1.2798,0.92698,0.99163,0.50322,0.40286,0.41649,0.25361,1.25065,0.91046,0.98684,0.00538,0.00538,0.00538
72,9964.33,1.28545,0.93201,0.99104,0.5033,0.40281,0.41763,0.25466,1.24934,0.90941,0.98618,0.005314,0.005314,0.005314
73,10104.8,1.27602,0.92375,0.98759,0.49892,0.4028,0.41671,0.25496,1.24773,0.90756,0.98501,0.005248,0.005248,0.005248
74,10246.1,1.27193,0.91873,0.98852,0.5088,0.39979,0.41961,0.2566,1.24623,0.90419,0.9851,0.005182,0.005182,0.005182
75,10385.8,1.27097,0.91949,0.98871,0.50402,0.40634,0.42026,0.25625,1.24633,0.90303,0.98518,0.005116,0.005116,0.005116
76,10526.3,1.26402,0.91577,0.98868,0.50561,0.40541,0.41894,0.25577,1.24655,0.90448,0.98511,0.00505,0.00505,0.00505
77,10663.5,1.27437,0.91982,0.99034,0.51167,0.40524,0.42109,0.25737,1.24534,0.90171,0.9847,0.004984,0.004984,0.004984
78,10807.4,1.27193,0.91512,0.98668,0.51822,0.4084,0.42324,0.258,1.24538,0.89944,0.98425,0.004918,0.004918,0.004918
79,10941.6,1.26099,0.90658,0.98725,0.52794,0.40077,0.42287,0.25809,1.24448,0.89889,0.98445,0.004852,0.004852,0.004852
80,11079.3,1.26255,0.90904,0.98611,0.51323,0.40532,0.4232,0.25844,1.24455,0.89876,0.98351,0.004786,0.004786,0.004786
81,11217.6,1.26569,0.90651,0.9863,0.51386,0.40552,0.42285,0.25822,1.24414,0.89756,0.98336,0.00472,0.00472,0.00472
82,11358.9,1.26285,0.90106,0.9822,0.51557,0.40546,0.42295,0.25758,1.24319,0.89772,0.9834,0.004654,0.004654,0.004654
83,11500.6,1.26126,0.90391,0.98443,0.51845,0.40055,0.42373,0.25886,1.24147,0.89634,0.98374,0.004588,0.004588,0.004588
