epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6034,2.90564,2.80981,1.30054,0.13185,0.0984,0.05755,0.02248,2.79688,2.82369,1.29785,0.0701071,0.00332143,0.00332143
2,68.6541,2.85067,2.40705,1.21984,0.33173,0.1395,0.11956,0.04825,2.81972,2.64826,1.25174,0.0399754,0.006523,0.006523
3,101.185,2.88234,2.35939,1.24287,0.48682,0.12509,0.11457,0.0416,2.88381,2.95012,1.281,0.00971161,0.00959257,0.00959257
4,134.322,2.81126,2.33445,1.23724,0.43203,0.1714,0.15415,0.0587,2.74188,2.19334,1.24927,0.009406,0.009406,0.009406
5,168.593,2.67853,2.17025,1.20271,0.4475,0.20884,0.20711,0.08203,2.60335,2.20434,1.17521,0.009208,0.009208,0.009208
6,201.422,2.63422,2.07586,1.18664,0.37211,0.21162,0.18231,0.07767,2.57526,2.0259,1.17735,0.00901,0.00901,0.00901
7,232.933,2.56861,2.04372,1.17745,0.44527,0.22745,0.23331,0.09609,2.51638,2.09461,1.12864,0.008812,0.008812,0.008812
8,263.767,2.55266,1.92491,1.15556,0.49956,0.21202,0.23722,0.10552,2.52514,1.93924,1.11456,0.008614,0.008614,0.008614
9,295.142,2.52159,1.9283,1.14758,0.45155,0.22694,0.24376,0.10582,2.43664,1.90425,1.13794,0.008416,0.008416,0.008416
10,326.75,2.53668,1.92222,1.15354,0.47412,0.23838,0.25159,0.11376,2.47313,1.82531,1.13695,0.008218,0.008218,0.008218
11,357.664,2.49397,1.87147,1.1471,0.49765,0.2498,0.25272,0.11166,2.40224,1.7985,1.11513,0.00802,0.00802,0.00802
12,389.308,2.50093,1.89461,1.13539,0.49622,0.24296,0.25601,0.10736,2.43252,1.77086,1.09827,0.007822,0.007822,0.007822
13,421.919,2.40896,1.77392,1.10738,0.57294,0.24753,0.2776,0.12243,2.34489,1.72987,1.09158,0.007624,0.007624,0.007624
14,451.502,2.38292,1.73981,1.10805,0.61407,0.27412,0.31167,0.13884,2.31857,1.65084,1.09854,0.007426,0.007426,0.007426
15,483.728,2.3437,1.71774,1.10198,0.57427,0.25817,0.27176,0.12126,2.32436,1.80884,1.09296,0.007228,0.007228,0.007228
16,514.877,2.30642,1.68728,1.10881,0.58882,0.26355,0.30161,0.13588,2.30732,1.65943,1.07135,0.00703,0.00703,0.00703
17,545.445,2.32777,1.71253,1.11092,0.59995,0.26044,0.30196,0.1405,2.28219,1.70105,1.07559,0.006832,0.006832,0.006832
18,576.539,2.37053,1.69189,1.10361,0.53433,0.27919,0.29638,0.134,2.30562,1.6004,1.06734,0.006634,0.006634,0.006634
19,605.267,2.32388,1.64243,1.09073,0.62198,0.2819,0.31623,0.14623,2.27386,1.57192,1.08573,0.006436,0.006436,0.006436
20,635.298,2.25602,1.58378,1.08002,0.54716,0.29378,0.31352,0.14234,2.22649,1.60154,1.05589,0.006238,0.006238,0.006238
21,665.978,2.27152,1.63059,1.07177,0.56718,0.28888,0.31804,0.15083,2.20264,1.56636,1.0517,0.00604,0.00604,0.00604
22,697.603,2.20245,1.54785,1.08244,0.64773,0.28655,0.34362,0.1677,2.19872,1.55951,1.03965,0.005842,0.005842,0.005842
23,727.874,2.18304,1.55302,1.07332,0.64391,0.28857,0.34593,0.16427,2.17666,1.54729,1.04172,0.005644,0.005644,0.005644
24,759.215,2.28087,1.62449,1.07524,0.6462,0.29237,0.34204,0.16336,2.18586,1.53435,1.05628,0.005446,0.005446,0.005446
25,790.103,2.19373,1.53922,1.06871,0.63406,0.29239,0.34169,0.17034,2.15697,1.53441,1.0422,0.005248,0.005248,0.005248
26,817.501,2.1895,1.4893,1.05813,0.64401,0.29988,0.34564,0.16361,2.1756,1.5028,1.04201,0.00505,0.00505,0.00505
27,847.28,2.22039,1.54496,1.07161,0.68649,0.29699,0.36716,0.17801,2.15146,1.52846,1.02785,0.004852,0.004852,0.004852
28,880.394,2.15002,1.44945,1.05394,0.68265,0.29621,0.37205,0.186,2.13772,1.47003,1.03441,0.004654,0.004654,0.004654
29,912.21,2.19563,1.48204,1.04953,0.65015,0.31059,0.35843,0.17613,2.1201,1.45903,1.03255,0.004456,0.004456,0.004456
30,943.517,2.1642,1.46806,1.05367,0.61484,0.30619,0.34302,0.16237,2.13236,1.49167,1.02613,0.004258,0.004258,0.004258
31,973.948,2.15767,1.46499,1.04019,0.64319,0.30946,0.36284,0.18335,2.08709,1.4273,1.01568,0.00406,0.00406,0.00406
32,1005.02,2.14822,1.45148,1.04822,0.65856,0.3104,0.35947,0.17907,2.11829,1.45898,1.02145,0.003862,0.003862,0.003862
33,1035.42,2.12713,1.42306,1.04063,0.65683,0.31883,0.3713,0.18102,2.09306,1.46808,1.01335,0.003664,0.003664,0.003664
34,1066.59,2.15004,1.46547,1.04149,0.67129,0.30814,0.37172,0.18372,2.11801,1.41954,1.03032,0.003466,0.003466,0.003466
35,1096.85,2.10125,1.41573,1.03318,0.6977,0.32321,0.38689,0.19298,2.07301,1.40929,1.01538,0.003268,0.003268,0.003268
36,1127.56,2.055,1.37115,1.01791,0.67873,0.32313,0.37737,0.19,2.05373,1.42451,1.01754,0.00307,0.00307,0.00307
37,1160.21,2.03145,1.3391,1.03346,0.67625,0.32824,0.38529,0.19413,2.06565,1.37781,1.01515,0.002872,0.002872,0.002872
38,1191.39,2.05978,1.37619,1.02732,0.66583,0.32354,0.38123,0.19801,2.04764,1.38451,1.00915,0.002674,0.002674,0.002674
39,1223.84,2.11441,1.38061,1.02108,0.65494,0.32548,0.37324,0.19014,2.044,1.40173,1.01031,0.002476,0.002476,0.002476
40,1254.23,2.04853,1.34798,1.01105,0.61801,0.3309,0.37176,0.18701,2.06459,1.38486,1.00104,0.002278,0.002278,0.002278
41,1281.34,2.07932,1.56665,1.07449,0.67772,0.32109,0.38815,0.19506,2.07649,1.42072,1.0065,0.00208,0.00208,0.00208
42,1307.5,2.09832,1.51873,1.04997,0.65765,0.32812,0.38307,0.20052,2.0178,1.37106,1.00118,0.001882,0.001882,0.001882
43,1337.82,2.07872,1.49213,1.05745,0.65759,0.32024,0.37879,0.19424,2.04966,1.39434,1.00225,0.001684,0.001684,0.001684
44,1367.86,2.08711,1.53238,1.0529,0.64686,0.33106,0.38678,0.19892,2.02949,1.37615,0.99945,0.001486,0.001486,0.001486
45,1397.97,2.02612,1.42363,1.03721,0.65363,0.32318,0.38178,0.1953,2.05026,1.3779,0.99762,0.001288,0.001288,0.001288
46,1428.39,2.01222,1.4111,1.04057,0.66557,0.32934,0.38439,0.20087,2.01865,1.3548,1.00121,0.00109,0.00109,0.00109
47,1452.21,2.04656,1.41197,1.0296,0.67147,0.3338,0.39336,0.20637,2.00274,1.3434,0.9962,0.000892,0.000892,0.000892
48,1475.23,2.03348,1.49414,1.03212,0.6806,0.33747,0.39577,0.20802,1.995,1.33709,0.99265,0.000694,0.000694,0.000694
49,1506.1,2.02101,1.44045,1.04233,0.68822,0.33081,0.39336,0.20646,1.99885,1.35719,0.99116,0.000496,0.000496,0.000496
50,1527.98,2.01362,1.42356,1.0345,0.67742,0.33392,0.392,0.20484,2.0119,1.33456,0.99088,0.000298,0.000298,0.000298
