epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8663,2.688,2.77027,1.20396,0.28685,0.12817,0.09387,0.0395,2.68703,2.59148,1.25983,0.0701071,0.00332143,0.00332143
2,69.3936,2.63822,2.19761,1.14326,0.42552,0.20232,0.19834,0.08199,2.50867,2.69793,1.13902,0.0399754,0.006523,0.006523
3,100.616,2.64035,2.13085,1.15284,0.43342,0.21603,0.20446,0.08897,2.50754,2.19047,1.10911,0.00971161,0.00959257,0.00959257
4,134.425,2.54982,2.02491,1.13169,0.49315,0.23214,0.23756,0.10165,2.49239,1.8541,1.13154,0.009406,0.009406,0.009406
5,167.51,2.49973,1.9317,1.13181,0.49368,0.22581,0.23383,0.09952,2.48139,1.89608,1.10267,0.009208,0.009208,0.009208
6,199.602,2.49348,1.88177,1.12301,0.45182,0.25928,0.25384,0.10862,2.38702,1.76177,1.09524,0.00901,0.00901,0.00901
7,227.403,2.39909,1.81691,1.10806,0.56962,0.23993,0.27486,0.12598,2.33903,1.74189,1.07363,0.008812,0.008812,0.008812
8,253.562,2.38882,1.74781,1.09496,0.53793,0.26309,0.28524,0.12902,2.32352,1.69952,1.06419,0.008614,0.008614,0.008614
9,280.992,2.38247,1.71254,1.09233,0.59808,0.25216,0.28216,0.12661,2.28617,1.65334,1.0578,0.008416,0.008416,0.008416
10,309.137,2.35978,1.69715,1.08581,0.54056,0.27944,0.29967,0.13928,2.27104,1.61133,1.0535,0.008218,0.008218,0.008218
11,337.684,2.32749,1.68484,1.0805,0.45459,0.28245,0.29051,0.13884,2.26945,1.79068,1.04849,0.00802,0.00802,0.00802
12,367.759,2.36783,1.71673,1.08052,0.59065,0.2879,0.3186,0.143,2.31158,1.63146,1.05603,0.007822,0.007822,0.007822
13,399.875,2.29888,1.63305,1.06036,0.57326,0.30472,0.33165,0.1488,2.26979,1.56864,1.04169,0.007624,0.007624,0.007624
14,430.213,2.27704,1.57559,1.05971,0.56889,0.30736,0.34774,0.16633,2.22001,1.5663,1.02802,0.007426,0.007426,0.007426
15,461.851,2.21052,1.55239,1.04976,0.63777,0.29276,0.33183,0.15773,2.2177,1.5926,1.04664,0.007228,0.007228,0.007228
16,492.894,2.1944,1.54272,1.05816,0.5893,0.31587,0.34211,0.16195,2.19582,1.49149,1.02916,0.00703,0.00703,0.00703
17,524.042,2.21697,1.54362,1.06125,0.61459,0.29947,0.33473,0.15029,2.23507,1.49962,1.04132,0.006832,0.006832,0.006832
18,554.415,2.25309,1.5505,1.05802,0.60352,0.30611,0.34609,0.16513,2.19595,1.48778,1.02069,0.006634,0.006634,0.006634
19,585.135,2.20318,1.49263,1.03952,0.60678,0.32202,0.36514,0.17756,2.16088,1.50015,1.01724,0.006436,0.006436,0.006436
20,615.84,2.16091,1.44726,1.03416,0.60794,0.32601,0.35624,0.15917,2.21649,1.47889,1.02933,0.006238,0.006238,0.006238
