epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4572,2.96061,2.87478,1.3368,0.17161,0.03711,0.03285,0.01177,3.28588,3.48881,1.33831,0.0701071,0.00332143,0.00332143
2,69.5048,3.16818,2.68116,1.32323,0.07053,0.05902,0.02963,0.00891,3.75276,3.75197,1.70598,0.0399754,0.006523,0.006523
3,123.512,3.26988,2.77078,1.35353,0.09533,0.03087,0.03637,0.01242,3.89277,12.0718,1.79669,0.00971161,0.00959257,0.00959257
4,158.243,3.20169,2.72624,1.35129,0.34586,0.11601,0.08032,0.0297,3.15681,2.53881,1.30741,0.009406,0.009406,0.009406
5,192.883,2.93968,2.50491,1.27908,0.26657,0.12839,0.13711,0.05891,2.86284,2.39888,1.20252,0.009208,0.009208,0.009208
6,226.711,2.8267,2.26068,1.23975,0.2561,0.22456,0.14958,0.05887,2.73453,2.2222,1.19155,0.00901,0.00901,0.00901
7,258.913,2.73957,2.25708,1.22222,0.36671,0.23203,0.18622,0.07266,2.67937,2.05062,1.18874,0.008812,0.008812,0.008812
8,290.457,2.72739,2.06465,1.20096,0.38767,0.19258,0.1744,0.07512,2.64309,2.09292,1.15967,0.008614,0.008614,0.008614
9,323.111,2.68267,2.05106,1.1851,0.41836,0.21036,0.23009,0.09521,2.63869,2.08694,1.14242,0.008416,0.008416,0.008416
10,354.696,2.64462,2.02999,1.18349,0.53982,0.20462,0.22096,0.09431,2.49971,2.01956,1.20171,0.008218,0.008218,0.008218
11,385.304,2.57999,1.92728,1.16642,0.50154,0.20992,0.26391,0.11938,2.50919,1.94498,1.12898,0.00802,0.00802,0.00802
12,417.128,2.58433,1.9461,1.15289,0.49507,0.24019,0.25985,0.11257,2.50384,1.85584,1.1319,0.007822,0.007822,0.007822
13,450.527,2.53159,1.8862,1.13239,0.45589,0.22954,0.23255,0.0963,2.52022,1.83121,1.15943,0.007624,0.007624,0.007624
14,481.679,2.46476,1.79289,1.12992,0.51587,0.25737,0.28576,0.12828,2.41104,1.70143,1.08646,0.007426,0.007426,0.007426
15,512.639,2.37995,1.75881,1.10673,0.50609,0.21983,0.25408,0.11875,2.40748,1.81161,1.08526,0.007228,0.007228,0.007228
16,543.229,2.37713,1.76936,1.12614,0.49563,0.25307,0.27204,0.11911,2.42653,1.75878,1.09159,0.00703,0.00703,0.00703
17,575.495,2.41619,1.75039,1.13136,0.58782,0.26465,0.31249,0.14769,2.26748,1.73753,1.07033,0.006832,0.006832,0.006832
18,606.558,2.39606,1.7217,1.11262,0.59531,0.26502,0.30047,0.13522,2.3085,1.60808,1.06362,0.006634,0.006634,0.006634
19,637.756,2.35973,1.65547,1.0966,0.63858,0.27121,0.33046,0.15949,2.22693,1.65714,1.06376,0.006436,0.006436,0.006436
20,669.248,2.2987,1.60535,1.08358,0.57873,0.28686,0.31909,0.1528,2.21278,1.56172,1.04854,0.006238,0.006238,0.006238
21,700.67,2.30929,1.67855,1.0836,0.64732,0.28101,0.33139,0.1609,2.19768,1.54466,1.06673,0.00604,0.00604,0.00604
22,732.963,2.24222,1.60859,1.09322,0.60892,0.28272,0.32642,0.15463,2.20916,1.56979,1.05055,0.005842,0.005842,0.005842
23,762.078,2.23419,1.63432,1.08985,0.57978,0.29148,0.32697,0.15488,2.206,1.53071,1.06612,0.005644,0.005644,0.005644
24,793.469,2.29015,1.6384,1.07771,0.63995,0.28668,0.34563,0.16881,2.16972,1.4902,1.03853,0.005446,0.005446,0.005446
25,825.198,2.21806,1.55148,1.07516,0.62319,0.29708,0.34474,0.17174,2.13859,1.48303,1.02262,0.005248,0.005248,0.005248
26,856.032,2.20558,1.47796,1.06439,0.58538,0.27948,0.3311,0.15336,2.24284,1.62794,1.04783,0.00505,0.00505,0.00505
27,886.912,2.22387,1.55908,1.07014,0.6727,0.28873,0.35175,0.16791,2.18029,1.56181,1.046,0.004852,0.004852,0.004852
28,920.726,2.1751,1.49728,1.06239,0.63862,0.30438,0.36876,0.1851,2.12926,1.44511,1.02712,0.004654,0.004654,0.004654
29,951.857,2.20163,1.5144,1.05173,0.65069,0.30392,0.3449,0.16562,2.1709,1.54706,1.06234,0.004456,0.004456,0.004456
30,982.099,2.18429,1.47619,1.05826,0.64369,0.30876,0.35628,0.17444,2.12358,1.46855,1.02696,0.004258,0.004258,0.004258
31,1012.62,2.16593,1.48197,1.04261,0.65651,0.30919,0.36154,0.17746,2.08992,1.51023,1.0222,0.00406,0.00406,0.00406
32,1043.56,2.15955,1.44571,1.05078,0.61639,0.32115,0.3696,0.18505,2.12716,1.43268,1.02037,0.003862,0.003862,0.003862
33,1074.04,2.12252,1.40704,1.04104,0.59763,0.32437,0.36299,0.18138,2.0952,1.46063,1.01143,0.003664,0.003664,0.003664
