epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7081,2.72183,3.21559,1.2339,0.13901,0.11352,0.07754,0.03472,2.61961,2.46482,1.1756,0.0701071,0.00332143,0.00332143
2,69.057,2.61048,2.32719,1.13852,0.38509,0.20507,0.16232,0.06791,2.5412,2.75663,1.16579,0.0399754,0.006523,0.006523
3,100.071,2.63115,2.13394,1.15091,0.4401,0.21389,0.24824,0.10657,2.49543,2.12957,1.11037,0.00971161,0.00959257,0.00959257
4,133.729,2.56245,2.07413,1.14287,0.38358,0.23442,0.22465,0.09701,2.523,2.15065,1.1487,0.009406,0.009406,0.009406
5,167.027,2.48746,1.9406,1.13108,0.51335,0.2439,0.25813,0.1087,2.47306,1.9731,1.1112,0.009208,0.009208,0.009208
6,199.751,2.4619,1.90118,1.12731,0.49708,0.23284,0.24579,0.11131,2.42246,1.85561,1.11354,0.00901,0.00901,0.00901
7,230.589,2.41554,1.852,1.11987,0.53847,0.26172,0.27943,0.12156,2.40029,1.80612,1.0769,0.008812,0.008812,0.008812
8,260.58,2.41698,1.77549,1.10891,0.56537,0.27372,0.3021,0.14133,2.30117,1.67292,1.05796,0.008614,0.008614,0.008614
9,291.339,2.38601,1.73227,1.10063,0.52982,0.26106,0.28308,0.1257,2.34045,1.69901,1.07534,0.008416,0.008416,0.008416
10,321.944,2.39925,1.73778,1.1049,0.52525,0.27566,0.29101,0.13488,2.33604,1.64088,1.09008,0.008218,0.008218,0.008218
11,351.516,2.37217,1.69188,1.10646,0.55754,0.28433,0.3158,0.14858,2.30277,1.65843,1.07435,0.00802,0.00802,0.00802
12,382.251,2.4205,1.73914,1.1061,0.5825,0.27269,0.30263,0.12698,2.4349,1.70753,1.09027,0.007822,0.007822,0.007822
13,414.582,2.33124,1.65197,1.07969,0.56679,0.28117,0.31284,0.14166,2.27493,1.64538,1.05121,0.007624,0.007624,0.007624
14,444.352,2.29849,1.61766,1.08161,0.6004,0.28156,0.33662,0.15434,2.28508,1.69777,1.05744,0.007426,0.007426,0.007426
