epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.3717,4.18577,3.86397,1.86671,0.00822,0.00787,0.00229,0.00053,4.4401,17.4328,2.35473,0.0701071,0.00332143,0.00332143
2,112.981,3.96736,3.30321,1.53201,0.60063,0.00158,0.03782,0.01084,4.07012,20.8453,2.01782,0.0399754,0.006523,0.006523
3,157.892,3.81964,3.19828,1.50505,0.00659,0.02789,0.00521,0.00133,4.47737,248.459,3.4845,0.00971161,0.00959257,0.00959257
4,197.684,3.69686,3.16973,1.50444,0.0001,0.00116,4e-05,1e-05,3.75836,inf,1.7684,0.009406,0.009406,0.009406
5,232.078,3.54396,3.10587,1.47109,0.01596,0.01397,0.0088,0.00277,3.73794,16.9518,1.64366,0.009208,0.009208,0.009208
6,264.951,3.47913,3.0154,1.47003,0.02098,0.09032,0.0204,0.00631,3.45894,3.16287,1.48114,0.00901,0.00901,0.00901
7,296.293,3.44086,3.04842,1.4565,0.02165,0.06486,0.01311,0.00327,3.71439,3.16104,1.46452,0.008812,0.008812,0.008812
8,327.879,3.38661,2.8788,1.42031,0.02482,0.01537,0.01382,0.00345,3.40457,4.62811,1.42679,0.008614,0.008614,0.008614
9,360.787,3.31455,2.87077,1.40358,0.40586,0.04844,0.02041,0.00543,3.58966,3.50552,1.62331,0.008416,0.008416,0.008416
10,392.467,3.2797,2.8595,1.39771,0.03563,0.05829,0.02156,0.00692,3.31506,2.95447,1.41733,0.008218,0.008218,0.008218
11,423.611,3.28672,2.8329,1.39295,0.0257,0.04226,0.01878,0.0061,3.24646,3.00779,1.41905,0.00802,0.00802,0.00802
12,455.467,3.28698,2.83924,1.37165,0.02315,0.07803,0.0226,0.00655,3.36382,3.01222,1.37512,0.007822,0.007822,0.007822
13,488.497,3.24494,2.77467,1.35074,0.05676,0.03885,0.03434,0.01361,3.52932,3.16895,1.44009,0.007624,0.007624,0.007624
14,519.873,3.19271,2.72634,1.36633,0.02639,0.07483,0.01866,0.00684,3.15625,2.90092,1.38382,0.007426,0.007426,0.007426
15,552.217,3.12321,2.6502,1.34319,0.04046,0.05346,0.02554,0.00971,3.08601,2.90588,1.32472,0.007228,0.007228,0.007228
16,584.406,3.09774,2.67615,1.3628,0.03033,0.0905,0.02667,0.00946,3.14629,2.83033,1.39306,0.00703,0.00703,0.00703
