epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6498,2.64449,3.52141,1.25271,0.36635,0.10331,0.07954,0.03904,2.46978,2.6078,1.13155,0.0701071,0.00332143,0.00332143
2,70.5957,2.59233,2.51002,1.14107,0.26695,0.1765,0.13846,0.05914,2.59742,2.32659,1.11772,0.0399754,0.006523,0.006523
3,101.442,2.59086,2.27534,1.13212,0.45447,0.23892,0.22511,0.09281,2.44006,2.06664,1.11565,0.00971161,0.00959257,0.00959257
4,135.993,2.50088,2.13512,1.12166,0.49177,0.25058,0.25054,0.10658,2.384,1.95691,1.08033,0.009406,0.009406,0.009406
5,170.334,2.42711,2.01725,1.10542,0.47326,0.26372,0.26855,0.11006,2.43149,1.97699,1.09322,0.009208,0.009208,0.009208
6,203.511,2.41005,1.9147,1.09501,0.53868,0.25542,0.28512,0.13186,2.3183,1.90225,1.05792,0.00901,0.00901,0.00901
7,234.468,2.35338,1.86911,1.07957,0.57607,0.26653,0.28406,0.12834,2.29559,1.81301,1.04486,0.008812,0.008812,0.008812
8,264.728,2.35206,1.72714,1.06597,0.60568,0.27298,0.29287,0.13109,2.30986,1.78642,1.02953,0.008614,0.008614,0.008614
9,296.299,2.31088,1.68109,1.0531,0.58449,0.30519,0.32809,0.14839,2.21867,1.59251,1.02754,0.008416,0.008416,0.008416
10,327.396,2.3191,1.67009,1.06215,0.57145,0.2839,0.3095,0.14558,2.22656,1.62668,1.04518,0.008218,0.008218,0.008218
11,357.53,2.27154,1.6005,1.04888,0.55069,0.30592,0.32753,0.15249,2.23019,1.56601,1.03869,0.00802,0.00802,0.00802
12,388.281,2.2756,1.63334,1.04003,0.58171,0.3146,0.33731,0.15769,2.21318,1.55414,1.02151,0.007822,0.007822,0.007822
13,420.546,2.21732,1.52748,1.02206,0.58028,0.32497,0.34695,0.16482,2.18665,1.54331,1.01843,0.007624,0.007624,0.007624
14,450.616,2.195,1.52055,1.02276,0.62837,0.31573,0.36156,0.17403,2.17848,1.63527,1.01985,0.007426,0.007426,0.007426
15,482.42,2.14915,1.4788,1.01649,0.61947,0.33229,0.36682,0.18,2.10573,1.48195,0.99722,0.007228,0.007228,0.007228
16,511.5,2.10799,1.45999,1.01836,0.64142,0.33429,0.36409,0.16888,2.12883,1.46936,1.00515,0.00703,0.00703,0.00703
17,541.434,2.14302,1.46514,1.02226,0.63303,0.32815,0.35888,0.17294,2.12479,1.52648,1.00179,0.006832,0.006832,0.006832
18,571.435,2.15011,1.46716,1.00958,0.62483,0.34173,0.3734,0.18231,2.07937,1.42237,0.98872,0.006634,0.006634,0.006634
19,602.178,2.14058,1.43137,1.00848,0.63368,0.33683,0.37149,0.18102,2.0985,1.41126,0.9991,0.006436,0.006436,0.006436
20,632.261,2.08324,1.39305,0.99767,0.61234,0.35113,0.38371,0.18739,2.0908,1.46885,0.98615,0.006238,0.006238,0.006238
21,662.106,2.09208,1.41399,0.99735,0.67338,0.34837,0.39599,0.20221,2.04551,1.37331,0.98442,0.00604,0.00604,0.00604
22,693.036,2.02491,1.3498,1.00086,0.62355,0.34927,0.39038,0.19589,2.04671,1.36671,0.98114,0.005842,0.005842,0.005842
23,723.761,2.01962,1.35698,0.99395,0.67593,0.35111,0.39803,0.20481,2.02114,1.36866,0.97667,0.005644,0.005644,0.005644
24,752.969,2.08597,1.37878,0.99408,0.61408,0.34486,0.3798,0.18806,2.08174,1.40143,0.97365,0.005446,0.005446,0.005446
25,781.865,2.03177,1.32313,0.99202,0.66708,0.34835,0.39122,0.19395,2.06298,1.35533,0.98306,0.005248,0.005248,0.005248
26,809.848,2.0274,1.28502,0.98847,0.65896,0.35039,0.40307,0.20504,2.04587,1.37302,0.9766,0.00505,0.00505,0.00505
27,840.256,2.03583,1.31958,0.99179,0.6892,0.34725,0.40192,0.20544,2.02026,1.34241,0.98251,0.004852,0.004852,0.004852
28,873.886,1.98535,1.26218,0.9807,0.66304,0.3615,0.40677,0.20314,2.02996,1.3438,0.96741,0.004654,0.004654,0.004654
29,903.845,2.02424,1.28231,0.97348,0.68216,0.35074,0.4055,0.2072,2.01673,1.32064,0.97286,0.004456,0.004456,0.004456
30,933.554,1.99134,1.26319,0.97691,0.68095,0.36583,0.40972,0.20852,2.01554,1.30809,0.96487,0.004258,0.004258,0.004258
31,962.444,1.99608,1.25235,0.97163,0.64777,0.35188,0.40027,0.20156,2.03047,1.32047,0.97749,0.00406,0.00406,0.00406
32,992.097,1.97076,1.24485,0.96933,0.68926,0.36491,0.42527,0.21865,1.99424,1.26588,0.96485,0.003862,0.003862,0.003862
33,1021.73,1.94558,1.22055,0.96572,0.6789,0.36735,0.41687,0.21721,1.96016,1.2793,0.95691,0.003664,0.003664,0.003664
34,1051.82,1.98228,1.25566,0.97147,0.69205,0.36894,0.41781,0.21839,1.96637,1.28969,0.95887,0.003466,0.003466,0.003466
35,1081.44,1.94472,1.23841,0.96558,0.68216,0.37717,0.42134,0.21728,1.95765,1.27005,0.95728,0.003268,0.003268,0.003268
36,1111.31,1.91812,1.20725,0.95774,0.70859,0.36987,0.42603,0.22589,1.94055,1.25726,0.9534,0.00307,0.00307,0.00307
37,1143.52,1.88448,1.17953,0.96182,0.68298,0.37247,0.4264,0.22638,1.9459,1.2434,0.95265,0.002872,0.002872,0.002872
38,1173.18,1.90187,1.19854,0.95817,0.69011,0.378,0.42771,0.22478,1.94946,1.233,0.95539,0.002674,0.002674,0.002674
39,1205.25,1.94985,1.20207,0.95641,0.71525,0.37413,0.4306,0.22762,1.9448,1.23334,0.95209,0.002476,0.002476,0.002476
40,1235.33,1.89886,1.1694,0.94911,0.70155,0.37663,0.42931,0.22333,1.94038,1.23303,0.95213,0.002278,0.002278,0.002278
41,1264.69,1.91833,1.3486,0.98087,0.69677,0.37513,0.43601,0.22952,1.95786,1.25218,0.9558,0.00208,0.00208,0.00208
42,1294.02,1.94741,1.29577,0.97129,0.67884,0.38366,0.43495,0.2289,1.92569,1.24694,0.95193,0.001882,0.001882,0.001882
43,1323.5,1.91254,1.29647,0.9733,0.68195,0.37567,0.43097,0.23031,1.94771,1.25756,0.95001,0.001684,0.001684,0.001684
44,1352.67,1.93872,1.30536,0.96569,0.69024,0.37875,0.43508,0.23182,1.92694,1.26499,0.94836,0.001486,0.001486,0.001486
45,1381.56,1.86673,1.22922,0.95827,0.7129,0.38258,0.44213,0.23564,1.93102,1.24264,0.94391,0.001288,0.001288,0.001288
46,1410.56,1.85945,1.21868,0.96311,0.70495,0.38234,0.43866,0.23638,1.91862,1.22375,0.94619,0.00109,0.00109,0.00109
47,1437.57,1.90346,1.23027,0.9584,0.71194,0.38138,0.43939,0.23742,1.92087,1.22559,0.94581,0.000892,0.000892,0.000892
48,1465.98,1.88338,1.30674,0.95404,0.72174,0.37994,0.44182,0.23798,1.91486,1.22356,0.94345,0.000694,0.000694,0.000694
49,1494.93,1.86649,1.25037,0.95784,0.70693,0.3838,0.44178,0.23718,1.90087,1.21905,0.94292,0.000496,0.000496,0.000496
50,1523.75,1.87039,1.23791,0.95674,0.70683,0.38142,0.44102,0.23914,1.90487,1.21669,0.94255,0.000298,0.000298,0.000298
