epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3733,4.2628,136.442,1.25123,0.00031,0.00474,0.00016,3e-05,4.95573,286.212,1.55202,0.0701071,0.00332143,0.00332143
2,62.0316,4.94199,104.402,1.09205,0.00415,0.00939,0.00063,0.00014,4.75886,198.133,1.09706,0.0399754,0.006523,0.006523
3,88.5917,4.79176,106.656,1.10358,0.00025,0.0038,0.00013,3e-05,4.92736,280.122,2.14796,0.00971161,0.00959257,0.00959257
4,118.792,4.69036,101.113,1.09091,0.00075,0.01142,0.0004,9e-05,4.41165,178.072,1.08223,0.009406,0.009406,0.009406
5,148.37,4.62499,98.2346,1.05684,0.00057,0.00865,0.0003,7e-05,4.46172,178.142,1.09319,0.009208,0.009208,0.009208
6,177.871,4.62839,84.3738,1.07035,0.00097,0.00991,0.00052,0.00012,4.41646,183.995,1.08623,0.00901,0.00901,0.00901
7,205.162,4.52465,92.9105,1.07328,0.00049,0.00316,0.00025,5e-05,4.52299,242.725,1.15068,0.008812,0.008812,0.008812
8,231.881,4.56442,87.447,1.06422,0.00069,0.00697,0.00036,8e-05,4.50065,207.166,1.15145,0.008614,0.008614,0.008614
9,259.849,4.62503,93.1795,1.04236,0.00101,0.00866,0.00052,0.00012,4.44834,157.084,1.03012,0.008416,0.008416,0.008416
10,286.233,4.52123,90.3471,1.06524,0.00037,0.00286,0.00019,4e-05,4.46391,152.233,1.01714,0.008218,0.008218,0.008218
11,312.585,4.51774,86.1615,1.05686,0.00074,0.00617,0.00037,8e-05,4.4194,156.325,1.02808,0.00802,0.00802,0.00802
12,340.772,4.53033,99.6829,1.03546,0.00053,0.00274,0.00027,7e-05,4.33227,140.75,0.98241,0.007822,0.007822,0.007822
13,369.957,4.49641,81.9959,1.03639,0.00098,0.01091,0.00052,0.00013,4.19149,164.917,1.16932,0.007624,0.007624,0.007624
14,396.296,4.46997,89.0424,1.04848,0.00055,0.00648,0.00028,7e-05,4.26898,198.977,1.2643,0.007426,0.007426,0.007426
15,424.987,4.4288,83.4034,1.02922,0.00027,0.00208,0.00014,3e-05,4.59026,144.769,0.98166,0.007228,0.007228,0.007228
16,452.848,4.39764,78.5023,1.03622,0.0007,0.00492,0.00036,8e-05,4.25116,149.619,1.02644,0.00703,0.00703,0.00703
17,479.943,4.38171,83.5284,1.03178,0.00032,0.00178,0.00017,5e-05,4.86426,173.67,1.23693,0.006832,0.006832,0.006832
18,507.079,4.44373,84.8759,1.02504,0.00061,0.00441,0.00042,0.00012,4.20765,156.132,1.05235,0.006634,0.006634,0.006634
19,535.135,4.38042,82.6286,1.02704,0.00111,0.00541,0.00056,0.00014,4.28118,153.361,1.0088,0.006436,0.006436,0.006436
20,561.213,4.32648,70.444,1.00179,0.00112,0.00824,0.00058,0.00015,4.28592,201.819,1.62903,0.006238,0.006238,0.006238
21,587.357,4.36142,84.5956,1.00155,0.00099,0.00634,0.00051,0.00013,4.20264,140.778,0.99141,0.00604,0.00604,0.00604
22,616.285,4.28716,69.9397,1.02377,0.00098,0.00887,0.00052,0.00013,4.21822,147.154,1.02525,0.005842,0.005842,0.005842
23,643.971,4.32219,80.0777,1.0342,0.00106,0.01615,0.00059,0.00015,4.01867,188.746,1.09299,0.005644,0.005644,0.005644
24,671.382,4.33515,88.0541,0.99831,0.00089,0.00602,0.00046,0.00012,4.31098,130.003,0.95017,0.005446,0.005446,0.005446
25,696.639,4.2953,70.1146,1.0137,0.00071,0.00439,0.00037,9e-05,4.23695,133.507,0.99964,0.005248,0.005248,0.005248
26,719.378,4.27974,69.8095,1.00714,0.00094,0.00641,0.00049,0.00013,4.10347,132.872,0.96683,0.00505,0.00505,0.00505
27,746.008,4.27051,76.9317,1.00128,0.00053,0.00333,0.00029,6e-05,4.27359,201.826,1.11508,0.004852,0.004852,0.004852
28,777.003,4.22998,71.4231,1.00847,0.00073,0.00226,0.00038,9e-05,4.24928,134.371,0.96158,0.004654,0.004654,0.004654
29,804.016,4.2591,81.7404,0.98734,0.00168,0.01124,0.00088,0.00024,4.0419,139.197,0.96993,0.004456,0.004456,0.004456
30,830.568,4.26901,75.9864,1.00532,0.00136,0.00501,0.00071,0.00018,4.24873,146.1,1.16752,0.004258,0.004258,0.004258
31,856.615,4.23383,72.3192,0.98735,0.00111,0.00437,0.00057,0.00014,4.37378,131.978,0.99558,0.00406,0.00406,0.00406
32,882.393,4.25862,73.2728,0.99962,0.00164,0.0075,0.00085,0.00022,4.09037,151.537,1.33358,0.003862,0.003862,0.003862
33,908.482,4.22085,72.2872,0.99602,0.00171,0.01102,0.0009,0.00023,4.10024,128.02,0.96295,0.003664,0.003664,0.003664
34,935.898,4.20811,80.0586,0.97288,0.00225,0.0153,0.00104,0.00023,4.28686,151.238,0.94554,0.003466,0.003466,0.003466
35,962.266,4.16189,74.4689,0.97612,0.0017,0.0115,0.00091,0.00023,4.09353,133.053,0.9766,0.003268,0.003268,0.003268
36,988.805,4.1771,71.7644,0.96929,0.00123,0.00671,0.00063,0.00017,4.24619,123.222,0.93097,0.00307,0.00307,0.00307
37,1018.35,4.12262,67.2246,0.97944,0.00182,0.01677,0.00095,0.00024,4.05671,184.636,0.98591,0.002872,0.002872,0.002872
38,1045.3,4.163,76.5301,0.98275,0.00216,0.01175,0.00115,0.0003,4.04709,133.526,0.98166,0.002674,0.002674,0.002674
39,1074.71,4.16171,71.7551,0.96774,0.00303,0.01732,0.00159,0.00041,4.07593,165.46,0.99459,0.002476,0.002476,0.002476
40,1100.2,4.18365,75.2138,0.96094,0.00197,0.00865,0.00102,0.00029,3.98027,134.92,0.98294,0.002278,0.002278,0.002278
41,1126.33,4.10826,139.589,1.00034,0.00179,0.00943,0.00093,0.00027,3.99823,140.422,0.99904,0.00208,0.00208,0.00208
42,1151.16,4.12715,133.05,0.98185,0.00209,0.01057,0.00111,0.00029,4.07644,120.527,0.96553,0.001882,0.001882,0.001882
43,1175.37,4.01821,133.648,0.97757,0.00217,0.00886,0.00113,0.00031,4.01726,119.954,0.95953,0.001684,0.001684,0.001684
44,1200.73,3.98121,142.794,0.96227,0.0026,0.01133,0.00137,0.00039,4.00786,121.911,0.96583,0.001486,0.001486,0.001486
45,1226.27,4.01711,124.375,0.98623,0.00295,0.01358,0.00158,0.00044,3.95606,122.831,0.9792,0.001288,0.001288,0.001288
46,1249.97,4.07,138.289,0.98187,0.00305,0.01301,0.00162,0.00043,4.04726,118.945,0.94753,0.00109,0.00109,0.00109
47,1274.91,4.09908,116.556,0.96691,0.00336,0.01375,0.00179,0.00049,3.9607,120.685,0.95287,0.000892,0.000892,0.000892
48,1299.53,3.9616,141.445,0.95794,0.00318,0.01264,0.00168,0.00046,3.94975,118.477,0.94628,0.000694,0.000694,0.000694
49,1322,3.9461,142.465,0.98476,0.00308,0.013,0.00165,0.00046,3.94959,120.045,0.9457,0.000496,0.000496,0.000496
50,1346.57,3.92139,139.417,0.96798,0.00319,0.01332,0.0017,0.00047,3.91876,119.476,0.94512,0.000298,0.000298,0.000298
