epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4404,4.25207,3.8841,1.84997,0.42072,0.01409,0.00865,0.00236,4.02898,3.95635,1.51006,0.0701071,0.00332143,0.00332143
2,76.3753,3.84053,3.10059,1.43313,0.26416,0.04963,0.0233,0.00819,3.8276,4.20324,1.56866,0.0399754,0.006523,0.006523
3,111.225,3.60769,2.97011,1.37665,0.27553,0.03867,0.02066,0.00608,3.53869,3.54326,1.51489,0.00971161,0.00959257,0.00959257
4,147.652,3.46504,2.89392,1.36036,0.64231,0.02966,0.01945,0.00549,3.64064,3.85332,1.62055,0.009406,0.009406,0.009406
5,186.61,3.26007,2.76008,1.32829,0.32604,0.09213,0.04466,0.01416,3.27645,2.70823,1.28023,0.009208,0.009208,0.009208
6,223.634,3.19483,2.71359,1.30303,0.12801,0.11454,0.05375,0.01714,3.16649,2.54615,1.33363,0.00901,0.00901,0.00901
7,258.437,3.09712,2.64211,1.28575,0.33047,0.11039,0.06095,0.02151,3.05129,2.49273,1.23853,0.008812,0.008812,0.008812
8,292.725,3.08779,2.52578,1.26858,0.14134,0.12254,0.07894,0.02702,3.08255,2.45909,1.22929,0.008614,0.008614,0.008614
9,326.866,3.04003,2.52143,1.25065,0.3539,0.12443,0.07593,0.02491,3.06207,2.51187,1.26015,0.008416,0.008416,0.008416
10,360.799,3.01471,2.47692,1.25141,0.58921,0.10348,0.08913,0.02891,2.99863,2.41746,1.23617,0.008218,0.008218,0.008218
11,395.437,2.96881,2.42165,1.2331,0.37715,0.1231,0.11248,0.04298,2.91019,2.52011,1.18355,0.00802,0.00802,0.00802
12,429.641,2.94432,2.42614,1.2235,0.28368,0.15514,0.12088,0.04604,2.84787,2.2438,1.17742,0.007822,0.007822,0.007822
13,464.576,2.929,2.32591,1.21467,0.33753,0.15695,0.11902,0.04537,2.84773,2.18532,1.19636,0.007624,0.007624,0.007624
14,499.254,2.87731,2.24723,1.21718,0.43514,0.15628,0.13558,0.05271,2.86111,2.1766,1.17853,0.007426,0.007426,0.007426
15,532.783,2.81053,2.21387,1.2,0.28428,0.17187,0.14269,0.05498,2.81272,2.19921,1.17257,0.007228,0.007228,0.007228
16,567.45,2.79073,2.22941,1.21551,0.42826,0.16924,0.1335,0.05046,2.84507,2.1868,1.15268,0.00703,0.00703,0.00703
17,598.265,2.7938,2.22049,1.21573,0.37207,0.14867,0.12576,0.04501,2.93245,2.17069,1.18642,0.006832,0.006832,0.006832
18,632.538,2.80389,2.16423,1.20521,0.27895,0.18182,0.15735,0.06424,2.71519,1.98728,1.15411,0.006634,0.006634,0.006634
19,665.786,2.74325,2.10234,1.18724,0.30741,0.21158,0.17822,0.0717,2.70251,1.94117,1.15511,0.006436,0.006436,0.006436
