epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7373,4.23501,3.73659,1.82195,0.3299,0.02389,0.00946,0.00254,4.08856,5.21555,1.60498,0.0701071,0.00332143,0.00332143
2,79.7196,3.79098,3.08527,1.42106,0.26512,0.04864,0.02238,0.00745,3.72666,5.43551,1.55682,0.0399754,0.006523,0.006523
3,111.221,3.56791,2.96743,1.36613,0.25382,0.05942,0.02434,0.00615,3.49979,3.4521,1.42046,0.00971161,0.00959257,0.00959257
4,142.707,3.36528,2.84595,1.3497,0.2685,0.09223,0.03763,0.01084,3.42213,3.0084,1.39928,0.009406,0.009406,0.009406
5,174.609,3.27362,2.77921,1.32317,0.50584,0.09391,0.04473,0.01487,3.25035,3.17684,1.36679,0.009208,0.009208,0.009208
6,206.512,3.14783,2.68514,1.29798,0.34901,0.10575,0.05828,0.01948,3.14063,2.67129,1.33044,0.00901,0.00901,0.00901
7,239.849,3.10798,2.67295,1.29807,0.31222,0.12347,0.05931,0.02305,3.02732,2.63665,1.26104,0.008812,0.008812,0.008812
8,272.708,3.07926,2.53996,1.272,0.31848,0.10965,0.06504,0.02268,3.04417,2.70322,1.25459,0.008614,0.008614,0.008614
9,306.075,3.0177,2.53926,1.25376,0.46463,0.09796,0.06948,0.02647,2.8752,2.59781,1.21685,0.008416,0.008416,0.008416
10,338.426,3.00351,2.60001,1.24495,0.04931,0.18417,0.06578,0.0238,2.95989,2.47853,1.2453,0.008218,0.008218,0.008218
11,371.018,2.96233,2.51459,1.23002,0.29775,0.11122,0.07209,0.02846,2.85314,2.54385,1.19083,0.00802,0.00802,0.00802
12,403.83,2.94636,2.5073,1.22231,0.22023,0.13698,0.10206,0.0394,2.86446,2.28356,1.18622,0.007822,0.007822,0.007822
13,434.812,2.90351,2.41255,1.2068,0.18308,0.14289,0.09362,0.03642,2.82094,2.36337,1.20734,0.007624,0.007624,0.007624
