epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.919,2.70001,5e-05,1.21842,0.05665,0.03786,0.03829,0.01659,2.93579,3e-05,1.76716,0.0704286,0.00328571,0.00328571
2,156.945,2.73592,3e-05,1.19514,0.05335,0.02992,0.03054,0.01309,3.10303,4e-05,1.62322,0.0402975,0.00648799,0.00648799
3,212.659,2.68535,3e-05,1.19,0.48132,0.06102,0.03492,0.01537,2.70963,3e-05,1.41613,0.0100345,0.00955827,0.00955827
4,266.623,2.65106,3e-05,1.19578,0.47248,0.06988,0.07414,0.03991,2.63187,3e-05,1.19554,0.009406,0.009406,0.009406
5,321.423,2.52489,3e-05,1.15649,0.46788,0.06811,0.04898,0.0236,2.39528,3e-05,1.21329,0.009208,0.009208,0.009208
6,375.848,2.42975,3e-05,1.14252,0.06165,0.06553,0.03473,0.01757,2.40565,4e-05,1.14812,0.00901,0.00901,0.00901
7,429.47,2.43192,4e-05,1.14105,0.0817,0.06993,0.04288,0.01973,2.45217,0.00018,1.23829,0.008812,0.008812,0.008812
8,486.905,2.43145,3e-05,1.1246,0.2573,0.07368,0.0253,0.01072,2.363,3e-05,1.14973,0.008614,0.008614,0.008614
9,541.532,2.35736,3e-05,1.10706,0.28801,0.06552,0.05403,0.0251,2.48343,3e-05,1.14877,0.008416,0.008416,0.008416
10,595.686,2.31032,3e-05,1.10514,0.27917,0.0946,0.05434,0.02678,2.17752,3e-05,1.06687,0.008218,0.008218,0.008218
11,650.503,2.22358,3e-05,1.0988,0.09034,0.05988,0.05514,0.02823,2.25829,3e-05,1.09339,0.00802,0.00802,0.00802
12,707.065,2.30715,3e-05,1.09625,0.09366,0.09816,0.05643,0.02823,2.20918,3e-05,1.07397,0.007822,0.007822,0.007822
13,763.884,2.20685,3e-05,1.08485,0.0992,0.0827,0.06637,0.0381,2.0943,3e-05,1.0715,0.007624,0.007624,0.007624
14,818.363,2.17332,3e-05,1.06754,0.09047,0.0759,0.05248,0.02788,2.17395,5e-05,1.09738,0.007426,0.007426,0.007426
15,872.06,2.16422,3e-05,1.07168,0.07278,0.07122,0.05676,0.02987,2.13706,3e-05,1.04875,0.007228,0.007228,0.007228
16,927.869,2.23257,3e-05,1.05495,0.11823,0.10632,0.07027,0.03933,2.2507,3e-05,1.0502,0.00703,0.00703,0.00703
17,985.637,2.18506,3e-05,1.06763,0.30031,0.08722,0.08645,0.04226,2.25825,3e-05,1.09399,0.006832,0.006832,0.006832
18,1041.19,2.13278,3e-05,1.05672,0.14444,0.05018,0.0862,0.05372,2.09782,4e-05,1.0806,0.006634,0.006634,0.006634
19,1094.97,2.16746,3e-05,1.04158,0.17356,0.1644,0.0999,0.05627,1.99468,3e-05,1.03773,0.006436,0.006436,0.006436
20,1151.15,2.04958,3e-05,1.04217,0.10056,0.15474,0.09851,0.05721,1.98281,3e-05,1.02594,0.006238,0.006238,0.006238
