epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2419,2.51711,2.77636,1.27427,0.03116,0.02568,0.01773,0.00695,3.36549,10.436,3.75555,0.0704286,0.00328571,0.00328571
2,88.2714,2.63591,2.18828,1.25893,0.13236,0.082,0.06902,0.02962,2.58408,10.4066,1.47305,0.0402975,0.00648799,0.00648799
3,144.455,2.56661,2.05615,1.2385,0.38526,0.07778,0.08097,0.03709,2.61604,7.95138,1.3636,0.0100345,0.00955827,0.00955827
4,180.246,2.52784,1.95917,1.24193,0.2455,0.09795,0.12414,0.06143,2.57281,6.80444,1.36102,0.009406,0.009406,0.009406
5,205.498,2.45456,1.90882,1.21148,0.3596,0.15323,0.18322,0.08772,2.23835,6.1326,1.22446,0.009208,0.009208,0.009208
6,228.278,2.37061,1.78075,1.19384,0.39803,0.16307,0.16486,0.07058,2.64414,2.11271,1.39077,0.00901,0.00901,0.00901
7,249.753,2.37932,1.79704,1.2015,0.44652,0.22869,0.24402,0.11445,2.18669,1.69921,1.17817,0.008812,0.008812,0.008812
8,275.187,2.33074,1.71148,1.15579,0.5102,0.2212,0.25446,0.11818,2.25038,1.70798,1.1496,0.008614,0.008614,0.008614
9,298.128,2.29556,1.66836,1.1496,0.4329,0.25565,0.25194,0.11601,2.16847,1.70432,1.1361,0.008416,0.008416,0.008416
10,320.104,2.21459,1.56483,1.14277,0.6199,0.23282,0.29979,0.13727,2.10803,1.7124,1.13735,0.008218,0.008218,0.008218
11,341.711,2.18818,1.61297,1.14905,0.52454,0.26837,0.28377,0.1316,2.11039,1.54039,1.12164,0.00802,0.00802,0.00802
12,365.573,2.19355,1.55576,1.12893,0.57826,0.26083,0.33458,0.16532,2.14874,1.86625,1.12141,0.007822,0.007822,0.007822
13,389.282,2.14193,1.52517,1.12863,0.48595,0.25377,0.26454,0.11917,2.18522,1.57738,1.13431,0.007624,0.007624,0.007624
14,411.298,2.13031,1.52387,1.11383,0.58616,0.2832,0.31728,0.1517,2.0815,1.51674,1.10614,0.007426,0.007426,0.007426
15,431.957,2.09651,1.5007,1.11883,0.62244,0.24898,0.33103,0.16078,2.00498,1.71505,1.1292,0.007228,0.007228,0.007228
16,454.861,2.18251,1.51042,1.10017,0.56705,0.25876,0.31212,0.15911,1.97816,1.64016,1.0759,0.00703,0.00703,0.00703
17,480.447,2.08148,1.4609,1.10274,0.54439,0.28022,0.31047,0.15647,2.03799,1.55566,1.09338,0.006832,0.006832,0.006832
18,503.326,2.05485,1.44129,1.09459,0.57519,0.28947,0.32605,0.16145,2.00053,1.49515,1.10414,0.006634,0.006634,0.006634
19,526.147,2.10253,1.46338,1.08514,0.65992,0.30876,0.3877,0.1945,1.95615,1.57232,1.08324,0.006436,0.006436,0.006436
20,549.105,1.97837,1.36633,1.08126,0.62707,0.30575,0.34983,0.17662,1.93711,1.46175,1.06845,0.006238,0.006238,0.006238
21,571.442,2.00327,1.33824,1.06251,0.68669,0.31506,0.36927,0.18422,1.90426,1.40337,1.06062,0.00604,0.00604,0.00604
22,594.777,1.98199,1.37492,1.07575,0.63429,0.31071,0.36156,0.18536,1.95226,1.33149,1.06667,0.005842,0.005842,0.005842
23,619.149,2.00912,1.34821,1.06565,0.62299,0.30767,0.38568,0.19431,1.99578,1.45673,1.07327,0.005644,0.005644,0.005644
24,643.921,1.99862,1.37015,1.07365,0.65387,0.33378,0.38843,0.19729,1.88883,1.29853,1.06292,0.005446,0.005446,0.005446
25,667.241,1.95951,1.332,1.06175,0.64461,0.31874,0.37453,0.18917,1.93272,1.35815,1.0693,0.005248,0.005248,0.005248
26,686.634,1.95236,1.35386,1.05947,0.69817,0.32186,0.39884,0.21156,1.86124,1.30454,1.05542,0.00505,0.00505,0.00505
27,708.429,1.96644,1.3141,1.05913,0.633,0.32924,0.37749,0.198,1.88239,1.27153,1.05946,0.004852,0.004852,0.004852
28,731.004,1.97732,1.32419,1.05618,0.58317,0.31384,0.37172,0.18473,1.97855,1.53607,1.07415,0.004654,0.004654,0.004654
29,753.575,1.92432,1.28938,1.05737,0.70533,0.34432,0.40347,0.20688,1.83477,1.25665,1.04941,0.004456,0.004456,0.004456
30,776.542,1.90746,1.25908,1.04907,0.66841,0.3319,0.41292,0.21681,1.86841,1.33904,1.05839,0.004258,0.004258,0.004258
31,798.162,1.91227,1.25397,1.05605,0.63387,0.33278,0.38626,0.20204,1.88342,1.324,1.05399,0.00406,0.00406,0.00406
32,821.465,1.90946,1.25647,1.04578,0.64486,0.34262,0.3951,0.21127,1.79562,1.25326,1.04766,0.003862,0.003862,0.003862
33,846.066,1.95237,1.27341,1.03548,0.65898,0.3478,0.39894,0.20542,1.84384,1.23744,1.03964,0.003664,0.003664,0.003664
34,865.587,1.86718,1.24638,1.04534,0.65301,0.36029,0.38856,0.20706,1.80713,1.21554,1.03042,0.003466,0.003466,0.003466
35,888.839,1.83687,1.2,1.02605,0.67221,0.35132,0.42619,0.22349,1.83574,1.23015,1.03965,0.003268,0.003268,0.003268
36,910.76,1.83446,1.21088,1.0374,0.64853,0.35522,0.41062,0.21892,1.79619,1.19637,1.02941,0.00307,0.00307,0.00307
37,932.517,1.88454,1.23312,1.02176,0.74661,0.34993,0.43989,0.23536,1.77783,1.20857,1.03045,0.002872,0.002872,0.002872
38,954.879,1.86192,1.20664,1.03221,0.66618,0.34694,0.4125,0.22239,1.79221,1.19737,1.0318,0.002674,0.002674,0.002674
39,977.359,1.86542,1.19491,1.01782,0.68713,0.3649,0.43319,0.23344,1.75984,1.17529,1.01263,0.002476,0.002476,0.002476
40,998.345,1.83986,1.17553,1.02486,0.6509,0.37569,0.42533,0.2259,1.78321,1.15593,1.02123,0.002278,0.002278,0.002278
41,1018.35,1.82288,1.21396,1.0791,0.71463,0.35317,0.43969,0.23778,1.76982,1.17767,1.02261,0.00208,0.00208,0.00208
42,1036.35,1.7715,1.17993,1.05877,0.70495,0.36067,0.4465,0.23893,1.77243,1.20005,1.01873,0.001882,0.001882,0.001882
43,1053.86,1.77776,1.17006,1.04911,0.70663,0.36003,0.43364,0.23204,1.78285,1.18005,1.01981,0.001684,0.001684,0.001684
44,1071.48,1.79232,1.17631,1.04526,0.70026,0.36789,0.43719,0.2363,1.7565,1.16121,1.01583,0.001486,0.001486,0.001486
45,1088.76,1.74418,1.16392,1.04274,0.72325,0.37099,0.43884,0.23451,1.75482,1.14502,1.01759,0.001288,0.001288,0.001288
46,1106.27,1.73729,1.13861,1.04095,0.6913,0.37827,0.43607,0.23569,1.73496,1.11452,1.01269,0.00109,0.00109,0.00109
47,1124.05,1.77304,1.13831,1.03245,0.70496,0.38628,0.44885,0.24193,1.74896,1.12299,1.01676,0.000892,0.000892,0.000892
48,1141.37,1.74992,1.15344,1.02967,0.7092,0.37913,0.44254,0.24211,1.71533,1.10038,1.00496,0.000694,0.000694,0.000694
49,1158.41,1.70677,1.11693,1.03689,0.70932,0.37922,0.44912,0.24539,1.71327,1.09335,1.0047,0.000496,0.000496,0.000496
50,1175.85,1.70785,1.09423,1.03234,0.69196,0.38286,0.44597,0.2456,1.71876,1.09654,1.00751,0.000298,0.000298,0.000298
