epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.4771,2.71433,2.77187,1.34283,0.15457,0.11274,0.07224,0.03343,2.58064,4.46975,1.3241,0.0701071,0.00332143,0.00332143
2,92.6862,2.6771,2.34283,1.27195,0.25766,0.17989,0.11472,0.04703,2.65123,2.95706,1.30328,0.0399754,0.006523,0.006523
3,127.379,2.68767,2.33007,1.28397,0.25843,0.17257,0.14812,0.06393,2.5748,2.44682,1.30291,0.00971161,0.00959257,0.00959257
4,166.127,2.60606,2.21884,1.27488,0.42623,0.19433,0.18751,0.0805,2.47519,2.37127,1.21517,0.009406,0.009406,0.009406
5,200.456,2.51137,2.10693,1.25458,0.44021,0.194,0.18856,0.08798,2.54869,2.26512,1.21352,0.009208,0.009208,0.009208
6,237.471,2.47345,2.03522,1.22643,0.42225,0.23786,0.23058,0.10457,2.45704,2.0594,1.2108,0.00901,0.00901,0.00901
7,271.993,2.43565,2.03404,1.21724,0.47221,0.24038,0.26355,0.11877,2.32716,1.88932,1.16486,0.008812,0.008812,0.008812
8,305.493,2.41328,1.90159,1.1989,0.49267,0.25544,0.2484,0.11208,2.37243,1.88748,1.15112,0.008614,0.008614,0.008614
9,340.415,2.3966,1.8727,1.19335,0.37509,0.22668,0.21187,0.10021,2.44536,2.03933,1.17186,0.008416,0.008416,0.008416
10,374.997,2.4035,1.91896,1.1946,0.49114,0.25024,0.26648,0.12663,2.31711,1.90006,1.15279,0.008218,0.008218,0.008218
11,405.73,2.33479,1.86653,1.17969,0.57494,0.26453,0.31439,0.14989,2.27788,1.95861,1.15215,0.00802,0.00802,0.00802
12,439.886,2.3786,1.86305,1.18043,0.51795,0.28819,0.29969,0.13697,2.30084,1.81842,1.12958,0.007822,0.007822,0.007822
13,475.667,2.28376,1.76054,1.14433,0.5875,0.26005,0.31156,0.14588,2.20167,1.77192,1.12874,0.007624,0.007624,0.007624
14,507.951,2.23898,1.72935,1.1541,0.56873,0.2874,0.31554,0.14395,2.19196,1.74386,1.13282,0.007426,0.007426,0.007426
15,543.413,2.21744,1.67009,1.14011,0.56588,0.28834,0.3183,0.15604,2.19412,1.67036,1.12118,0.007228,0.007228,0.007228
16,578.393,2.19864,1.65649,1.14931,0.58769,0.30052,0.33216,0.15821,2.18367,1.6147,1.10615,0.00703,0.00703,0.00703
