epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5979,4.40234,3.62351,2.07056,0.42153,0.01837,0.00984,0.00248,4.36788,5.34015,2.43605,0.0702143,0.00330952,0.00330952
2,71.3758,3.86195,2.95187,1.51815,0.05317,0.02817,0.01321,0.00388,3.65695,12.4518,1.5991,0.0401704,0.00659901,0.00659901
3,98.3338,3.56087,2.74701,1.43533,0.45955,0.03408,0.01978,0.00572,3.52715,6.14676,1.52265,0.0100826,0.0098445,0.0098445
4,121.087,3.34686,2.62047,1.39892,0.54019,0.07255,0.0484,0.01645,3.26122,4.0256,1.37145,0.009802,0.009802,0.009802
5,142.829,3.22575,2.58638,1.35751,0.31078,0.09243,0.03912,0.01343,3.23183,4.30643,1.40199,0.009736,0.009736,0.009736
6,190.563,3.13179,2.41163,1.3223,0.36086,0.13082,0.07697,0.02572,3.04723,2.88509,1.33034,0.00967,0.00967,0.00967
7,212.278,3.04258,2.39741,1.29373,0.35209,0.13523,0.08141,0.02712,3.03859,2.39693,1.31543,0.009604,0.009604,0.009604
8,230.531,2.97522,2.29026,1.25821,0.38015,0.11257,0.08921,0.03133,3.07547,2.46512,1.26758,0.009538,0.009538,0.009538
9,248.936,2.95474,2.26747,1.25529,0.32051,0.0956,0.05924,0.0216,3.19857,3.5044,1.22245,0.009472,0.009472,0.009472
10,265.366,2.94835,2.27371,1.24688,0.36613,0.12905,0.08855,0.02929,3.14183,2.5108,1.26084,0.009406,0.009406,0.009406
11,287.146,2.91349,2.19884,1.27794,0.37007,0.14993,0.09839,0.03506,2.94913,2.36933,1.28233,0.00934,0.00934,0.00934
12,305.043,2.88364,2.11711,1.24103,0.41522,0.16321,0.12873,0.05099,2.77647,2.30401,1.23971,0.009274,0.009274,0.009274
13,323.287,2.82379,2.09171,1.21536,0.4308,0.13551,0.11545,0.04312,3.0477,2.29026,1.19198,0.009208,0.009208,0.009208
14,342.262,2.74606,2.057,1.20189,0.45155,0.17954,0.15511,0.06109,2.79295,2.04828,1.2058,0.009142,0.009142,0.009142
15,365.723,2.7405,2.04967,1.20112,0.49502,0.15615,0.14362,0.05307,2.81094,2.16281,1.20569,0.009076,0.009076,0.009076
16,384.072,2.74412,2.0133,1.19955,0.4528,0.19171,0.15416,0.05729,2.83651,2.26682,1.19228,0.00901,0.00901,0.00901
17,402.334,2.72303,1.94241,1.18854,0.28226,0.17138,0.13906,0.05723,2.80862,2.13974,1.27121,0.008944,0.008944,0.008944
18,422.811,2.65557,1.91832,1.19662,0.29859,0.17606,0.1729,0.06823,2.78786,1.94305,1.19089,0.008878,0.008878,0.008878
19,439.176,2.62951,1.94043,1.19489,0.33507,0.17034,0.15243,0.05739,2.80239,2.02963,1.16158,0.008812,0.008812,0.008812
20,456.389,2.61305,1.86466,1.17796,0.31301,0.21431,0.1819,0.07333,2.66919,1.95619,1.16754,0.008746,0.008746,0.008746
21,476.347,2.58829,1.81988,1.15108,0.54665,0.20171,0.22986,0.1027,2.51966,1.91357,1.17583,0.00868,0.00868,0.00868
22,493.623,2.57842,1.7871,1.15021,0.41362,0.20068,0.16578,0.05954,2.75277,2.03719,1.19433,0.008614,0.008614,0.008614
23,513.763,2.53169,1.79481,1.17513,0.53945,0.22071,0.23038,0.09609,2.59958,1.81686,1.14801,0.008548,0.008548,0.008548
24,535.285,2.54609,1.81527,1.1717,0.41547,0.20879,0.20405,0.09344,2.51607,1.95485,1.12647,0.008482,0.008482,0.008482
25,553.135,2.50384,1.79017,1.15158,0.51072,0.24958,0.25508,0.10935,2.50256,1.78469,1.13949,0.008416,0.008416,0.008416
26,569.963,2.48013,1.7054,1.13058,0.53738,0.22025,0.23882,0.09918,2.58965,1.87124,1.15083,0.00835,0.00835,0.00835
27,588.721,2.42495,1.69568,1.12136,0.58039,0.23885,0.26433,0.11552,2.44997,1.73289,1.1348,0.008284,0.008284,0.008284
28,604.993,2.43436,1.66354,1.12862,0.56245,0.21764,0.25235,0.11542,2.46513,1.73694,1.11708,0.008218,0.008218,0.008218
29,623.868,2.36052,1.6976,1.13067,0.61641,0.24611,0.28225,0.12774,2.39103,1.77201,1.1493,0.008152,0.008152,0.008152
30,641.921,2.36879,1.66808,1.13406,0.57626,0.25657,0.28664,0.12973,2.39238,1.71612,1.10413,0.008086,0.008086,0.008086
31,660.886,2.43233,1.64227,1.13879,0.55728,0.23415,0.25227,0.10408,2.566,1.79641,1.14004,0.00802,0.00802,0.00802
32,679.729,2.38124,1.59372,1.11404,0.55996,0.25352,0.27959,0.12205,2.45728,1.6401,1.1377,0.007954,0.007954,0.007954
33,699.766,2.35347,1.63088,1.11552,0.55976,0.27005,0.2995,0.13409,2.37464,1.65776,1.10828,0.007888,0.007888,0.007888
34,716.369,2.33038,1.62506,1.10723,0.54399,0.27243,0.3067,0.13967,2.33053,1.62979,1.09587,0.007822,0.007822,0.007822
35,733.677,2.33119,1.59423,1.10522,0.59558,0.20664,0.25075,0.11279,2.58222,1.81722,1.12738,0.007756,0.007756,0.007756
36,751.196,2.34466,1.59756,1.10431,0.59541,0.26325,0.31273,0.14279,2.36134,1.68998,1.11301,0.00769,0.00769,0.00769
37,768.719,2.31921,1.55883,1.10056,0.58916,0.28018,0.31545,0.14742,2.30771,1.56905,1.09761,0.007624,0.007624,0.007624
38,792.795,2.27253,1.52346,1.09666,0.59609,0.25371,0.28225,0.12867,2.33314,1.68835,1.09163,0.007558,0.007558,0.007558
39,809.821,2.32102,1.55572,1.10517,0.59965,0.28296,0.31504,0.14298,2.31033,1.58508,1.10925,0.007492,0.007492,0.007492
40,826.868,2.25976,1.50749,1.0943,0.67758,0.27349,0.33182,0.15302,2.30113,1.66415,1.11064,0.007426,0.007426,0.007426
41,842.264,2.23153,1.4974,1.0989,0.51836,0.27224,0.29219,0.14007,2.30054,1.65182,1.08958,0.00736,0.00736,0.00736
42,860.886,2.28588,1.53096,1.10562,0.60469,0.26458,0.3019,0.13222,2.37228,1.61349,1.1228,0.007294,0.007294,0.007294
43,879.72,2.29479,1.52533,1.08673,0.63506,0.27945,0.33088,0.15506,2.25576,1.59845,1.10186,0.007228,0.007228,0.007228
44,901.787,2.25771,1.4942,1.06438,0.6694,0.29564,0.35513,0.16897,2.26449,1.51229,1.09633,0.007162,0.007162,0.007162
45,926.388,2.22533,1.46914,1.07044,0.6747,0.29857,0.36255,0.17786,2.19795,1.49346,1.07723,0.007096,0.007096,0.007096
46,942.438,2.17114,1.4557,1.08665,0.57903,0.30387,0.34426,0.16119,2.22857,1.52453,1.0694,0.00703,0.00703,0.00703
47,965.268,2.27123,1.48192,1.08251,0.64165,0.28335,0.32762,0.15477,2.24338,1.54722,1.09102,0.006964,0.006964,0.006964
48,982.616,2.20727,1.47179,1.08524,0.54183,0.3092,0.28047,0.13922,2.19615,1.80296,1.06812,0.006898,0.006898,0.006898
49,1000.59,2.1959,1.43613,1.07227,0.6419,0.29096,0.34374,0.16106,2.23819,1.51776,1.07348,0.006832,0.006832,0.006832
50,1020.66,2.16695,1.41684,1.0649,0.62126,0.29577,0.342,0.16192,2.18586,1.53115,1.07391,0.006766,0.006766,0.006766
51,1040.93,2.12117,1.37435,1.0611,0.65777,0.29336,0.3699,0.18224,2.17323,1.45049,1.0525,0.0067,0.0067,0.0067
52,1062.53,2.14658,1.41157,1.07399,0.67084,0.29835,0.36013,0.17439,2.15585,1.52419,1.06526,0.006634,0.006634,0.006634
53,1082.19,2.13807,1.39558,1.06237,0.60025,0.31413,0.35435,0.17122,2.15812,1.50617,1.05843,0.006568,0.006568,0.006568
54,1102.64,2.13431,1.39787,1.06148,0.65197,0.3055,0.3718,0.18416,2.15802,1.47156,1.05887,0.006502,0.006502,0.006502
55,1117.93,2.06594,1.35448,1.05962,0.69646,0.29265,0.3747,0.18452,2.13017,1.4803,1.05878,0.006436,0.006436,0.006436
56,1134.94,2.18894,1.43038,1.06733,0.64359,0.31257,0.38139,0.1917,2.14252,1.46983,1.04919,0.00637,0.00637,0.00637
57,1157.74,2.08409,1.39467,1.05276,0.71144,0.296,0.38138,0.18897,2.13365,1.52049,1.05253,0.006304,0.006304,0.006304
58,1175.73,2.07021,1.3451,1.0525,0.69355,0.31937,0.40528,0.20227,2.12699,1.40805,1.05553,0.006238,0.006238,0.006238
59,1193.52,2.13384,1.40901,1.05037,0.655,0.31302,0.35774,0.1699,2.14658,1.42573,1.072,0.006172,0.006172,0.006172
60,1212.04,2.07603,1.35754,1.06589,0.63022,0.33381,0.38765,0.18699,2.17126,1.42819,1.05608,0.006106,0.006106,0.006106
61,1228.39,2.11264,1.38413,1.05126,0.68132,0.31673,0.38795,0.19141,2.11978,1.39857,1.04983,0.00604,0.00604,0.00604
62,1246.16,2.05295,1.33402,1.03892,0.67248,0.32102,0.3946,0.20154,2.10471,1.40877,1.05163,0.005974,0.005974,0.005974
63,1263.95,2.115,1.35671,1.04815,0.71852,0.32375,0.39436,0.19904,2.0962,1.35927,1.04726,0.005908,0.005908,0.005908
64,1280.81,2.05806,1.31322,1.04382,0.73272,0.32597,0.40361,0.19512,2.078,1.38391,1.05078,0.005842,0.005842,0.005842
65,1298.03,2.0111,1.31398,1.03748,0.67415,0.32623,0.3828,0.19249,2.09007,1.39411,1.0336,0.005776,0.005776,0.005776
66,1314.13,2.00517,1.33176,1.03495,0.67078,0.33932,0.40684,0.2006,2.09457,1.37882,1.03972,0.00571,0.00571,0.00571
67,1333.83,2.02214,1.32784,1.04512,0.69394,0.32521,0.39949,0.19642,2.12783,1.41351,1.05379,0.005644,0.005644,0.005644
68,1351.77,2.03812,1.31299,1.03776,0.66701,0.34541,0.39844,0.20471,2.03974,1.3327,1.03273,0.005578,0.005578,0.005578
69,1370.74,2.05684,1.3262,1.04913,0.67755,0.32076,0.38465,0.18918,2.11792,1.4391,1.04017,0.005512,0.005512,0.005512
70,1392.34,2.0837,1.30837,1.02814,0.70022,0.3128,0.39263,0.18904,2.16558,1.42174,1.04785,0.005446,0.005446,0.005446
71,1410.99,2.01342,1.28759,1.02595,0.69461,0.32508,0.3927,0.1973,2.05632,1.42631,1.03476,0.00538,0.00538,0.00538
72,1428.69,1.97254,1.27001,1.03764,0.67814,0.34811,0.39933,0.19986,2.0755,1.31595,1.03198,0.005314,0.005314,0.005314
73,1448.67,2.01132,1.28073,1.01498,0.67417,0.34941,0.402,0.20797,1.9967,1.29742,1.02867,0.005248,0.005248,0.005248
74,1465.77,1.96556,1.25786,1.0346,0.64695,0.3319,0.3919,0.19853,2.05263,1.36437,1.02918,0.005182,0.005182,0.005182
75,1487.2,2.02389,1.25405,1.02592,0.7125,0.33505,0.41428,0.21139,2.01692,1.34662,1.02941,0.005116,0.005116,0.005116
76,1504.73,2.01633,1.27639,1.00947,0.67416,0.33551,0.40876,0.21351,2.01691,1.32161,1.02604,0.00505,0.00505,0.00505
77,1522.8,1.95475,1.24976,1.02726,0.68503,0.34375,0.39533,0.20125,2.00934,1.33384,1.02364,0.004984,0.004984,0.004984
78,1539.43,1.98632,1.28081,1.02991,0.65718,0.34743,0.39624,0.20333,2.0254,1.34505,1.03589,0.004918,0.004918,0.004918
79,1557.87,1.92565,1.24758,1.0319,0.70964,0.34647,0.40666,0.20661,2.00055,1.29124,1.02167,0.004852,0.004852,0.004852
80,1573.76,1.97044,1.24537,1.01645,0.71572,0.34234,0.41859,0.21189,2.00972,1.33311,1.02391,0.004786,0.004786,0.004786
81,1589.24,2.00468,1.26627,1.02536,0.69896,0.34294,0.40695,0.20905,2.02756,1.31854,1.03414,0.00472,0.00472,0.00472
82,1608.08,1.98796,1.26298,1.01348,0.67515,0.35098,0.4115,0.2123,1.98564,1.29308,1.01194,0.004654,0.004654,0.004654
83,1625.71,1.96212,1.22339,1.01464,0.70566,0.35078,0.41336,0.2079,1.99288,1.30313,1.01709,0.004588,0.004588,0.004588
84,1640.41,1.89009,1.18781,0.99662,0.68689,0.35953,0.4195,0.21514,2.00441,1.27808,1.01912,0.004522,0.004522,0.004522
85,1656.98,1.98369,1.24221,1.00676,0.65861,0.35766,0.4088,0.21095,1.98009,1.2864,1.01103,0.004456,0.004456,0.004456
86,1672.57,1.92248,1.22234,1.00015,0.69708,0.35631,0.4275,0.2222,1.97204,1.28421,1.01611,0.00439,0.00439,0.00439
87,1689.19,1.92417,1.19976,1.0094,0.72938,0.3557,0.42515,0.21424,1.98389,1.2749,1.01719,0.004324,0.004324,0.004324
88,1707.19,1.95586,1.22312,1.01508,0.70432,0.34744,0.41905,0.21604,2.00874,1.30867,1.01519,0.004258,0.004258,0.004258
