epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4532,2.74123,2.82436,1.25089,0.08262,0.03499,0.01865,0.00694,2.92892,9.67186,1.45874,0.0704286,0.00328571,0.00328571
2,98.3797,2.79333,2.19211,1.2031,0.00529,0.01844,0.00383,0.00112,4.14156,inf,1.50642,0.0403849,0.00657536,0.00657536
3,122.05,2.73983,2.07945,1.20356,0.29722,0.08368,0.08309,0.03371,2.86932,inf,1.33465,0.0102972,0.00982101,0.00982101
4,155.025,2.68105,1.98296,1.19607,0.25667,0.09952,0.08683,0.03321,2.86756,9.2585,1.28348,0.009802,0.009802,0.009802
5,174.573,2.61503,1.94674,1.17519,0.32554,0.18301,0.15804,0.06365,2.51011,2.5597,1.21912,0.009736,0.009736,0.009736
6,193.692,2.4846,1.8008,1.1539,0.30855,0.17517,0.15301,0.05503,2.81396,3.15011,1.18464,0.00967,0.00967,0.00967
7,210.644,2.5118,1.80418,1.15884,0.44822,0.20923,0.22051,0.09424,2.50934,2.03035,1.17487,0.009604,0.009604,0.009604
8,233.731,2.51294,1.79164,1.13705,0.33355,0.2064,0.21201,0.09408,2.50096,3.28774,1.18062,0.009538,0.009538,0.009538
9,251.877,2.411,1.72683,1.11906,0.28664,0.17312,0.15094,0.06298,2.82914,1.97886,1.1932,0.009472,0.009472,0.009472
10,267.41,2.37448,1.65425,1.11365,0.42272,0.23696,0.23246,0.09893,2.36765,2.03186,1.11835,0.009406,0.009406,0.009406
11,284.483,2.3206,1.6636,1.12159,0.49903,0.2163,0.24065,0.10312,2.43569,2.28915,1.13809,0.00934,0.00934,0.00934
12,299.082,2.35157,1.6117,1.10864,0.61825,0.1991,0.28511,0.12219,2.39082,2.11129,1.18578,0.009274,0.009274,0.009274
13,318.154,2.31169,1.597,1.11333,0.56107,0.25263,0.27039,0.11995,2.33518,1.75682,1.12626,0.009208,0.009208,0.009208
14,333.26,2.27097,1.58798,1.09022,0.46983,0.2425,0.25659,0.1202,2.25764,1.76113,1.08135,0.009142,0.009142,0.009142
15,349.429,2.24848,1.53068,1.09444,0.49716,0.22244,0.26411,0.11901,2.28613,1.82547,1.08174,0.009076,0.009076,0.009076
16,363.671,2.2937,1.528,1.06985,0.47525,0.22312,0.2473,0.11016,2.28613,1.67946,1.08982,0.00901,0.00901,0.00901
17,379.833,2.25689,1.51083,1.08459,0.45079,0.21991,0.25589,0.11775,2.3125,2.00171,1.09874,0.008944,0.008944,0.008944
18,396.735,2.22186,1.48333,1.07719,0.57062,0.24827,0.29904,0.14032,2.27295,1.62597,1.09992,0.008878,0.008878,0.008878
19,410.657,2.27702,1.51639,1.07289,0.66225,0.25643,0.3247,0.15816,2.18195,1.64557,1.07893,0.008812,0.008812,0.008812
