epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4361,2.25535,3.44902,1.23893,0.06853,0.15032,0.08813,0.04875,2.07633,inf,1.12586,0.0704286,0.00328571,0.00328571
2,86.3374,2.23599,2.13788,1.14661,0.52987,0.24706,0.26063,0.12722,2.14889,2.10077,1.16808,0.0403849,0.00657536,0.00657536
3,108.463,2.23058,1.86232,1.14048,0.42294,0.24175,0.23215,0.10356,2.27708,1.99964,1.13243,0.0102972,0.00982101,0.00982101
4,130.646,2.18195,1.71392,1.12226,0.50171,0.26377,0.26303,0.11905,2.11867,2.21325,1.14562,0.009802,0.009802,0.009802
5,153.482,2.12839,1.71284,1.10524,0.554,0.31405,0.34607,0.16364,2.09405,2.09132,1.13771,0.009736,0.009736,0.009736
6,173.421,2.05079,1.58478,1.07427,0.65542,0.32222,0.3711,0.18429,1.98455,1.78587,1.08959,0.00967,0.00967,0.00967
7,196.605,2.0431,1.56605,1.06934,0.65405,0.32707,0.38826,0.19071,2.0829,1.7402,1.11907,0.009604,0.009604,0.009604
8,223.045,2.03336,1.46996,1.05773,0.62953,0.33582,0.38422,0.19217,2.00692,1.51336,1.0837,0.009538,0.009538,0.009538
9,245.622,2.02733,1.43622,1.0567,0.65503,0.3546,0.40121,0.19841,2.00747,1.52292,1.06618,0.009472,0.009472,0.009472
10,265.138,1.95426,1.35803,1.04681,0.66794,0.34892,0.41921,0.21603,1.92765,1.55778,1.05912,0.009406,0.009406,0.009406
11,283.912,1.90605,1.37694,1.0402,0.6994,0.381,0.43601,0.21795,1.90695,1.34059,1.05979,0.00934,0.00934,0.00934
12,304.858,1.94775,1.33795,1.03816,0.67736,0.35494,0.40056,0.19524,1.96472,1.54818,1.08055,0.009274,0.009274,0.009274
13,323.651,1.88557,1.30897,1.02583,0.68379,0.34644,0.4078,0.21215,1.9233,1.42677,1.04576,0.009208,0.009208,0.009208
14,343.349,1.88558,1.28445,1.01786,0.70057,0.39197,0.45245,0.23303,1.90477,1.30303,1.03414,0.009142,0.009142,0.009142
15,362.052,1.84135,1.24006,1.02261,0.66058,0.38766,0.4311,0.22051,1.91255,1.44825,1.04012,0.009076,0.009076,0.009076
16,382.761,1.9143,1.24755,1.01291,0.68162,0.39408,0.46456,0.24397,1.87424,1.42967,1.04175,0.00901,0.00901,0.00901
17,401.832,1.8563,1.24873,1.02284,0.69487,0.38795,0.46507,0.24437,1.85777,1.29952,1.0356,0.008944,0.008944,0.008944
18,419.886,1.82516,1.2221,1.00727,0.70556,0.37994,0.46081,0.2437,1.87709,1.30673,1.04019,0.008878,0.008878,0.008878
19,439.03,1.88072,1.22978,1.00936,0.68111,0.36542,0.44533,0.2224,2.04707,1.40475,1.0723,0.008812,0.008812,0.008812
