epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.979,2.38703,2.82951,1.24139,0.43644,0.24782,0.23522,0.10322,2.2659,2.03037,1.1547,0.0701429,0.00331746,0.00331746
2,211.689,2.30113,1.83239,1.16917,0.58096,0.32751,0.35448,0.16101,2.09601,1.68138,1.10677,0.040099,0.0066069,0.0066069
3,265.268,2.27768,1.65288,1.14591,0.55852,0.30717,0.32935,0.13942,2.18126,1.84678,1.14701,0.0100111,0.00985234,0.00985234
4,319.735,2.27733,1.58903,1.13409,0.65406,0.30867,0.36486,0.17538,2.12055,1.6871,1.13299,0.009802,0.009802,0.009802
5,372.678,2.23941,1.51725,1.12235,0.64351,0.34695,0.38619,0.17625,2.08354,1.49263,1.09721,0.009736,0.009736,0.009736
6,422.382,2.1683,1.45014,1.10242,0.61314,0.35639,0.397,0.1966,2.03325,1.45999,1.06509,0.00967,0.00967,0.00967
7,473.127,2.15438,1.40679,1.10076,0.65364,0.35312,0.39291,0.18483,2.0613,1.49845,1.09502,0.009604,0.009604,0.009604
8,519.694,2.09214,1.34762,1.0856,0.63854,0.36139,0.41054,0.20221,2.01134,1.51461,1.06601,0.009538,0.009538,0.009538
9,570.182,2.09499,1.30159,1.08222,0.69245,0.38017,0.43881,0.21658,1.94481,1.34043,1.05443,0.009472,0.009472,0.009472
10,624.359,2.08226,1.28741,1.06784,0.65905,0.39713,0.44691,0.22852,1.94594,1.37528,1.05708,0.009406,0.009406,0.009406
11,676.358,2.06552,1.26482,1.06426,0.69855,0.39726,0.44587,0.2262,1.95039,1.30896,1.05243,0.00934,0.00934,0.00934
12,725.837,2.05729,1.25464,1.06383,0.70835,0.40101,0.46497,0.23737,1.88432,1.2597,1.04458,0.009274,0.009274,0.009274
13,777.816,2.05102,1.24576,1.06248,0.68733,0.40683,0.45497,0.23018,1.9063,1.30929,1.04683,0.009208,0.009208,0.009208
14,823.187,2.01152,1.20748,1.05048,0.7344,0.39712,0.46363,0.23763,1.84875,1.21883,1.02387,0.009142,0.009142,0.009142
15,871.034,1.98934,1.1776,1.04375,0.71653,0.39671,0.46537,0.23932,1.88041,1.26578,1.03086,0.009076,0.009076,0.009076
16,918.737,2.0101,1.18652,1.05001,0.71719,0.41822,0.48162,0.24865,1.82367,1.18081,1.01943,0.00901,0.00901,0.00901
17,967.316,1.98404,1.16397,1.0424,0.71772,0.41098,0.46886,0.2473,1.83689,1.1883,1.03411,0.008944,0.008944,0.008944
18,1018.95,1.97054,1.1574,1.04037,0.69807,0.4261,0.48049,0.2531,1.84694,1.16386,1.01773,0.008878,0.008878,0.008878
19,1073.76,1.9676,1.15472,1.04114,0.70125,0.4149,0.47984,0.25327,1.8582,1.19562,1.02051,0.008812,0.008812,0.008812
20,1119.75,1.94825,1.13381,1.03402,0.70662,0.436,0.48649,0.25907,1.841,1.17244,1.02255,0.008746,0.008746,0.008746
21,1165.96,1.93032,1.12086,1.0345,0.6992,0.4171,0.47852,0.2685,1.76883,1.13109,1.00638,0.00868,0.00868,0.00868
22,1213.53,1.94523,1.11282,1.02917,0.72042,0.42128,0.48563,0.26393,1.8007,1.14979,1.00904,0.008614,0.008614,0.008614
23,1265.08,1.9313,1.11129,1.02589,0.73054,0.42593,0.48646,0.26378,1.79352,1.17272,1.00294,0.008548,0.008548,0.008548
24,1304.75,1.91975,1.09707,1.02032,0.73095,0.43118,0.49346,0.26453,1.81187,1.13115,1.01218,0.008482,0.008482,0.008482
25,1349.15,1.8935,1.08458,1.02155,0.72444,0.44488,0.50086,0.27576,1.74547,1.1219,0.99172,0.008416,0.008416,0.008416
26,1395.44,1.92382,1.09662,1.01737,0.7446,0.42323,0.49026,0.26191,1.79816,1.13938,1.00902,0.00835,0.00835,0.00835
27,1440.53,1.89904,1.07988,1.01707,0.73298,0.43407,0.49212,0.26371,1.79495,1.12234,1.00638,0.008284,0.008284,0.008284
28,1492.53,1.89275,1.06514,1.0166,0.73684,0.42967,0.48839,0.26712,1.76092,1.11453,0.99541,0.008218,0.008218,0.008218
29,1539.24,1.9023,1.07427,1.01457,0.73801,0.43781,0.49833,0.27118,1.75668,1.09535,0.99513,0.008152,0.008152,0.008152
30,1583.95,1.86393,1.04894,1.01137,0.73571,0.44287,0.50248,0.28231,1.7275,1.07292,0.99345,0.008086,0.008086,0.008086
31,1633.41,1.90146,1.06705,1.0125,0.72585,0.44474,0.50514,0.27289,1.74099,1.08877,1.00042,0.00802,0.00802,0.00802
32,1677.12,1.85809,1.04608,1.00564,0.74603,0.43988,0.49819,0.27438,1.74198,1.119,0.99537,0.007954,0.007954,0.007954
33,1722.44,1.87305,1.05344,1.01149,0.73758,0.44398,0.50167,0.28014,1.72533,1.0834,0.99119,0.007888,0.007888,0.007888
34,1768.04,1.86343,1.03114,1.00418,0.72916,0.44132,0.50623,0.28507,1.73132,1.10194,0.98862,0.007822,0.007822,0.007822
35,1818.07,1.85878,1.03487,1.00451,0.75561,0.44204,0.50999,0.28516,1.71516,1.077,0.9855,0.007756,0.007756,0.007756
36,1863.07,1.86243,1.03814,1.00447,0.74085,0.44527,0.51232,0.28729,1.72136,1.06996,0.98848,0.00769,0.00769,0.00769
37,1911.74,1.86628,1.0335,1.00294,0.75045,0.44557,0.51026,0.28766,1.69966,1.06391,0.98446,0.007624,0.007624,0.007624
38,1957.58,1.84222,1.02091,1.00272,0.74538,0.45407,0.51435,0.2925,1.70131,1.06722,0.98165,0.007558,0.007558,0.007558
39,2005.8,1.84956,1.02481,0.99948,0.76315,0.44818,0.51867,0.29476,1.68074,1.04878,0.9775,0.007492,0.007492,0.007492
40,2047.44,1.83547,1.00903,0.9962,0.74496,0.4433,0.51757,0.29334,1.70404,1.07157,0.98564,0.007426,0.007426,0.007426
41,2089.31,1.81438,1.00234,0.99687,0.75479,0.4453,0.51882,0.29308,1.68631,1.04612,0.98022,0.00736,0.00736,0.00736
42,2130.92,1.83542,1.00353,0.99403,0.7408,0.44498,0.50944,0.28023,1.70072,1.08409,0.98487,0.007294,0.007294,0.007294
43,2178.27,1.81858,1.00197,0.99421,0.7387,0.45391,0.51655,0.28901,1.71038,1.06626,0.98328,0.007228,0.007228,0.007228
44,2219.77,1.80928,1.00493,0.99429,0.76933,0.45216,0.52519,0.29034,1.69888,1.04431,0.98333,0.007162,0.007162,0.007162
45,2265.66,1.8244,1.00415,0.98933,0.75977,0.45246,0.52328,0.29391,1.69141,1.05703,0.97757,0.007096,0.007096,0.007096
46,2315.01,1.81371,0.9997,0.9939,0.7486,0.4576,0.52377,0.29434,1.69185,1.04405,0.98172,0.00703,0.00703,0.00703
47,2361.69,1.81823,1.00494,0.99072,0.76442,0.44723,0.5141,0.29348,1.6709,1.04665,0.97413,0.006964,0.006964,0.006964
48,2407.1,1.78969,0.9842,0.98823,0.74162,0.45136,0.51801,0.29807,1.66941,1.05249,0.97342,0.006898,0.006898,0.006898
49,2448.87,1.80284,0.99296,0.98702,0.73443,0.46063,0.52244,0.29556,1.67064,1.04277,0.9744,0.006832,0.006832,0.006832
50,2489.96,1.77618,0.96526,0.98554,0.76085,0.45632,0.52221,0.29457,1.66273,1.02023,0.97281,0.006766,0.006766,0.006766
51,2533.41,1.79553,0.97916,0.98198,0.75525,0.4591,0.52179,0.29675,1.66179,1.02635,0.97061,0.0067,0.0067,0.0067
52,2577.01,1.77258,0.97132,0.98683,0.75081,0.4499,0.51772,0.29487,1.68352,1.03684,0.9798,0.006634,0.006634,0.006634
53,2620.49,1.7743,0.9673,0.98276,0.76521,0.46014,0.52602,0.29465,1.68792,1.03395,0.97869,0.006568,0.006568,0.006568
54,2666.24,1.77698,0.96623,0.98461,0.76043,0.45447,0.52155,0.29655,1.66517,1.02632,0.97665,0.006502,0.006502,0.006502
55,2710.38,1.77039,0.97108,0.97628,0.7542,0.4619,0.53665,0.31314,1.65295,1.02275,0.97112,0.006436,0.006436,0.006436
56,2754.55,1.75958,0.95522,0.98271,0.7696,0.46069,0.52737,0.29971,1.65041,1.02991,0.97214,0.00637,0.00637,0.00637
57,2798.33,1.75765,0.95403,0.97644,0.73608,0.46586,0.53009,0.31122,1.64071,1.00619,0.9682,0.006304,0.006304,0.006304
58,2841.29,1.77308,0.96583,0.97845,0.76803,0.45928,0.52377,0.30159,1.64723,1.02139,0.96921,0.006238,0.006238,0.006238
59,2885.69,1.73725,0.94739,0.97469,0.75616,0.46645,0.53311,0.30993,1.65263,0.99879,0.96984,0.006172,0.006172,0.006172
60,2933.48,1.73748,0.94527,0.97781,0.76441,0.46916,0.53607,0.31189,1.64998,0.9904,0.97017,0.006106,0.006106,0.006106
61,2976.65,1.75637,0.94589,0.97419,0.75744,0.46516,0.53281,0.30868,1.64073,1.0205,0.96793,0.00604,0.00604,0.00604
62,3017.4,1.75858,0.95021,0.9726,0.76788,0.46539,0.53319,0.30618,1.64611,1.00265,0.96807,0.005974,0.005974,0.005974
63,3059.56,1.73201,0.94283,0.9716,0.76227,0.46541,0.53264,0.30997,1.63943,0.99319,0.96654,0.005908,0.005908,0.005908
64,3110.01,1.75737,0.93787,0.97033,0.76585,0.46612,0.52943,0.3004,1.64652,0.99088,0.96972,0.005842,0.005842,0.005842
65,3162.11,1.72412,0.93033,0.96813,0.76856,0.46108,0.53616,0.30575,1.63935,1.00832,0.96683,0.005776,0.005776,0.005776
66,3212.74,1.73443,0.93734,0.97601,0.76547,0.46108,0.53313,0.31045,1.62166,0.99162,0.96479,0.00571,0.00571,0.00571
67,3256.39,1.739,0.93609,0.97341,0.77101,0.46046,0.53306,0.30959,1.62458,0.9957,0.96311,0.005644,0.005644,0.005644
68,3306.45,1.73725,0.93615,0.96707,0.76558,0.46915,0.5387,0.31144,1.61415,0.9898,0.96076,0.005578,0.005578,0.005578
69,3354.01,1.72777,0.92707,0.97028,0.7581,0.47352,0.53691,0.30873,1.62824,0.99618,0.96497,0.005512,0.005512,0.005512
