                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9173,                 4.0515,                 2.2305,                0.01031,                0.01931,                0.00632,                0.00187,                 3.5336,                 3.5565,                 1.7727,               0.070143,              0.0033175,              0.0033175
                      2,                  3.186,                 2.9999,                 1.5855,                0.03562,                0.00585,                0.02061,                0.00755,                 3.8416,                 3.8694,                 1.6726,               0.039594,              0.0061021,              0.0061021
                      3,                 2.8897,                 2.7629,                 1.5212,                0.05979,                0.04405,                0.04085,                0.01676,                 3.1831,                  2.944,                 1.4021,              0.0084955,              0.0083367,              0.0083367
                      4,                 2.7323,                 2.4437,                 1.4377,                0.35263,                0.03964,                0.05091,                0.02232,                 2.6064,                 2.8054,                 1.3369,               0.007525,               0.007525,               0.007525
                      5,                 2.6161,                 2.1963,                 1.3808,                0.28379,                 0.1152,                0.11459,                0.05095,                 2.3729,                 1.9195,                 1.2879,               0.007525,               0.007525,               0.007525
                      6,                 2.5055,                 2.0003,                 1.3366,                0.37457,                0.15705,                0.16841,                0.07899,                 2.2719,                 1.7939,                 1.2015,                 0.0067,                 0.0067,                 0.0067
                      7,                 2.4234,                 1.8266,                 1.3006,                 0.3476,                0.13866,                0.15973,                0.07872,                 2.2118,                 1.7261,                 1.1914,               0.005875,               0.005875,               0.005875
                      8,                 2.3775,                 1.7489,                 1.2672,                0.57285,                0.21173,                0.23786,                 0.1132,                 2.1879,                 1.6835,                 1.1912,                0.00505,                0.00505,                0.00505
                      9,                 2.3127,                 1.6667,                 1.2553,                0.43157,                0.16095,                0.17923,                 0.0853,                 2.2212,                 1.7368,                 1.1855,               0.004225,               0.004225,               0.004225
                     10,                 2.2655,                 1.5913,                 1.2338,                0.59047,                0.25238,                0.30119,                0.14827,                 2.0996,                 1.6067,                  1.145,                 0.0034,                 0.0034,                 0.0034
                     11,                 2.2368,                 1.5535,                 1.2125,                0.59285,                0.30065,                0.34099,                0.17498,                 2.0167,                 1.4404,                 1.1237,               0.002575,               0.002575,               0.002575
                     12,                 2.1887,                 1.5028,                 1.2031,                 0.6625,                 0.2973,                 0.3493,                0.17682,                 1.9967,                 1.4147,                 1.1144,                0.00175,                0.00175,                0.00175
