                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4224,                 3.9017,                  3.141,                0.22093,                 0.0343,                0.01074,                0.00271,                   3.76,                 3.0649,                 2.2889,               0.070143,              0.0033175,              0.0033175
                      2,                 3.3319,                 2.7457,                 1.9256,                0.03112,                0.01152,                0.01676,                0.00523,                 3.2244,                 3.5589,                  1.727,               0.039594,              0.0061021,              0.0061021
                      3,                 3.0068,                 2.5618,                 1.7846,                0.09818,                0.05741,                0.04268,                0.01432,                 3.0968,                 2.6041,                 1.6448,              0.0084955,              0.0083367,              0.0083367
                      4,                 2.8211,                 2.2596,                 1.6535,                0.40797,                0.07667,                0.10263,                0.04514,                 2.6637,                  2.658,                 1.5393,               0.007525,               0.007525,               0.007525
                      5,                  2.681,                 2.0643,                 1.5579,                0.36396,                  0.175,                 0.1709,                0.06825,                 2.5694,                 1.9543,                 1.4273,               0.007525,               0.007525,               0.007525
                      6,                 2.5595,                 1.9127,                 1.4926,                 0.5075,                0.20179,                0.21211,                0.09361,                 2.3187,                 1.7109,                 1.3317,                 0.0067,                 0.0067,                 0.0067
                      7,                 2.4565,                 1.7333,                 1.4338,                0.60924,                 0.2224,                0.28133,                0.11949,                 2.3058,                 1.6565,                 1.3305,               0.005875,               0.005875,               0.005875
                      8,                 2.4123,                 1.6673,                 1.3883,                0.56437,                0.26485,                0.29971,                0.13284,                 2.2242,                 1.5527,                 1.2882,                0.00505,                0.00505,                0.00505
                      9,                 2.3438,                  1.587,                 1.3772,                0.57006,                0.20952,                0.24561,                 0.1152,                 2.2786,                 1.5796,                   1.28,               0.004225,               0.004225,               0.004225
                     10,                 2.2962,                 1.5098,                 1.3566,                 0.6022,                0.27631,                0.32694,                0.15738,                 2.0938,                 1.5054,                 1.2367,                 0.0034,                 0.0034,                 0.0034
                     11,                 2.2517,                  1.476,                 1.3264,                0.61994,                0.30556,                0.35193,                0.17197,                 2.0571,                 1.4015,                 1.2195,               0.002575,               0.002575,               0.002575
                     12,                 2.2061,                 1.4289,                 1.3179,                0.64199,                0.32758,                0.37429,                0.17805,                 2.0327,                 1.3471,                 1.2058,                0.00175,                0.00175,                0.00175
