epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9504,4.36683,4.58575,3.00585,0.44239,0.03575,0.02459,0.00801,3.51404,4.41664,2.07959,0.0700716,0.00332538,0.00332538
2,124.281,3.32597,2.75864,1.87958,0.18777,0.12978,0.0756,0.02634,3.04095,2.51955,1.68639,0.0400277,0.00661476,0.00661476
3,174.667,2.96914,2.39948,1.62316,0.25948,0.13226,0.11692,0.04235,2.94381,2.39725,1.62032,0.0099397,0.00986015,0.00986015
4,228.014,2.7961,2.16019,1.49352,0.44536,0.16648,0.15655,0.0608,2.80357,2.12559,1.50785,0.009802,0.009802,0.009802
5,280.307,2.6276,1.8968,1.41934,0.55411,0.2264,0.25029,0.10517,2.59747,1.90421,1.44215,0.009736,0.009736,0.009736
6,339.68,2.5031,1.75829,1.35984,0.53227,0.27102,0.29698,0.13416,2.39473,1.74646,1.31693,0.00967,0.00967,0.00967
7,390.39,2.41695,1.66367,1.33156,0.59167,0.30325,0.33612,0.1499,2.31427,1.58582,1.27589,0.009604,0.009604,0.009604
8,445.225,2.36903,1.59856,1.29437,0.64471,0.29848,0.34635,0.1591,2.27259,1.6179,1.25893,0.009538,0.009538,0.009538
9,498.065,2.32586,1.53161,1.28259,0.62774,0.30666,0.35119,0.16712,2.21587,1.5041,1.26095,0.009472,0.009472,0.009472
10,555.147,2.28351,1.4792,1.26834,0.63192,0.33829,0.39269,0.18997,2.16509,1.49284,1.2094,0.009406,0.009406,0.009406
11,610.851,2.23892,1.44468,1.25323,0.61676,0.34677,0.38899,0.18555,2.18913,1.45613,1.22686,0.00934,0.00934,0.00934
12,663.634,2.20518,1.40484,1.2331,0.6231,0.35963,0.40316,0.19026,2.13102,1.45488,1.20997,0.009274,0.009274,0.009274
13,715.224,2.21212,1.38489,1.23029,0.64064,0.35295,0.40233,0.1922,2.13178,1.44177,1.19194,0.009208,0.009208,0.009208
14,763.383,2.153,1.35567,1.2202,0.6585,0.36413,0.41307,0.19376,2.09178,1.35357,1.19787,0.009142,0.009142,0.009142
15,815.521,2.14225,1.32473,1.21101,0.66426,0.37986,0.42398,0.20909,2.03395,1.3773,1.16981,0.009076,0.009076,0.009076
16,870.08,2.12551,1.31014,1.1975,0.67834,0.3844,0.44097,0.22201,1.99416,1.28874,1.15138,0.00901,0.00901,0.00901
17,925.473,2.09698,1.28483,1.18713,0.67985,0.3788,0.42983,0.22077,1.98301,1.32119,1.14454,0.008944,0.008944,0.008944
18,978.135,2.09445,1.27099,1.18658,0.69403,0.38446,0.45534,0.23073,1.991,1.32723,1.14596,0.008878,0.008878,0.008878
19,1030.1,2.08798,1.26404,1.18154,0.67558,0.38968,0.44052,0.22664,1.98391,1.27519,1.14575,0.008812,0.008812,0.008812
20,1085.56,2.05614,1.22397,1.17389,0.70526,0.38709,0.44191,0.2116,2.01733,1.26762,1.16862,0.008746,0.008746,0.008746
21,1137.29,2.04682,1.23624,1.17145,0.70078,0.40071,0.46059,0.2431,1.92938,1.24379,1.12918,0.00868,0.00868,0.00868
22,1193.74,2.02333,1.18928,1.16099,0.70471,0.40949,0.46573,0.24239,1.95036,1.2168,1.12636,0.008614,0.008614,0.008614
23,1249.68,2.03964,1.21839,1.16233,0.69799,0.3999,0.45595,0.23856,1.94085,1.22288,1.13365,0.008548,0.008548,0.008548
24,1302.68,2.00622,1.18316,1.15491,0.71838,0.40054,0.46618,0.23284,1.97511,1.21958,1.13616,0.008482,0.008482,0.008482
25,1351.9,1.99909,1.17859,1.15486,0.69677,0.40797,0.47023,0.25271,1.85059,1.18214,1.10273,0.008416,0.008416,0.008416
26,1409.35,2.01105,1.16985,1.14227,0.73014,0.4222,0.48069,0.25742,1.87896,1.17962,1.10978,0.00835,0.00835,0.00835
27,1462.81,1.9743,1.14695,1.14758,0.7165,0.42612,0.48488,0.25487,1.86709,1.17744,1.10402,0.008284,0.008284,0.008284
28,1520.36,1.98304,1.14884,1.14221,0.71939,0.42542,0.48191,0.25625,1.84059,1.1563,1.09848,0.008218,0.008218,0.008218
29,1570.7,1.94302,1.13678,1.13252,0.71252,0.43211,0.48454,0.25283,1.84298,1.15709,1.10001,0.008152,0.008152,0.008152
30,1622.94,1.9288,1.1178,1.1317,0.7157,0.4296,0.48623,0.26372,1.84567,1.15027,1.0966,0.008086,0.008086,0.008086
31,1679.39,1.95752,1.12184,1.13521,0.71713,0.42834,0.48262,0.25788,1.83345,1.14967,1.09396,0.00802,0.00802,0.00802
32,1817.86,1.92988,1.10533,1.12512,0.7394,0.43494,0.49525,0.26312,1.82885,1.13353,1.09031,0.007954,0.007954,0.007954
33,1871.53,1.94172,1.1113,1.13102,0.72785,0.42924,0.48849,0.26076,1.82862,1.12797,1.0935,0.007888,0.007888,0.007888
34,1944.99,1.92812,1.11097,1.1221,0.7333,0.4286,0.49043,0.26329,1.81988,1.15708,1.09062,0.007822,0.007822,0.007822
35,2001.8,1.91829,1.0964,1.1241,0.72515,0.42819,0.48685,0.25891,1.83648,1.13481,1.09327,0.007756,0.007756,0.007756
36,2072.14,1.90751,1.08379,1.12215,0.7247,0.43605,0.49701,0.27032,1.78582,1.10991,1.0779,0.00769,0.00769,0.00769
37,2128.47,1.88648,1.076,1.11566,0.74137,0.43494,0.50072,0.26506,1.81843,1.11007,1.09145,0.007624,0.007624,0.007624
38,2181.3,1.88313,1.06506,1.11065,0.73817,0.43435,0.49648,0.26797,1.77423,1.10338,1.08049,0.007558,0.007558,0.007558
39,2232.25,1.89224,1.07044,1.11965,0.76422,0.44039,0.51182,0.27839,1.7934,1.08957,1.08024,0.007492,0.007492,0.007492
40,2290.75,1.88354,1.06078,1.10434,0.7513,0.43643,0.50163,0.26712,1.79732,1.09287,1.08447,0.007426,0.007426,0.007426
41,2348.7,1.85089,1.04006,1.10577,0.74752,0.4363,0.50055,0.27076,1.76183,1.09329,1.06739,0.00736,0.00736,0.00736
42,2405.08,1.86537,1.05359,1.09997,0.74888,0.44689,0.51221,0.28112,1.74131,1.06879,1.06484,0.007294,0.007294,0.007294
