                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4339,                 6.4887,                 3.8623,                  2e-05,                0.00038,                  1e-05,                      0,                  6.148,                 6.6706,                 4.2562,             0.00036504,             0.00036504,             0.00036504
                      2,                 4.3293,                 3.5059,                 2.6172,                  2e-05,                0.00022,                  1e-05,                      0,                 6.2013,                 7.2394,                 4.5967,             0.00067471,             0.00067471,             0.00067471
                      3,                 3.9964,                 3.2515,                 2.1844,                0.01632,                0.06785,                0.01362,                0.00383,                 3.8752,                 3.0146,                 2.1109,             0.00092327,             0.00092327,             0.00092327
                      4,                 3.7431,                 3.1054,                 2.0482,                0.23751,                0.02359,                0.01222,                0.00349,                 3.7995,                 2.8668,                 1.8125,             0.00083603,             0.00083603,             0.00083603
                      5,                 3.6019,                 2.9243,                 1.8686,                0.26394,                0.04054,                 0.0202,                0.00668,                 3.5206,                 2.7688,                 1.7688,             0.00083603,             0.00083603,             0.00083603
                      6,                 3.4552,                 2.7096,                 1.7547,                0.24893,                0.01641,                0.01602,                0.00523,                  3.763,                 3.5724,                 1.7453,             0.00074437,             0.00074437,             0.00074437
                      7,                 3.3453,                 2.6867,                 1.7276,                0.26876,                0.03929,                0.02837,                 0.0091,                 3.5324,                 2.5547,                 1.5926,             0.00065271,             0.00065271,             0.00065271
                      8,                  3.243,                 2.5252,                 1.6546,                 0.3051,                0.05769,                0.03839,                0.01356,                 3.1549,                 2.4749,                 1.4871,             0.00056105,             0.00056105,             0.00056105
                      9,                  3.175,                 2.4589,                 1.6092,                0.35615,                0.09448,                0.06667,                0.02307,                 3.0463,                 2.2205,                 1.4666,              0.0004694,              0.0004694,              0.0004694
                     10,                 3.0772,                 2.3567,                  1.575,                 0.3366,                0.08444,                0.05891,                0.01995,                 3.1382,                 2.2629,                  1.457,             0.00037774,             0.00037774,             0.00037774
                     11,                 3.0431,                 2.3647,                 1.5678,                0.37941,                 0.1103,                0.07919,                 0.0257,                  3.043,                 2.1689,                 1.4579,             0.00028608,             0.00028608,             0.00028608
                     12,                 3.0596,                  2.309,                 1.5463,                0.36927,                0.11157,                0.07571,                0.02494,                  2.998,                 2.1536,                 1.4469,             0.00019442,             0.00019442,             0.00019442
