                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3594,                 6.0744,                 3.9109,                  3e-05,                0.00041,                  1e-05,                      0,                 6.1435,                 6.4787,                 4.3378,             0.00036504,             0.00036504,             0.00036504
                      2,                 4.1845,                 3.2245,                 2.5961,                  3e-05,                0.00041,                  1e-05,                      0,                 6.0847,                 6.1027,                 4.1959,             0.00067471,             0.00067471,             0.00067471
                      3,                 3.8057,                  3.061,                 2.1654,                0.43908,                0.03136,                0.01365,                0.00378,                 3.8446,                 2.8615,                 2.0375,             0.00092327,             0.00092327,             0.00092327
                      4,                 3.5133,                 2.8712,                 1.9984,                0.46025,                0.02394,                0.01674,                0.00452,                 3.5878,                 3.2502,                 1.7868,             0.00083603,             0.00083603,             0.00083603
                      5,                 3.4028,                 2.7322,                   1.85,                0.10359,                0.04712,                0.03112,                0.00942,                 3.4635,                  2.736,                 1.6971,             0.00083603,             0.00083603,             0.00083603
                      6,                 3.2099,                 2.4665,                 1.7038,                0.27721,                0.03835,                0.03558,                 0.0121,                 3.4376,                 2.8351,                 1.6037,             0.00074437,             0.00074437,             0.00074437
                      7,                 3.1619,                  2.379,                 1.6775,                0.33743,                0.08214,                 0.0528,                0.01732,                 3.0897,                 2.2732,                 1.5255,             0.00065271,             0.00065271,             0.00065271
                      8,                 3.0318,                 2.2648,                 1.6127,                0.34595,                0.10809,                0.07025,                0.02492,                 3.0019,                 2.2756,                 1.4528,             0.00056105,             0.00056105,             0.00056105
                      9,                 2.9903,                 2.2014,                 1.5719,                0.32145,                0.12103,                0.08529,                0.02951,                 2.9616,                 2.0731,                 1.4445,              0.0004694,              0.0004694,              0.0004694
                     10,                  2.911,                 2.0996,                   1.54,                0.25782,                0.12102,                0.08975,                0.03128,                 2.9207,                 2.1024,                 1.4299,             0.00037774,             0.00037774,             0.00037774
                     11,                 2.8449,                 2.0658,                 1.5291,                0.30302,                0.15022,                0.11782,                0.04748,                 2.7745,                 1.9088,                 1.4154,             0.00028608,             0.00028608,             0.00028608
                     12,                 2.8619,                 2.0212,                 1.5062,                0.35995,                0.16029,                0.14016,                0.05484,                 2.7675,                 2.0012,                 1.3986,             0.00019442,             0.00019442,             0.00019442
