                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.569,                 2.8119,                 1.1781,                0.25232,                0.10003,                0.08767,                 0.0354,                 2.4242,                 2.1267,                  1.107,             0.00036855,             0.00036855,             0.00036855
                      2,                 2.4023,                 1.9278,                 1.1146,                0.39167,                 0.2176,                0.18628,                0.08216,                 2.2569,                 2.0608,                 1.1043,             0.00067793,             0.00067793,             0.00067793
                      3,                 2.3064,                 1.8162,                 1.1219,                0.42666,                 0.1538,                 0.1694,                0.07502,                 2.2469,                 1.6623,                  1.047,              0.0009262,              0.0009262,              0.0009262
                      4,                 2.2468,                 1.7438,                 1.1124,                0.54182,                 0.2618,                0.28136,                 0.1257,                 2.1572,                 1.5436,                 1.0474,             0.00083603,             0.00083603,             0.00083603
                      5,                 2.2021,                 1.6155,                  1.097,                0.64264,                 0.2377,                0.27334,                0.12827,                  2.128,                 1.5112,                 1.0452,             0.00083603,             0.00083603,             0.00083603
                      6,                 2.1495,                 1.5097,                 1.0806,                0.58201,                0.26353,                0.28736,                 0.1344,                 2.1013,                  1.439,                 1.0281,             0.00074437,             0.00074437,             0.00074437
                      7,                 2.1146,                 1.4419,                 1.0684,                 0.5867,                0.29352,                0.33508,                 0.1619,                 2.0421,                 1.4717,                 1.0164,             0.00065271,             0.00065271,             0.00065271
                      8,                 2.0898,                 1.3917,                 1.0614,                0.62523,                0.26627,                 0.3057,                0.14627,                 2.0281,                 1.3296,                 1.0151,             0.00056105,             0.00056105,             0.00056105
                      9,                  2.063,                 1.3641,                  1.049,                0.62519,                0.32902,                0.37511,                0.18061,                 1.9857,                 1.2862,                0.99825,              0.0004694,              0.0004694,              0.0004694
                     10,                 2.0214,                 1.3196,                 1.0401,                0.66851,                0.31756,                0.37128,                 0.1801,                 1.9691,                 1.2642,                 1.0025,             0.00037774,             0.00037774,             0.00037774
                     11,                 1.9893,                 1.2665,                 1.0271,                0.66788,                0.33775,                0.38777,                 0.1881,                 1.9568,                 1.2469,                0.99077,             0.00028608,             0.00028608,             0.00028608
                     12,                  1.961,                 1.2294,                 1.0232,                0.65972,                0.33384,                0.38325,                0.18855,                 1.9138,                 1.1942,                0.98721,             0.00019442,             0.00019442,             0.00019442
