                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2629,                 6.2745,                 3.8624,                  1e-05,                  3e-05,                      0,                      0,                  6.147,                 6.8167,                 4.3294,             0.00036504,             0.00036504,             0.00036504
                      2,                 4.2151,                 3.3754,                 2.5706,                0.00267,                0.01748,                0.00327,                0.00101,                 4.4185,                 4.7359,                  3.193,             0.00067471,             0.00067471,             0.00067471
                      3,                 3.9143,                 3.1856,                 2.1898,                0.00802,                0.04862,                0.00494,                0.00136,                 4.1104,                 3.6776,                 2.3225,             0.00092327,             0.00092327,             0.00092327
                      4,                  3.729,                 3.0696,                 2.0844,                0.46183,                0.02514,                0.01612,                0.00441,                 3.7837,                 3.0373,                 1.9063,             0.00083603,             0.00083603,             0.00083603
                      5,                 3.6201,                 2.8774,                 1.9494,                0.30247,                0.04669,                0.02753,                0.00818,                 3.6154,                 2.8272,                 1.7219,             0.00083603,             0.00083603,             0.00083603
                      6,                 3.4665,                 2.7013,                 1.8051,                0.29361,                0.05601,                0.03868,                0.01277,                 3.5643,                 2.9642,                 1.6118,             0.00074437,             0.00074437,             0.00074437
                      7,                 3.3394,                 2.5836,                 1.7679,                 0.3311,                0.06197,                0.03581,                0.01078,                 3.3973,                 2.5701,                 1.6216,             0.00065271,             0.00065271,             0.00065271
                      8,                 3.2382,                 2.4788,                 1.6987,                0.31668,                0.06606,                0.04582,                0.01649,                  3.282,                 2.5586,                  1.518,             0.00056105,             0.00056105,             0.00056105
                      9,                 3.1688,                 2.4107,                 1.6385,                0.16666,                0.12399,                0.07855,                0.02802,                 3.0571,                 2.1767,                 1.5485,              0.0004694,              0.0004694,              0.0004694
                     10,                 3.0831,                 2.3041,                 1.6162,                0.36465,                0.12391,                 0.0829,                0.03067,                  3.004,                 2.1495,                 1.4693,             0.00037774,             0.00037774,             0.00037774
                     11,                 3.0285,                  2.292,                 1.5973,                0.17375,                0.12032,                0.08742,                0.03381,                 3.0097,                 2.1619,                 1.4653,             0.00028608,             0.00028608,             0.00028608
                     12,                 3.0679,                 2.2542,                 1.5802,                0.21064,                0.13631,                0.09489,                0.03427,                 2.9376,                 2.1075,                 1.4561,             0.00019442,             0.00019442,             0.00019442
