                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2859,                 6.3137,                 3.8815,                  1e-05,                  3e-05,                      0,                      0,                 6.1434,                 6.7981,                 4.3152,             0.00036504,             0.00036504,             0.00036504
                      2,                 4.2598,                 3.4335,                 2.6297,                0.00306,                0.01442,                0.00404,                0.00111,                 4.5079,                 4.7989,                 3.2988,             0.00067471,             0.00067471,             0.00067471
                      3,                 3.9853,                 3.2323,                 2.2422,                0.01376,                0.07761,                0.01032,                 0.0028,                 4.0159,                 3.1943,                 2.2387,             0.00092327,             0.00092327,             0.00092327
                      4,                  3.812,                 3.1766,                 2.1437,                0.23256,                0.02655,                0.01366,                0.00368,                 3.8634,                 2.9569,                  1.986,             0.00083603,             0.00083603,             0.00083603
                      5,                 3.7361,                 3.0177,                 2.0036,                0.23401,                0.01819,                0.01042,                0.00292,                 4.1434,                 3.6551,                 1.8189,             0.00083603,             0.00083603,             0.00083603
                      6,                 3.5479,                 2.8356,                 1.8351,                0.48583,                0.02996,                0.02388,                0.00688,                 3.6153,                 2.8965,                 1.6405,             0.00074437,             0.00074437,             0.00074437
                      7,                 3.4307,                 2.7548,                 1.8132,                0.09039,                0.06412,                0.03193,                0.00977,                  3.343,                 2.6458,                 1.6449,             0.00065271,             0.00065271,             0.00065271
                      8,                 3.3016,                 2.6127,                 1.7292,                0.33385,                0.06091,                0.04116,                0.01449,                 3.2707,                 2.5335,                 1.5745,             0.00056105,             0.00056105,             0.00056105
                      9,                  3.259,                 2.5658,                 1.6716,                   0.35,                0.09668,                0.06156,                0.02036,                 3.2407,                 2.3292,                 1.5903,              0.0004694,              0.0004694,              0.0004694
                     10,                 3.1654,                 2.4514,                 1.6414,                0.34713,                0.09241,                0.06185,                0.02188,                 3.1539,                 2.3448,                 1.5122,             0.00037774,             0.00037774,             0.00037774
                     11,                 3.1162,                  2.462,                 1.6399,                 0.3546,                0.10754,                0.07025,                0.02509,                 3.1098,                 2.2954,                  1.512,             0.00028608,             0.00028608,             0.00028608
                     12,                 3.1383,                 2.4016,                  1.611,                0.34863,                0.10937,                0.07363,                0.02702,                 3.0699,                  2.326,                 1.4715,             0.00019442,             0.00019442,             0.00019442
