                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2664,                 5.9893,                 3.9575,                  3e-05,                0.00041,                  1e-05,                      0,                 6.1393,                 6.4599,                 4.3311,             0.00036504,             0.00036504,             0.00036504
                      2,                 4.2008,                 3.2184,                  2.624,                0.01534,                0.04154,                0.01114,                0.00332,                  4.207,                 3.4978,                 2.8139,             0.00067471,             0.00067471,             0.00067471
                      3,                 3.9285,                 3.0852,                 2.2074,                0.24325,                0.03433,                 0.0169,                0.00496,                 3.8196,                 2.8501,                  2.035,             0.00092327,             0.00092327,             0.00092327
                      4,                 3.7536,                 2.9761,                 2.1236,                0.01737,                0.04276,                0.01517,                0.00476,                 3.6927,                 3.0381,                 1.7959,             0.00083603,             0.00083603,             0.00083603
                      5,                 3.6497,                 2.8222,                 1.9678,                0.23489,                0.06211,                0.02123,                0.00626,                 3.7341,                 2.8312,                  1.758,             0.00083603,             0.00083603,             0.00083603
                      6,                 3.4927,                 2.6547,                 1.8304,                0.28743,                0.07226,                0.03749,                0.01246,                 3.4253,                 2.9912,                 1.6018,             0.00074437,             0.00074437,             0.00074437
                      7,                 3.3762,                 2.5945,                 1.7926,                0.33825,                0.06816,                0.04204,                 0.0152,                 3.2969,                 2.5203,                 1.5738,             0.00065271,             0.00065271,             0.00065271
                      8,                 3.2425,                 2.4557,                 1.7112,                0.15152,                 0.0891,                0.06099,                0.02179,                   3.15,                 2.3314,                 1.5421,             0.00056105,             0.00056105,             0.00056105
                      9,                 3.1648,                  2.404,                 1.6565,                0.21902,                 0.1104,                0.07329,                0.02703,                 3.0914,                 2.2562,                 1.5114,              0.0004694,              0.0004694,              0.0004694
                     10,                 3.0806,                 2.3079,                 1.6218,                0.32815,                0.10079,                0.07507,                 0.0284,                   3.08,                 2.3193,                 1.4767,             0.00037774,             0.00037774,             0.00037774
                     11,                 3.0372,                  2.298,                 1.6187,                0.26376,                0.12668,                0.09464,                0.03501,                 3.0161,                 2.1211,                 1.4712,             0.00028608,             0.00028608,             0.00028608
                     12,                 3.0796,                 2.2456,                 1.6005,                0.26698,                0.12056,                0.08505,                0.03067,                 2.9879,                 2.2625,                 1.4592,             0.00019442,             0.00019442,             0.00019442
