                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7853,                 2.7633,                  1.229,                0.45344,                0.00042,                0.01917,                0.00651,                 3.1293,                 88.764,                 1.6131,               0.070429,              0.0032857,              0.0032857
                      2,                 2.8454,                 2.3813,                 1.2409,                0.00806,                0.00303,                0.00394,                0.00093,                 3.5657,                  6.264,                 1.5066,               0.039883,               0.006073,               0.006073
                      3,                 2.8289,                 2.3853,                 1.3179,                0.08249,                0.02408,                0.02718,                0.01199,                 2.9007,                  9.094,                 1.5433,              0.0087864,              0.0083102,              0.0083102
                      4,                 2.7044,                 2.2949,                  1.312,                0.11547,                0.02886,                 0.0551,                0.02185,                  2.837,                 5.7732,                 1.3204,               0.007525,               0.007525,               0.007525
                      5,                 2.6887,                  2.231,                 1.2832,                0.42861,                 0.0626,                0.05801,                0.02268,                 2.7627,                 2.5173,                 1.3199,               0.007525,               0.007525,               0.007525
                      6,                 2.6164,                 2.0226,                 1.2382,                0.37575,                0.12776,                0.14072,                0.05626,                 2.5658,                 2.2653,                  1.215,                 0.0067,                 0.0067,                 0.0067
                      7,                 2.5067,                 1.9713,                 1.2268,                0.32256,                0.12995,                0.13555,                0.05829,                 2.7992,                 2.1129,                 1.1733,               0.005875,               0.005875,               0.005875
                      8,                 2.4531,                 1.8552,                 1.2022,                0.42264,                0.22226,                0.21441,                0.09542,                 2.3676,                 1.8036,                 1.1118,                0.00505,                0.00505,                0.00505
                      9,                   2.39,                 1.8175,                 1.1656,                0.54741,                0.21364,                0.26971,                 0.1207,                 2.3016,                 1.7183,                    1.1,               0.004225,               0.004225,               0.004225
                     10,                 2.3354,                  1.741,                 1.1564,                0.49213,                0.21984,                0.24082,                0.10864,                 2.2856,                 1.6167,                 1.0906,                 0.0034,                 0.0034,                 0.0034
                     11,                 2.2687,                 1.6486,                 1.1439,                0.50262,                 0.2301,                0.24063,                0.10885,                 2.2487,                 1.5729,                  1.086,               0.002575,               0.002575,               0.002575
                     12,                 2.2653,                 1.6259,                 1.1272,                0.54635,                0.26161,                0.27979,                0.13247,                 2.1479,                 1.4935,                 1.0485,                0.00175,                0.00175,                0.00175
