                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7995,                 2.7752,                 1.2296,                      0,                      0,                      0,                      0,                  3.707,                 1865.3,                  1.755,               0.070429,              0.0032857,              0.0032857
                      2,                 2.8438,                 2.3448,                  1.226,                0.00053,                  3e-05,                 0.0003,                  3e-05,                 3.7843,                 2089.3,                 1.9014,               0.039883,               0.006073,               0.006073
                      3,                   2.83,                   2.38,                 1.3101,                0.06224,                0.00295,                0.03079,                0.02011,                 3.1565,                 34.727,                 1.3818,              0.0087864,              0.0083102,              0.0083102
                      4,                 2.6804,                 2.2839,                 1.2919,                0.20701,                0.03335,                0.06063,                0.02354,                 2.7455,                 5.2881,                 1.3159,               0.007525,               0.007525,               0.007525
                      5,                 2.7364,                 2.2005,                 1.2848,                0.43135,                0.04746,                0.12219,                0.05254,                 2.8038,                 3.1224,                 1.3282,               0.007525,               0.007525,               0.007525
                      6,                 2.6394,                 2.0381,                 1.2308,                0.30291,                0.15787,                0.15001,                0.06811,                 2.4458,                 2.2388,                 1.1415,                 0.0067,                 0.0067,                 0.0067
                      7,                 2.4953,                 1.9166,                 1.2169,                0.23195,                0.08846,                0.08596,                0.03304,                 3.3386,                 2.2806,                 1.2306,               0.005875,               0.005875,               0.005875
                      8,                 2.4599,                 1.8316,                 1.1868,                0.47504,                0.19446,                0.22351,                0.10219,                 2.3479,                 1.9073,                 1.1396,                0.00505,                0.00505,                0.00505
                      9,                 2.4099,                 1.7858,                  1.163,                0.62293,                0.21109,                 0.2465,                0.11098,                 2.2873,                 1.7628,                 1.1054,               0.004225,               0.004225,               0.004225
                     10,                 2.3384,                 1.7139,                 1.1507,                0.47586,                0.22199,                0.23649,                0.10758,                 2.2657,                 1.5928,                  1.079,                 0.0034,                 0.0034,                 0.0034
                     11,                 2.2814,                 1.6286,                 1.1389,                0.54809,                0.24062,                0.27733,                  0.126,                 2.2305,                  1.558,                 1.0803,               0.002575,               0.002575,               0.002575
                     12,                 2.2642,                 1.6074,                 1.1219,                 0.5629,                0.26043,                0.27757,                0.12944,                 2.1561,                  1.533,                 1.0545,                0.00175,                0.00175,                0.00175
