                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6464,                 2.7742,                 1.1742,                0.04868,                0.01375,                0.02829,                0.01541,                 2.5695,                 3.1281,                 1.1902,               0.070429,              0.0032857,              0.0032857
                      2,                 2.5611,                 2.1128,                 1.1443,                0.10678,                0.03499,                0.06641,                0.03317,                 2.7002,                 5.0696,                 1.2023,               0.039883,               0.006073,               0.006073
                      3,                 2.5239,                 2.0619,                 1.2064,                0.33793,                0.07117,                0.10199,                0.04633,                 2.5227,                 3.0453,                 1.2396,              0.0087864,              0.0083102,              0.0083102
                      4,                 2.4053,                 1.9435,                 1.1859,                0.41161,                0.18196,                0.19578,                0.08814,                 2.3821,                 2.2683,                 1.1243,               0.007525,               0.007525,               0.007525
                      5,                 2.3925,                 1.8637,                 1.1767,                0.50194,                0.22065,                0.21381,                0.08445,                 2.3901,                 1.8798,                 1.1407,               0.007525,               0.007525,               0.007525
                      6,                 2.3442,                 1.7616,                 1.1392,                0.48339,                0.18026,                0.19019,                0.08428,                 2.2303,                 1.9563,                 1.0753,                 0.0067,                 0.0067,                 0.0067
                      7,                 2.2734,                 1.6609,                 1.1372,                 0.5564,                0.24721,                0.27397,                0.12189,                 2.2374,                 1.5949,                 1.0787,               0.005875,               0.005875,               0.005875
                      8,                 2.2335,                 1.5874,                 1.1062,                  0.531,                0.26495,                0.29862,                0.13831,                 2.1341,                 1.4928,                  1.063,                0.00505,                0.00505,                0.00505
                      9,                 2.1913,                 1.5545,                  1.092,                 0.6582,                0.23674,                0.28763,                0.13729,                 2.1013,                 1.5535,                 1.0392,               0.004225,               0.004225,               0.004225
                     10,                 2.1386,                 1.4687,                 1.0833,                0.62971,                0.27231,                 0.3152,                0.14773,                 2.1117,                 1.4264,                  1.039,                 0.0034,                 0.0034,                 0.0034
                     11,                 2.0787,                 1.4164,                  1.074,                0.59806,                0.28467,                0.33007,                0.16201,                 2.0379,                 1.3634,                 1.0246,               0.002575,               0.002575,               0.002575
                     12,                 2.0721,                 1.3856,                 1.0578,                0.61199,                0.30295,                0.34482,                0.17014,                 1.9943,                 1.3371,                 1.0128,                0.00175,                0.00175,                0.00175
