                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9335,                 2.7974,                 1.2915,                0.23969,                0.01693,                0.01414,                0.00544,                 3.1126,                 9.1014,                 1.6393,               0.070429,              0.0032857,              0.0032857
                      2,                 3.2106,                 2.6189,                 1.3779,                0.26404,                0.01352,                0.02254,                0.00746,                 3.3881,                  11.56,                 2.0368,               0.039883,               0.006073,               0.006073
                      3,                 3.2063,                 2.6979,                 1.4603,                0.07283,                0.02403,                0.01896,                0.00611,                 3.4585,                  3.262,                 1.6197,              0.0087864,              0.0083102,              0.0083102
                      4,                 2.9526,                 2.6435,                 1.4032,                0.17693,                0.04018,                0.05792,                0.02355,                 2.8623,                 2.5691,                 1.2892,               0.007525,               0.007525,               0.007525
                      5,                 2.8907,                 2.4413,                 1.3471,                0.37268,                 0.0372,                0.04039,                0.01613,                 2.9116,                 3.8826,                 1.5548,               0.007525,               0.007525,               0.007525
                      6,                 2.6782,                 2.2016,                 1.2643,                 0.5281,                0.07977,                0.06357,                0.02181,                 2.9103,                 2.6921,                 1.2327,                 0.0067,                 0.0067,                 0.0067
                      7,                 2.5957,                 2.0711,                 1.2551,                0.78392,                 0.0468,                0.07102,                0.02897,                 2.5519,                 2.7345,                 1.1655,               0.005875,               0.005875,               0.005875
                      8,                 2.4746,                 1.8897,                 1.2049,                0.43091,                0.19918,                0.18235,                0.07272,                 2.4234,                 2.0722,                 1.1616,                0.00505,                0.00505,                0.00505
                      9,                 2.4091,                 1.7936,                  1.171,                0.51805,                 0.2173,                0.23287,                0.10485,                 2.2886,                 1.6797,                 1.1028,               0.004225,               0.004225,               0.004225
                     10,                 2.3209,                 1.7049,                 1.1536,                0.03474,                0.09795,                0.01587,                0.00745,                 2.3622,                 78.808,                 1.1409,                 0.0034,                 0.0034,                 0.0034
                     11,                 2.2514,                 1.6382,                 1.1363,                0.64429,                0.24132,                0.28877,                0.13142,                 2.1912,                 1.5411,                 1.0715,               0.002575,               0.002575,               0.002575
                     12,                 2.2224,                 1.5737,                 1.1138,                0.58696,                0.26435,                0.29261,                0.13889,                  2.125,                 1.4563,                 1.0562,                0.00175,                0.00175,                0.00175
