                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6995,                 3.4454,                 1.2221,                0.31454,                0.04966,                0.06253,                0.03036,                 2.4666,                 2.5092,                 1.1439,               0.070429,              0.0032857,              0.0032857
                      2,                 2.5494,                 2.2186,                 1.1322,                0.26997,                0.12489,                0.10192,                 0.0431,                  2.483,                 2.1467,                 1.1161,               0.039883,               0.006073,               0.006073
                      3,                 2.4927,                 2.1175,                 1.1887,                0.38107,                0.14389,                0.13453,                0.05873,                 2.3742,                 2.1791,                 1.1397,              0.0087864,              0.0083102,              0.0083102
                      4,                 2.3882,                 2.0242,                  1.188,                0.43419,                  0.114,                0.12545,                0.05938,                 2.3087,                 2.8657,                  1.126,               0.007525,               0.007525,               0.007525
                      5,                 2.3932,                  1.961,                 1.1686,                0.32766,                0.19722,                0.17288,                0.06968,                 2.3465,                 2.0377,                 1.1175,               0.007525,               0.007525,               0.007525
                      6,                 2.3542,                 1.8527,                 1.1472,                0.30631,                0.17722,                0.18247,                0.08162,                 2.2309,                 2.1536,                  1.104,                 0.0067,                 0.0067,                 0.0067
                      7,                 2.2806,                 1.7385,                 1.1447,                0.52929,                0.20853,                0.22408,                0.09017,                 2.4665,                 1.7311,                 1.1084,               0.005875,               0.005875,               0.005875
                      8,                 2.2654,                 1.6587,                 1.1087,                0.56518,                0.26597,                0.30096,                 0.1385,                 2.1303,                 1.5256,                 1.0765,                0.00505,                0.00505,                0.00505
                      9,                 2.1995,                 1.6154,                  1.093,                0.57493,                0.25197,                0.30279,                0.14374,                 2.1103,                 1.5601,                 1.0457,               0.004225,               0.004225,               0.004225
                     10,                 2.1334,                 1.5575,                 1.0729,                0.57253,                0.26689,                0.29751,                0.14035,                 2.0661,                 1.5207,                 1.0263,                 0.0034,                 0.0034,                 0.0034
                     11,                  2.068,                 1.4767,                  1.061,                 0.6182,                0.26917,                0.32145,                0.15667,                 2.0673,                 1.4571,                 1.0339,               0.002575,               0.002575,               0.002575
                     12,                 2.0765,                 1.4334,                 1.0526,                0.62333,                0.30821,                0.34987,                0.16793,                 2.0027,                 1.3953,                 1.0119,                0.00175,                0.00175,                0.00175
