                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3295,                 3.6351,                  1.807,                      0,                      0,                      0,                      0,                 4.7692,                   4839,                 18.419,               0.070429,              0.0032857,              0.0032857
                      2,                 4.0622,                 3.4091,                 1.5713,                0.20677,                0.00459,                0.00303,                0.00088,                 4.5038,                 201.43,                 4.6341,               0.039883,               0.006073,               0.006073
                      3,                 4.0134,                 3.3608,                 1.6701,                0.00017,                0.00077,                  9e-05,                  2e-05,                 4.8565,                 32.732,                 13.303,              0.0087864,              0.0083102,              0.0083102
                      4,                 3.9108,                 3.3186,                 1.6706,                0.60236,                0.00714,                0.00099,                0.00025,                 4.4208,                 117.47,                 6.7857,               0.007525,               0.007525,               0.007525
                      5,                  3.893,                  3.247,                 1.6848,                      0,                  1e-05,                      0,                      0,                 5.4074,                 1193.8,                 35.814,               0.007525,               0.007525,               0.007525
                      6,                 3.8104,                 3.1828,                 1.5904,                 0.2019,                  0.001,                0.00084,                0.00018,                 4.0713,                 14.027,                 3.6224,                 0.0067,                 0.0067,                 0.0067
                      7,                 3.6992,                 3.0875,                 1.5907,                0.00022,                0.00023,                  6e-05,                  2e-05,                 4.2076,                 12.941,                 2.1821,               0.005875,               0.005875,               0.005875
                      8,                 3.6634,                 3.0005,                 1.5582,                0.01154,                0.00978,                0.00443,                 0.0011,                 4.0493,                 3.6781,                 1.8965,                0.00505,                0.00505,                0.00505
                      9,                  3.593,                 2.9414,                 1.5501,                0.21376,                0.00609,                 0.0044,                0.00118,                 3.9188,                 6.5193,                 1.8917,               0.004225,               0.004225,               0.004225
                     10,                 3.5396,                 2.9075,                 1.4985,                0.02023,                0.05611,                0.01942,                0.00532,                 3.8331,                 3.0421,                 1.6999,                 0.0034,                 0.0034,                 0.0034
                     11,                 3.5033,                  2.853,                 1.5014,                0.02453,                0.07223,                0.02267,                 0.0064,                 3.5344,                 2.8441,                 1.7281,               0.002575,               0.002575,               0.002575
                     12,                  3.469,                 2.7903,                 1.4611,                0.04118,                0.09207,                0.03281,                0.01016,                 3.4348,                 2.6562,                 1.4298,                0.00175,                0.00175,                0.00175
