                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5997,                 3.5231,                 1.2316,                0.04296,                0.05446,                0.04019,                0.01785,                 2.5069,                 2.7171,                 1.1314,               0.070429,              0.0032857,              0.0032857
                      2,                 2.4948,                 2.2842,                 1.1355,                0.35382,                0.16012,                0.12624,                0.05356,                 2.3073,                 2.2125,                 1.1093,               0.039883,               0.006073,               0.006073
                      3,                 2.4301,                 2.1479,                 1.1514,                0.36351,                0.14178,                0.14054,                 0.0618,                 2.3284,                 1.9995,                 1.1386,              0.0087864,              0.0083102,              0.0083102
                      4,                 2.2929,                  2.018,                 1.1381,                  0.405,                 0.1703,                0.17217,                0.07249,                 2.3241,                 1.8816,                 1.1474,               0.007525,               0.007525,               0.007525
                      5,                 2.3226,                 1.9359,                 1.1229,                0.41502,                 0.1561,                0.16951,                 0.0728,                 2.3237,                 1.8143,                 1.1271,               0.007525,               0.007525,               0.007525
                      6,                 2.2717,                 1.7968,                 1.0934,                0.32522,                0.13704,                0.15128,                0.07251,                 2.2193,                 1.9179,                 1.0531,                 0.0067,                 0.0067,                 0.0067
                      7,                 2.1985,                 1.6851,                 1.0878,                 0.4395,                0.18648,                0.20102,                0.09278,                  2.165,                  1.646,                 1.0442,               0.005875,               0.005875,               0.005875
                      8,                 2.1423,                 1.6017,                 1.0557,                0.59577,                0.26314,                0.29824,                0.13978,                  2.084,                 1.5662,                  1.035,                0.00505,                0.00505,                0.00505
                      9,                 2.1036,                 1.5564,                 1.0457,                0.62287,                 0.2833,                 0.3236,                0.15707,                 2.0678,                 1.4384,                 1.0205,               0.004225,               0.004225,               0.004225
                     10,                 2.0655,                 1.4852,                 1.0334,                0.61625,                0.28836,                0.32938,                0.15977,                 2.0122,                 1.4632,                 1.0044,                 0.0034,                 0.0034,                 0.0034
                     11,                 2.0086,                 1.4444,                 1.0263,                0.65281,                0.27109,                0.32558,                 0.1594,                  2.049,                 1.4369,                 1.0033,               0.002575,               0.002575,               0.002575
                     12,                 1.9999,                 1.3976,                 1.0121,                0.63096,                 0.3181,                0.35275,                0.17613,                 1.9147,                  1.375,                0.98975,                0.00175,                0.00175,                0.00175
