                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.678,                 3.3571,                 1.2087,                0.05227,                0.06672,                0.03997,                0.01881,                 2.4459,                 2.7287,                 1.0927,             0.00036504,             0.00036504,             0.00036504
                      2,                 2.5102,                 2.1948,                 1.1045,                0.22429,                0.09211,                0.08677,                0.03647,                 2.5232,                 2.3754,                 1.1046,             0.00067471,             0.00067471,             0.00067471
                      3,                 2.4049,                  2.039,                 1.1278,                0.32595,                0.11482,                0.11677,                0.05132,                  2.299,                 1.8564,                  1.077,             0.00092327,             0.00092327,             0.00092327
                      4,                 2.2832,                 1.9088,                 1.1188,                0.35666,                0.11732,                0.12747,                 0.0606,                 2.1996,                 1.8535,                 1.0783,             0.00083603,             0.00083603,             0.00083603
                      5,                 2.2728,                 1.8426,                 1.1155,                0.42133,                0.15556,                0.15036,                0.06358,                 2.2762,                 1.6958,                 1.0602,             0.00083603,             0.00083603,             0.00083603
                      6,                 2.2342,                 1.6871,                 1.0729,                0.48616,                0.16034,                0.17828,                0.08468,                 2.1614,                 1.6986,                 1.0508,             0.00074437,             0.00074437,             0.00074437
                      7,                 2.1432,                 1.5612,                 1.0661,                0.58787,                0.23712,                0.27212,                0.12389,                 2.1627,                 1.5174,                 1.0226,             0.00065271,             0.00065271,             0.00065271
                      8,                 2.1104,                 1.4984,                  1.044,                0.61974,                0.28431,                0.32819,                0.16082,                 2.0223,                 1.3889,                 1.0127,             0.00056105,             0.00056105,             0.00056105
                      9,                 2.0697,                 1.4602,                 1.0317,                0.59962,                0.18596,                0.23199,                0.11406,                 2.0417,                 1.5268,                 1.0077,              0.0004694,              0.0004694,              0.0004694
                     10,                 2.0307,                 1.4061,                  1.024,                0.60128,                0.29127,                0.32933,                0.15924,                 1.9805,                 1.3349,                0.99539,             0.00037774,             0.00037774,             0.00037774
                     11,                 1.9773,                 1.3645,                 1.0134,                 0.6478,                 0.2821,                0.33557,                 0.1691,                 1.9824,                 1.3481,                0.99335,             0.00028608,             0.00028608,             0.00028608
                     12,                  1.981,                 1.3317,                 1.0065,                0.64399,                0.31337,                0.35411,                0.17699,                 1.9435,                 1.2832,                0.98905,             0.00019442,             0.00019442,             0.00019442
