epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.57,3.91178,3.47407,2.20967,0.03853,0.10101,0.04045,0.01537,2.89368,2.5183,1.56121,0.0700185,0.00333127,0.00333127
2,274.82,2.62131,2.38875,1.46732,0.176,0.15777,0.07786,0.03573,2.20519,1.96059,1.2929,0.0399746,0.00662062,0.00662062
3,403.589,2.268,2.02782,1.29447,0.22745,0.13511,0.08571,0.03896,2.13664,1.78531,1.21689,0.00988657,0.00986597,0.00986597
4,533.869,2.07399,1.85052,1.22171,0.26417,0.15097,0.11955,0.06068,1.84497,1.57068,1.14738,0.009802,0.009802,0.009802
5,653.652,1.93021,1.68679,1.16975,0.30697,0.17047,0.14335,0.07344,1.78276,1.46388,1.11201,0.009736,0.009736,0.009736
6,782.29,1.85065,1.59739,1.13472,0.23746,0.18203,0.15558,0.08199,1.71096,1.37554,1.08964,0.00967,0.00967,0.00967
7,917.824,1.78222,1.52524,1.11665,0.28512,0.1968,0.17345,0.09363,1.64812,1.32168,1.06642,0.009604,0.009604,0.009604
8,1052.42,1.73922,1.46222,1.10042,0.26304,0.2028,0.18397,0.09904,1.6042,1.28237,1.05523,0.009538,0.009538,0.009538
9,1176.42,1.70172,1.42715,1.08684,0.29721,0.21788,0.19728,0.10729,1.57006,1.25733,1.04414,0.009472,0.009472,0.009472
10,1310.86,1.66495,1.37114,1.07224,0.27182,0.22349,0.19721,0.10969,1.56491,1.23682,1.04003,0.009406,0.009406,0.009406
11,1445.56,1.65079,1.3533,1.06411,0.29876,0.2251,0.21073,0.11596,1.54033,1.21708,1.03186,0.00934,0.00934,0.00934
12,1577.14,1.63528,1.32999,1.05857,0.31565,0.2343,0.21948,0.1209,1.53846,1.19659,1.02611,0.009274,0.009274,0.009274
13,1715.04,1.6342,1.32443,1.04511,0.33594,0.24079,0.22706,0.12643,1.52751,1.18724,1.01133,0.009208,0.009208,0.009208
14,1852.65,1.62505,1.30537,1.03974,0.32183,0.245,0.23245,0.12985,1.51027,1.18129,1.00599,0.009142,0.009142,0.009142
15,1989.09,1.60634,1.28586,1.03042,0.33811,0.25558,0.24116,0.13666,1.49412,1.15966,1.001,0.009076,0.009076,0.009076
16,2125.59,1.59162,1.27876,1.02719,0.35643,0.26313,0.24811,0.13697,1.4854,1.15039,0.99871,0.00901,0.00901,0.00901
17,2260.61,1.58273,1.25923,1.0249,0.33526,0.26015,0.24557,0.13777,1.47845,1.1347,0.99539,0.008944,0.008944,0.008944
