epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7105,5.11529,6.44857,3.56555,0.21395,0.00968,0.00301,0.00069,4.53083,4.97341,2.85336,0.0701071,0.00332143,0.00332143
2,64.3644,4.32893,3.68099,2.37242,0.21852,0.01584,0.00513,0.0013,4.15282,7.15504,2.11969,0.0399754,0.006523,0.006523
3,92.021,3.94761,3.29404,1.92673,0.61951,0.02113,0.01021,0.00307,3.8095,3.66117,1.89313,0.00971161,0.00959257,0.00959257
4,122.824,3.71194,3.12161,1.73329,0.02667,0.08654,0.02306,0.00722,3.67244,2.95833,1.74087,0.009406,0.009406,0.009406
5,154.054,3.51766,2.94219,1.60522,0.26931,0.06667,0.03501,0.01168,3.37229,2.76737,1.5172,0.009208,0.009208,0.009208
6,184.554,3.32162,2.76664,1.51286,0.10675,0.10346,0.05528,0.01858,3.20506,2.87847,1.47254,0.00901,0.00901,0.00901
7,212.429,3.21276,2.69767,1.47779,0.3718,0.08802,0.06726,0.0232,3.28162,2.53813,1.53725,0.008812,0.008812,0.008812
8,239.63,3.11788,2.50943,1.41369,0.16629,0.12564,0.08678,0.02983,3.09077,2.32228,1.39406,0.008614,0.008614,0.008614
9,268.484,3.02143,2.40754,1.37908,0.37869,0.1342,0.09768,0.0397,2.92257,2.22734,1.31884,0.008416,0.008416,0.008416
10,295.174,2.98584,2.38995,1.36315,0.199,0.13143,0.11273,0.04056,2.96169,2.30446,1.4032,0.008218,0.008218,0.008218
11,321.959,2.91728,2.2775,1.33348,0.25561,0.13055,0.1191,0.04841,2.84101,2.25783,1.28859,0.00802,0.00802,0.00802
12,350.199,2.90024,2.26004,1.31415,0.43386,0.15437,0.11964,0.04193,2.93417,2.15268,1.32588,0.007822,0.007822,0.007822
13,380.5,2.81985,2.12866,1.28105,0.34761,0.17585,0.15319,0.06031,2.71606,2.01069,1.26194,0.007624,0.007624,0.007624
14,407.02,2.75874,2.06217,1.26975,0.48593,0.17664,0.16592,0.06578,2.72867,1.93374,1.26191,0.007426,0.007426,0.007426
15,436.365,2.69651,1.98914,1.25182,0.49569,0.20403,0.19644,0.07933,2.60868,1.87494,1.20982,0.007228,0.007228,0.007228
16,464.591,2.66977,1.99947,1.26948,0.36704,0.17983,0.1833,0.0658,2.76455,1.98133,1.25599,0.00703,0.00703,0.00703
17,492.367,2.66999,1.98887,1.26434,0.45259,0.2231,0.20961,0.08845,2.56865,2.00203,1.22162,0.006832,0.006832,0.006832
18,519.115,2.65669,1.92573,1.23748,0.44828,0.20242,0.20418,0.08167,2.57837,1.95238,1.19832,0.006634,0.006634,0.006634
19,546.575,2.634,1.88743,1.22974,0.50296,0.22631,0.24146,0.10289,2.50285,1.76723,1.1822,0.006436,0.006436,0.006436
20,574.17,2.5585,1.82927,1.20591,0.48283,0.23734,0.24386,0.10348,2.49806,1.71118,1.18352,0.006238,0.006238,0.006238
21,600.99,2.58284,1.86144,1.21253,0.52683,0.2273,0.24715,0.10668,2.50967,1.70932,1.17497,0.00604,0.00604,0.00604
22,629.517,2.51107,1.80195,1.21981,0.52261,0.24255,0.25355,0.1105,2.47175,1.69755,1.17248,0.005842,0.005842,0.005842
23,657.825,2.49633,1.79876,1.21157,0.51824,0.24033,0.24814,0.11135,2.42701,1.74718,1.15468,0.005644,0.005644,0.005644
24,685.448,2.54011,1.79715,1.18779,0.46504,0.23911,0.2538,0.11064,2.451,1.71821,1.14674,0.005446,0.005446,0.005446
25,713.392,2.47728,1.73417,1.19594,0.50444,0.24285,0.25736,0.12018,2.40576,1.6656,1.14605,0.005248,0.005248,0.005248
26,739.503,2.45225,1.64727,1.17933,0.58562,0.25891,0.28066,0.12594,2.36954,1.61613,1.14296,0.00505,0.00505,0.00505
27,766.757,2.46248,1.7056,1.18788,0.51085,0.2501,0.2621,0.11478,2.42625,1.67948,1.14653,0.004852,0.004852,0.004852
28,798.686,2.42023,1.65474,1.17589,0.50246,0.26103,0.28019,0.12822,2.35546,1.59859,1.12387,0.004654,0.004654,0.004654
29,826.109,2.44143,1.6495,1.167,0.5778,0.25983,0.28625,0.12932,2.35444,1.5814,1.139,0.004456,0.004456,0.004456
30,853.28,2.43346,1.64884,1.17582,0.49062,0.24819,0.25877,0.11089,2.40524,1.64396,1.13277,0.004258,0.004258,0.004258
31,879.645,2.41951,1.62836,1.15598,0.60471,0.25904,0.29262,0.13886,2.30525,1.56583,1.1203,0.00406,0.00406,0.00406
32,906.536,2.40205,1.61694,1.16613,0.56244,0.25856,0.28557,0.13328,2.39121,1.59856,1.13202,0.003862,0.003862,0.003862
33,933.002,2.37057,1.59268,1.14986,0.52703,0.27116,0.29758,0.13766,2.30971,1.54481,1.11411,0.003664,0.003664,0.003664
34,960.77,2.39726,1.62492,1.15209,0.5164,0.26785,0.28643,0.12888,2.36499,1.58804,1.12127,0.003466,0.003466,0.003466
35,987.525,2.35566,1.59563,1.14454,0.59708,0.27564,0.31816,0.14945,2.29505,1.54858,1.11627,0.003268,0.003268,0.003268
36,1014.42,2.31814,1.54981,1.13059,0.54818,0.28002,0.30325,0.13903,2.30162,1.53006,1.10901,0.00307,0.00307,0.00307
37,1044.31,2.2786,1.50921,1.14171,0.5761,0.28651,0.31786,0.14683,2.27281,1.49854,1.10759,0.002872,0.002872,0.002872
38,1071.95,2.31033,1.53439,1.13325,0.54045,0.27993,0.3028,0.13968,2.31927,1.52568,1.1134,0.002674,0.002674,0.002674
39,1101.28,2.35448,1.53595,1.12793,0.60277,0.26543,0.30312,0.14107,2.3088,1.53425,1.1262,0.002476,0.002476,0.002476
40,1127.02,2.29155,1.50996,1.11382,0.53171,0.28733,0.3112,0.14805,2.23536,1.53316,1.09645,0.002278,0.002278,0.002278
41,1152.55,2.32826,1.79398,1.21022,0.586,0.28031,0.31401,0.14554,2.29684,1.54996,1.11308,0.00208,0.00208,0.00208
42,1177.34,2.36314,1.73177,1.1752,0.59501,0.27981,0.32131,0.15396,2.25083,1.49148,1.0986,0.001882,0.001882,0.001882
43,1202.69,2.33739,1.699,1.19031,0.63086,0.27828,0.32526,0.15461,2.25384,1.49382,1.09757,0.001684,0.001684,0.001684
44,1227.57,2.3471,1.7525,1.17501,0.56953,0.2914,0.32665,0.15586,2.25997,1.4896,1.09897,0.001486,0.001486,0.001486
45,1252.89,2.27409,1.59379,1.15975,0.5805,0.29502,0.32891,0.15543,2.25129,1.51979,1.09746,0.001288,0.001288,0.001288
46,1278.74,2.27791,1.61578,1.17323,0.57698,0.29317,0.33216,0.15895,2.23531,1.48202,1.09694,0.00109,0.00109,0.00109
47,1303.75,2.30786,1.59596,1.15261,0.58095,0.29822,0.33162,0.15904,2.21848,1.47701,1.09285,0.000892,0.000892,0.000892
48,1328.59,2.27898,1.70748,1.15635,0.6018,0.29362,0.33306,0.15972,2.21533,1.47842,1.09099,0.000694,0.000694,0.000694
49,1353.27,2.29126,1.64541,1.17681,0.59517,0.29615,0.33221,0.15843,2.22751,1.46329,1.09001,0.000496,0.000496,0.000496
50,1377.79,2.26649,1.62287,1.16244,0.58176,0.29946,0.33558,0.16181,2.22419,1.46301,1.09097,0.000298,0.000298,0.000298
