epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5209,5.20321,6.25889,3.42478,0.01167,0.02022,0.00687,0.00176,4.61163,4.33226,2.76364,0.0701071,0.00332143,0.00332143
2,64.574,4.32972,3.63134,2.20856,0.20766,0.00796,0.00247,0.00055,4.41929,11.4349,2.11989,0.0399754,0.006523,0.006523
3,98.7745,3.99407,3.397,1.9008,0.41018,0.00891,0.003,0.00071,4.18318,34.4333,1.95319,0.00971161,0.00959257,0.00959257
4,129.373,3.76701,3.21871,1.74161,0.02021,0.05147,0.01181,0.00379,3.77751,3.54793,1.8111,0.009406,0.009406,0.009406
5,160.59,3.55261,2.96697,1.60898,0.27391,0.07729,0.03264,0.00991,3.42557,2.68631,1.57901,0.009208,0.009208,0.009208
6,192.101,3.30646,2.7694,1.50308,0.09482,0.09194,0.04833,0.01634,3.2656,3.18991,1.4554,0.00901,0.00901,0.00901
7,221.243,3.21311,2.72296,1.47307,0.3533,0.08674,0.05789,0.01963,3.24991,2.52593,1.54562,0.008812,0.008812,0.008812
8,248.703,3.11145,2.55999,1.41856,0.14485,0.10235,0.07473,0.02545,3.11756,2.43391,1.39078,0.008614,0.008614,0.008614
9,276.43,3.0474,2.47716,1.38131,0.38963,0.12669,0.10484,0.03836,2.94011,2.31259,1.3312,0.008416,0.008416,0.008416
10,303.053,3.00499,2.48569,1.37358,0.2253,0.11716,0.07661,0.02638,3.0527,2.53173,1.43691,0.008218,0.008218,0.008218
11,330.938,2.93995,2.34741,1.3447,0.22282,0.15787,0.11246,0.04058,2.85858,2.26301,1.30207,0.00802,0.00802,0.00802
12,360.478,2.93578,2.33811,1.32536,0.22881,0.15346,0.13059,0.04869,2.8091,2.11845,1.269,0.007822,0.007822,0.007822
13,391.276,2.84433,2.19948,1.29075,0.19279,0.13722,0.09792,0.03728,2.9182,2.61996,1.31324,0.007624,0.007624,0.007624
14,418.551,2.79005,2.15063,1.28359,0.41881,0.17842,0.16117,0.0633,2.71687,2.04663,1.24467,0.007426,0.007426,0.007426
15,448.439,2.72492,2.08298,1.25923,0.45757,0.16794,0.15175,0.06249,2.73041,1.96413,1.22182,0.007228,0.007228,0.007228
16,477.06,2.70407,2.06181,1.28281,0.33923,0.17741,0.16711,0.06559,2.76652,2.18197,1.26659,0.00703,0.00703,0.00703
17,504.275,2.68226,2.02714,1.27167,0.28194,0.21297,0.16412,0.06716,2.67501,2.12695,1.23397,0.006832,0.006832,0.006832
18,532.958,2.68796,1.9857,1.24704,0.43053,0.18327,0.18757,0.07515,2.5963,2.15762,1.20035,0.006634,0.006634,0.006634
19,561.774,2.64871,1.95362,1.23323,0.40986,0.21393,0.2105,0.08857,2.5376,1.80731,1.19052,0.006436,0.006436,0.006436
20,590.196,2.58047,1.88311,1.21199,0.4059,0.21985,0.20952,0.08513,2.54718,1.85901,1.17879,0.006238,0.006238,0.006238
21,618.789,2.59633,1.92003,1.21453,0.39736,0.22214,0.2143,0.09083,2.49006,1.84412,1.16527,0.00604,0.00604,0.00604
22,648.574,2.52189,1.84049,1.22679,0.45026,0.22209,0.22202,0.09211,2.56487,1.77379,1.19363,0.005842,0.005842,0.005842
23,677.477,2.5053,1.83552,1.21922,0.55326,0.21873,0.23863,0.1003,2.47998,1.82792,1.15515,0.005644,0.005644,0.005644
24,705.4,2.5471,1.84596,1.19159,0.4515,0.24079,0.24084,0.10194,2.50065,1.72696,1.16213,0.005446,0.005446,0.005446
25,734.101,2.48717,1.76106,1.19904,0.40943,0.21276,0.21087,0.09303,2.52215,1.78509,1.15694,0.005248,0.005248,0.005248
26,761.175,2.45388,1.68211,1.18254,0.53085,0.24793,0.26005,0.11266,2.40619,1.74063,1.14879,0.00505,0.00505,0.00505
27,789.094,2.46805,1.74316,1.19298,0.44502,0.24509,0.23765,0.10229,2.48264,1.75942,1.16675,0.004852,0.004852,0.004852
28,821.218,2.42962,1.67093,1.17762,0.49839,0.25192,0.26995,0.1197,2.40029,1.62541,1.13482,0.004654,0.004654,0.004654
29,849.455,2.45656,1.69649,1.17055,0.53172,0.25095,0.27034,0.12225,2.37803,1.65626,1.13786,0.004456,0.004456,0.004456
30,877.806,2.43135,1.68149,1.17277,0.48456,0.26015,0.2621,0.11332,2.40701,1.71892,1.13654,0.004258,0.004258,0.004258
31,905.883,2.42816,1.65176,1.15983,0.53917,0.26056,0.27647,0.12347,2.37732,1.6361,1.13307,0.00406,0.00406,0.00406
32,933.735,2.39075,1.64302,1.16564,0.55798,0.26521,0.29161,0.13096,2.40944,1.73534,1.13673,0.003862,0.003862,0.003862
33,961.165,2.36182,1.61055,1.1483,0.52349,0.2659,0.28829,0.13003,2.33291,1.5986,1.12096,0.003664,0.003664,0.003664
34,989.957,2.39932,1.65937,1.15467,0.50811,0.25581,0.26882,0.11838,2.38412,1.61106,1.12586,0.003466,0.003466,0.003466
35,1017.76,2.3495,1.60594,1.14293,0.58458,0.25984,0.29718,0.13444,2.35855,1.6231,1.12579,0.003268,0.003268,0.003268
36,1045.96,2.31415,1.57457,1.12911,0.57713,0.27183,0.30205,0.139,2.31676,1.54928,1.1185,0.00307,0.00307,0.00307
37,1076.8,2.27101,1.52763,1.14157,0.57314,0.27167,0.29936,0.1356,2.29941,1.55407,1.11437,0.002872,0.002872,0.002872
38,1104.71,2.306,1.55188,1.13553,0.56547,0.26967,0.29877,0.13697,2.32469,1.54636,1.11397,0.002674,0.002674,0.002674
39,1134.01,2.3541,1.55349,1.13033,0.62641,0.26838,0.31081,0.14277,2.29005,1.57653,1.11926,0.002476,0.002476,0.002476
