epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,487.322,2.66033,2.95526,1.21655,0.37951,0.22079,0.19646,0.0787,2.5286,2.07924,1.11905,0.0700358,0.00332936,0.00332936
2,590.722,2.56679,2.09508,1.14689,0.46311,0.2266,0.21683,0.09274,2.47934,1.9798,1.08892,0.0399039,0.00653077,0.00653077
3,690.372,2.52488,1.89542,1.12699,0.50285,0.25267,0.24918,0.11013,2.40373,1.94041,1.07159,0.00963996,0.00960018,0.00960018
4,775.903,2.51963,1.83574,1.11986,0.51059,0.27875,0.29377,0.12754,2.37425,1.68651,1.06198,0.009406,0.009406,0.009406
5,856.648,2.45479,1.73951,1.09879,0.58912,0.28201,0.30725,0.1309,2.29007,1.62832,1.05388,0.009208,0.009208,0.009208
6,939.945,2.39986,1.6432,1.08544,0.58629,0.30371,0.32187,0.14188,2.32144,1.5687,1.04843,0.00901,0.00901,0.00901
7,1020.52,2.39182,1.61137,1.08203,0.6035,0.28679,0.33162,0.15085,2.26821,1.56845,1.04569,0.008812,0.008812,0.008812
8,1215.23,2.35633,1.56133,1.06655,0.64837,0.29028,0.34161,0.15739,2.24846,1.6317,1.02631,0.008614,0.008614,0.008614
9,1409.43,2.32914,1.53002,1.05545,0.60244,0.30883,0.33568,0.15964,2.18932,1.45141,1.00958,0.008416,0.008416,0.008416
10,1738.12,2.27574,1.46152,1.05252,0.63769,0.32854,0.37322,0.18023,2.18063,1.39589,1.01216,0.008218,0.008218,0.008218
11,2006.63,2.27741,1.45696,1.0467,0.59776,0.3271,0.35865,0.17076,2.17173,1.43512,1.00995,0.00802,0.00802,0.00802
12,2092.5,2.25595,1.41035,1.03658,0.62467,0.33045,0.36691,0.18023,2.11044,1.40107,0.99506,0.007822,0.007822,0.007822
13,2171.67,2.25439,1.4153,1.03796,0.63818,0.33115,0.37008,0.17676,2.11188,1.38449,0.99415,0.007624,0.007624,0.007624
14,2260.09,2.23284,1.38956,1.02646,0.67048,0.33223,0.38195,0.1874,2.07604,1.35043,0.98812,0.007426,0.007426,0.007426
15,2361.36,2.21188,1.34877,1.02623,0.65552,0.34951,0.38651,0.18107,2.0931,1.34289,0.99256,0.007228,0.007228,0.007228
16,2471.87,2.20243,1.35132,1.02533,0.6415,0.34717,0.38602,0.19,2.05956,1.31803,0.98269,0.00703,0.00703,0.00703
17,2560.35,2.17011,1.33288,1.02313,0.657,0.35303,0.40124,0.20594,2.03718,1.29564,0.98543,0.006832,0.006832,0.006832
18,2645.11,2.17183,1.30892,1.01954,0.63368,0.35356,0.39601,0.19547,2.07949,1.29524,0.98001,0.006634,0.006634,0.006634
19,2730.06,2.16571,1.31346,1.01222,0.63873,0.36696,0.40484,0.20297,2.01365,1.26125,0.97647,0.006436,0.006436,0.006436
20,2817.12,2.15643,1.30082,1.01571,0.65517,0.36785,0.40949,0.19917,2.03307,1.26599,0.97087,0.006238,0.006238,0.006238
21,2896.64,2.13369,1.28267,1.00916,0.67208,0.37589,0.422,0.21152,2.02429,1.24438,0.97081,0.00604,0.00604,0.00604
22,2991.93,2.14528,1.26598,1.00493,0.68121,0.36549,0.41583,0.21091,2.03192,1.25582,0.96994,0.005842,0.005842,0.005842
23,3103.61,2.10929,1.26814,1.00441,0.67229,0.37284,0.42022,0.21633,2.00244,1.25225,0.96844,0.005644,0.005644,0.005644
24,3193.97,2.11027,1.25774,1.00411,0.69718,0.36576,0.42481,0.21386,2.00601,1.27037,0.96153,0.005446,0.005446,0.005446
25,3273.15,2.09652,1.23784,1,0.67167,0.37959,0.42404,0.21583,1.98346,1.22197,0.96353,0.005248,0.005248,0.005248
26,3354.14,2.10069,1.23388,0.99301,0.68493,0.37382,0.42812,0.2154,1.99909,1.24316,0.96739,0.00505,0.00505,0.00505
27,3433.69,2.08703,1.22113,0.99181,0.69035,0.3694,0.4316,0.22612,1.952,1.21723,0.9562,0.004852,0.004852,0.004852
28,3511.5,2.06169,1.18907,0.98915,0.69497,0.38012,0.43584,0.22513,1.94583,1.20422,0.95537,0.004654,0.004654,0.004654
29,3599.07,2.06627,1.20431,0.98981,0.70715,0.37572,0.43418,0.22279,1.95917,1.21111,0.95422,0.004456,0.004456,0.004456
30,3682.28,2.08388,1.21734,0.98596,0.67663,0.38207,0.43493,0.22371,1.96091,1.20099,0.95723,0.004258,0.004258,0.004258
31,3765.06,2.06041,1.18831,0.98441,0.68885,0.38672,0.43658,0.22627,1.95793,1.19382,0.95343,0.00406,0.00406,0.00406
32,3855.55,2.03337,1.17365,0.98685,0.71169,0.38066,0.43756,0.22775,1.95853,1.18878,0.95469,0.003862,0.003862,0.003862
33,3937.3,2.0468,1.17922,0.98403,0.70864,0.38821,0.4421,0.22835,1.94383,1.17491,0.95332,0.003664,0.003664,0.003664
34,4030.2,2.05059,1.17254,0.97477,0.71608,0.38382,0.4467,0.23437,1.91548,1.16659,0.94186,0.003466,0.003466,0.003466
35,4112.99,2.0104,1.15127,0.97689,0.70737,0.3872,0.44668,0.23419,1.92667,1.1551,0.94842,0.003268,0.003268,0.003268
36,4195.92,2.0317,1.15868,0.97682,0.71229,0.39012,0.44757,0.23671,1.90006,1.15593,0.94192,0.00307,0.00307,0.00307
37,4288.19,2.01989,1.15792,0.97708,0.70192,0.39499,0.4448,0.23207,1.9108,1.1537,0.94318,0.002872,0.002872,0.002872
38,4371.93,2.01839,1.14183,0.97404,0.68834,0.39541,0.44425,0.23427,1.90147,1.1637,0.94242,0.002674,0.002674,0.002674
39,4455.84,1.99354,1.12855,0.97091,0.71203,0.39613,0.44921,0.23703,1.88529,1.14939,0.93956,0.002476,0.002476,0.002476
40,4534.59,1.99029,1.13256,0.97022,0.69503,0.39798,0.45256,0.23925,1.89292,1.13801,0.93872,0.002278,0.002278,0.002278
41,4596.96,2.03897,1.21504,0.98492,0.69075,0.39241,0.44308,0.22914,1.92883,1.16695,0.94416,0.00208,0.00208,0.00208
42,4662.41,2.01553,1.20116,0.98228,0.71078,0.38884,0.44777,0.23765,1.89782,1.15849,0.94003,0.001882,0.001882,0.001882
43,4726.82,2.01135,1.2089,0.9799,0.69344,0.39827,0.44843,0.23358,1.92139,1.15284,0.94192,0.001684,0.001684,0.001684
44,4790.07,2.00028,1.19342,0.9761,0.70334,0.39315,0.45343,0.24105,1.89937,1.15515,0.94041,0.001486,0.001486,0.001486
45,4845.52,1.97956,1.15907,0.97591,0.6951,0.39952,0.45259,0.24255,1.88884,1.14729,0.93634,0.001288,0.001288,0.001288
46,4905.4,1.97597,1.16765,0.97566,0.69846,0.39547,0.45153,0.23921,1.90894,1.16154,0.93836,0.00109,0.00109,0.00109
47,4972.42,1.99964,1.16712,0.97056,0.68347,0.3946,0.44839,0.23912,1.88684,1.1522,0.93559,0.000892,0.000892,0.000892
48,5031,1.94965,1.12238,0.967,0.71009,0.4025,0.45757,0.24543,1.87776,1.12964,0.93292,0.000694,0.000694,0.000694
49,5095.23,1.96756,1.15959,0.96564,0.69117,0.40186,0.45522,0.24519,1.87091,1.13389,0.93264,0.000496,0.000496,0.000496
