epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.9153,4.4415,4.55442,2.83839,0.22586,0.03016,0.01349,0.00379,3.92747,3.39342,2.10397,0.0700358,0.00332936,0.00332936
2,170.144,3.41262,2.99607,1.88922,0.31225,0.11514,0.05666,0.02083,3.16135,2.99385,1.64594,0.0399918,0.00661872,0.00661872
3,251.402,3.03408,2.58322,1.63569,0.25398,0.12374,0.10494,0.04386,2.95301,2.71014,1.52601,0.00990385,0.00986407,0.00986407
4,330.826,2.84989,2.3458,1.52088,0.45458,0.21143,0.20567,0.07967,2.69323,2.10609,1.40809,0.009802,0.009802,0.009802
5,409.798,2.67312,2.08647,1.43627,0.45106,0.23799,0.24589,0.10827,2.43493,1.99173,1.33491,0.009736,0.009736,0.009736
6,490.502,2.55026,1.92869,1.38398,0.55966,0.26908,0.2939,0.13264,2.31716,1.7365,1.2692,0.00967,0.00967,0.00967
7,572.626,2.50058,1.82977,1.36432,0.60505,0.255,0.31186,0.14036,2.30869,1.97234,1.29607,0.009604,0.009604,0.009604
8,656.958,2.43002,1.73294,1.32439,0.60175,0.29119,0.32915,0.14547,2.33776,1.65064,1.2568,0.009538,0.009538,0.009538
9,740.237,2.38625,1.66195,1.30356,0.60759,0.32749,0.35947,0.16835,2.20885,1.5035,1.23493,0.009472,0.009472,0.009472
10,822.931,2.31573,1.57797,1.28958,0.66064,0.2995,0.37185,0.18115,2.18983,1.57172,1.22712,0.009406,0.009406,0.009406
11,906.407,2.29547,1.56392,1.27421,0.64614,0.34034,0.38073,0.18025,2.17325,1.45583,1.21205,0.00934,0.00934,0.00934
12,984.352,2.27288,1.50991,1.25706,0.65471,0.34187,0.38917,0.192,2.0901,1.43444,1.19035,0.009274,0.009274,0.009274
