epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9837,4.86281,5.31956,3.49556,0.22409,0.02111,0.00813,0.00212,4.14224,4.05812,2.70485,0.0701071,0.00332143,0.00332143
2,70.8244,3.98945,3.57066,2.42645,0.04542,0.03715,0.01893,0.00563,3.7227,3.92843,2.25429,0.0400632,0.00661084,0.00661084
3,120.948,3.59556,3.23135,2.04055,0.43119,0.03696,0.02362,0.00737,3.36174,5.42902,1.88883,0.0099753,0.00985625,0.00985625
4,154.676,3.23321,2.94706,1.80597,0.05265,0.12838,0.05338,0.01745,3.06499,2.78039,1.68643,0.009802,0.009802,0.009802
5,189.581,2.97957,2.73473,1.64347,0.25101,0.11229,0.07351,0.02753,2.86527,2.51692,1.54325,0.009736,0.009736,0.009736
6,223.554,2.84914,2.53617,1.56197,0.23788,0.15177,0.11184,0.04644,2.70935,2.33812,1.47418,0.00967,0.00967,0.00967
7,253.438,2.73383,2.39227,1.50476,0.47655,0.13714,0.13212,0.05342,2.69912,2.36064,1.45723,0.009604,0.009604,0.009604
8,282.831,2.68806,2.2197,1.44671,0.28501,0.19746,0.17041,0.06906,2.61007,2.05996,1.3952,0.009538,0.009538,0.009538
9,313.722,2.59653,2.1314,1.4059,0.405,0.21024,0.20694,0.09332,2.47435,1.93193,1.3583,0.009472,0.009472,0.009472
10,342.878,2.56232,2.08022,1.39327,0.36797,0.20682,0.19997,0.08511,2.60799,1.99779,1.41344,0.009406,0.009406,0.009406
11,371.97,2.47915,1.96892,1.36482,0.45622,0.22398,0.22892,0.10422,2.47534,2.06552,1.34787,0.00934,0.00934,0.00934
12,402.531,2.46574,1.94931,1.34565,0.53605,0.25772,0.27811,0.12472,2.39806,1.78295,1.30316,0.009274,0.009274,0.009274
13,434.309,2.39363,1.82518,1.30624,0.57461,0.27023,0.29747,0.14197,2.26809,1.71101,1.26234,0.009208,0.009208,0.009208
14,462.258,2.31974,1.76573,1.28613,0.55276,0.2633,0.30143,0.13368,2.37671,1.71095,1.28383,0.009142,0.009142,0.009142
15,493.856,2.26095,1.6957,1.26738,0.58658,0.27573,0.31323,0.15524,2.20877,1.64056,1.2291,0.009076,0.009076,0.009076
16,524.694,2.25652,1.68887,1.29047,0.5789,0.313,0.3382,0.15171,2.19752,1.58266,1.24411,0.00901,0.00901,0.00901
17,554.352,2.25239,1.67953,1.28469,0.59417,0.31142,0.35202,0.1716,2.16797,1.53366,1.22752,0.008944,0.008944,0.008944
18,583.859,2.24394,1.63724,1.25524,0.61472,0.29683,0.33828,0.15492,2.23579,1.61037,1.25586,0.008878,0.008878,0.008878
19,614.816,2.21549,1.5816,1.23836,0.66859,0.31124,0.36981,0.18169,2.12964,1.57345,1.23384,0.008812,0.008812,0.008812
20,643.296,2.14013,1.54656,1.22308,0.60954,0.3218,0.35606,0.17012,2.15396,1.51245,1.21956,0.008746,0.008746,0.008746
21,671.302,2.15317,1.56772,1.22235,0.61508,0.33164,0.37874,0.18931,2.08842,1.50043,1.18989,0.00868,0.00868,0.00868
22,703.424,2.10264,1.51888,1.23101,0.65315,0.32973,0.38501,0.18541,2.08909,1.50289,1.20556,0.008614,0.008614,0.008614
23,734.027,2.09123,1.50409,1.21547,0.64323,0.32361,0.38292,0.18861,2.0858,1.47048,1.18195,0.008548,0.008548,0.008548
24,764.071,2.11123,1.50816,1.19735,0.58812,0.31809,0.35375,0.16878,2.14017,1.51326,1.20387,0.008482,0.008482,0.008482
25,794.077,2.07761,1.44773,1.2092,0.63785,0.33381,0.38986,0.19537,2.03949,1.43763,1.17612,0.008416,0.008416,0.008416
26,822.06,2.03862,1.3809,1.18538,0.62413,0.36117,0.40414,0.19973,2.03242,1.41231,1.16965,0.00835,0.00835,0.00835
27,850.519,2.05463,1.44095,1.1958,0.68183,0.35095,0.40789,0.20091,2.02377,1.41617,1.16949,0.008284,0.008284,0.008284
28,885.05,2.00875,1.37522,1.18067,0.66666,0.35601,0.41675,0.21388,1.99873,1.37033,1.15929,0.008218,0.008218,0.008218
29,915.253,2.04497,1.39642,1.17291,0.67794,0.36691,0.42446,0.21135,1.99761,1.4082,1.15744,0.008152,0.008152,0.008152
30,944.519,2.0093,1.37603,1.1704,0.69258,0.36952,0.42237,0.21131,1.99382,1.37882,1.15463,0.008086,0.008086,0.008086
31,973.132,2.00156,1.35168,1.15629,0.67416,0.37113,0.42289,0.21782,1.96443,1.43478,1.15073,0.00802,0.00802,0.00802
32,1002.51,1.97872,1.35749,1.15825,0.65739,0.35554,0.40765,0.20939,1.99981,1.44954,1.15421,0.007954,0.007954,0.007954
33,1031.24,1.94755,1.32881,1.14777,0.68197,0.37882,0.43321,0.22725,1.94488,1.35087,1.14076,0.007888,0.007888,0.007888
34,1061.32,1.99257,1.35625,1.15598,0.64932,0.37443,0.42671,0.22203,1.97003,1.36601,1.14512,0.007822,0.007822,0.007822
35,1090.58,1.9384,1.31287,1.13946,0.68034,0.38916,0.44562,0.23368,1.93879,1.3282,1.13501,0.007756,0.007756,0.007756
36,1120.13,1.91965,1.28377,1.1306,0.70061,0.3882,0.44482,0.23179,1.93903,1.32653,1.13955,0.00769,0.00769,0.00769
37,1152.69,1.89771,1.27083,1.14971,0.69257,0.38139,0.43644,0.2274,1.94063,1.32384,1.13786,0.007624,0.007624,0.007624
38,1182.61,1.90031,1.28334,1.13534,0.69362,0.38595,0.43992,0.2326,1.9613,1.34576,1.14029,0.007558,0.007558,0.007558
39,1215.03,1.94277,1.29193,1.12772,0.72095,0.38051,0.45073,0.23659,1.90183,1.29429,1.12837,0.007492,0.007492,0.007492
40,1243.28,1.88113,1.2502,1.11826,0.67594,0.38536,0.4401,0.23139,1.9481,1.33923,1.14085,0.007426,0.007426,0.007426
41,1273.18,1.91041,1.29902,1.13478,0.70599,0.40502,0.46233,0.24207,1.88708,1.29006,1.11998,0.00736,0.00736,0.00736
42,1303.99,1.87628,1.29236,1.11737,0.71854,0.39105,0.45627,0.23994,1.88364,1.28426,1.12348,0.007294,0.007294,0.007294
43,1334.65,1.90031,1.25995,1.13205,0.71845,0.39667,0.46238,0.24974,1.8788,1.25818,1.1133,0.007228,0.007228,0.007228
44,1366.12,1.88906,1.27441,1.12559,0.72344,0.38502,0.45303,0.24565,1.86032,1.28367,1.12024,0.007162,0.007162,0.007162
45,1395.27,1.88236,1.22987,1.10539,0.71164,0.40158,0.46724,0.24981,1.8748,1.24891,1.11555,0.007096,0.007096,0.007096
46,1424.99,1.82787,1.20615,1.11208,0.75504,0.40197,0.4817,0.25943,1.84057,1.24211,1.10588,0.00703,0.00703,0.00703
47,1457.65,1.84723,1.20657,1.11125,0.73169,0.40592,0.47143,0.25435,1.87149,1.23468,1.11046,0.006964,0.006964,0.006964
48,1487.44,1.8067,1.18475,1.10131,0.70933,0.41302,0.4785,0.25455,1.84216,1.22726,1.10361,0.006898,0.006898,0.006898
49,1517.91,1.80179,1.17391,1.10101,0.73722,0.40543,0.47343,0.24903,1.88851,1.23851,1.11421,0.006832,0.006832,0.006832
50,1546.8,1.79937,1.17136,1.09565,0.70456,0.4024,0.47178,0.25661,1.87593,1.24591,1.11198,0.006766,0.006766,0.006766
51,1575.44,1.81748,1.20339,1.10559,0.6986,0.40542,0.46636,0.25047,1.83862,1.24257,1.09535,0.0067,0.0067,0.0067
52,1608.24,1.85622,1.21652,1.11161,0.70578,0.41384,0.47816,0.25781,1.83611,1.22076,1.10394,0.006634,0.006634,0.006634
53,1637.53,1.81773,1.2111,1.10987,0.71084,0.4112,0.47703,0.26077,1.81413,1.21773,1.09439,0.006568,0.006568,0.006568
54,1668.85,1.78137,1.14698,1.08091,0.71724,0.4122,0.48057,0.26829,1.80682,1.19387,1.0916,0.006502,0.006502,0.006502
55,1698.01,1.78142,1.1582,1.10296,0.74282,0.41864,0.48894,0.27019,1.80378,1.19958,1.09265,0.006436,0.006436,0.006436
56,1727.3,1.78485,1.16641,1.09123,0.72568,0.4202,0.48035,0.26247,1.78759,1.20044,1.09001,0.00637,0.00637,0.00637
57,1758.05,1.78821,1.17971,1.0812,0.74156,0.42211,0.49338,0.26875,1.8014,1.19027,1.09201,0.006304,0.006304,0.006304
58,1788.55,1.78628,1.14032,1.09301,0.72562,0.42718,0.49215,0.26351,1.81742,1.18981,1.0937,0.006238,0.006238,0.006238
59,1819.17,1.77291,1.14446,1.08792,0.73611,0.42392,0.49091,0.26875,1.78088,1.18095,1.08235,0.006172,0.006172,0.006172
60,1851.53,1.76183,1.14027,1.09489,0.7149,0.42755,0.48953,0.27292,1.76851,1.17353,1.07172,0.006106,0.006106,0.006106
61,1881.41,1.72865,1.09997,1.0954,0.74474,0.42677,0.49599,0.27206,1.78624,1.15961,1.08223,0.00604,0.00604,0.00604
