epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.959,5.11003,5.82578,3.30927,0.21657,0.01329,0.00463,0.00122,4.50388,4.34923,2.60878,0.0701071,0.00332143,0.00332143
2,78.1763,4.24024,3.51539,2.21382,0.22217,0.01519,0.00686,0.00177,4.03232,4.27048,1.96948,0.0400632,0.00661084,0.00661084
3,108.623,3.87535,3.20272,1.86976,0.22907,0.01724,0.01141,0.00293,4.10049,3.44612,2.09838,0.0099753,0.00985625,0.00985625
4,139.113,3.54092,2.94018,1.67111,0.69648,0.0361,0.02993,0.00884,3.43672,2.90717,1.62583,0.009802,0.009802,0.009802
5,177.474,3.29053,2.7234,1.52656,0.30071,0.09012,0.04532,0.01565,3.15977,2.66764,1.43267,0.009736,0.009736,0.009736
6,207.459,3.11634,2.57055,1.44653,0.68831,0.07314,0.05687,0.01971,3.1885,3.27103,1.47945,0.00967,0.00967,0.00967
7,234.918,3.01987,2.51202,1.40993,0.38271,0.11199,0.08327,0.03259,3.01584,2.30493,1.39223,0.009604,0.009604,0.009604
8,261.702,2.95767,2.32653,1.3552,0.15945,0.12692,0.08912,0.03127,3.06883,2.27404,1.32734,0.009538,0.009538,0.009538
9,289.677,2.87675,2.22722,1.32583,0.48728,0.1568,0.13859,0.05482,2.79124,2.17122,1.27872,0.009472,0.009472,0.009472
10,316.172,2.8336,2.19985,1.31112,0.34648,0.18244,0.15983,0.06391,2.75342,2.01751,1.30523,0.009406,0.009406,0.009406
11,342.284,2.75783,2.08284,1.2802,0.35765,0.18679,0.16265,0.06579,2.72796,1.98575,1.25116,0.00934,0.00934,0.00934
12,370.149,2.74617,2.07475,1.26841,0.48089,0.21257,0.20808,0.08461,2.63039,1.92311,1.21326,0.009274,0.009274,0.009274
13,400.471,2.65644,1.93984,1.22732,0.44992,0.20366,0.20313,0.08359,2.60908,1.88966,1.20622,0.009208,0.009208,0.009208
14,426.399,2.58891,1.86528,1.21825,0.54005,0.20759,0.23605,0.09957,2.59785,1.79509,1.19341,0.009142,0.009142,0.009142
15,457.59,2.52556,1.79991,1.19969,0.37742,0.20289,0.19689,0.08472,2.68554,1.87275,1.20543,0.009076,0.009076,0.009076
16,485.556,2.49835,1.79706,1.21634,0.54402,0.25071,0.26184,0.10931,2.46743,1.773,1.16888,0.00901,0.00901,0.00901
17,513.955,2.49661,1.803,1.20852,0.54532,0.25517,0.27712,0.12399,2.37633,1.69583,1.14789,0.008944,0.008944,0.008944
18,542.977,2.4831,1.73312,1.18565,0.55563,0.26348,0.28505,0.11968,2.35705,1.66307,1.15598,0.008878,0.008878,0.008878
19,582.029,2.46459,1.69477,1.17713,0.60425,0.2693,0.30287,0.13791,2.329,1.61977,1.13925,0.008812,0.008812,0.008812
20,609.506,2.38225,1.63521,1.15258,0.54477,0.26882,0.28792,0.12511,2.3677,1.62316,1.13328,0.008746,0.008746,0.008746
21,636.558,2.39559,1.67768,1.15692,0.5882,0.29041,0.32327,0.1459,2.31304,1.58234,1.12541,0.00868,0.00868,0.00868
22,665.631,2.33626,1.60426,1.16455,0.58947,0.29006,0.32293,0.14168,2.32015,1.53323,1.1318,0.008614,0.008614,0.008614
23,692.907,2.30132,1.56829,1.15573,0.60089,0.29528,0.3259,0.14707,2.26038,1.51742,1.10577,0.008548,0.008548,0.008548
24,721.291,2.34159,1.59656,1.1354,0.55928,0.26166,0.29498,0.1318,2.35654,1.59199,1.12026,0.008482,0.008482,0.008482
25,747.205,2.2952,1.53345,1.14429,0.57367,0.29164,0.31911,0.14739,2.28762,1.51608,1.1091,0.008416,0.008416,0.008416
26,773.622,2.27286,1.4582,1.12911,0.61407,0.29615,0.33463,0.15214,2.20686,1.48396,1.09532,0.00835,0.00835,0.00835
27,803.347,2.28616,1.52242,1.13688,0.63393,0.29136,0.33087,0.14536,2.28028,1.51576,1.10846,0.008284,0.008284,0.008284
28,836.451,2.23134,1.46474,1.12025,0.63327,0.30733,0.35895,0.1669,2.23274,1.44534,1.09018,0.008218,0.008218,0.008218
29,865.437,2.26089,1.46638,1.11824,0.66859,0.31024,0.362,0.16646,2.22231,1.45509,1.09664,0.008152,0.008152,0.008152
30,894.812,2.2324,1.45423,1.11735,0.65449,0.31993,0.35947,0.16134,2.18291,1.45091,1.09008,0.008086,0.008086,0.008086
31,922.685,2.21955,1.4333,1.10097,0.63003,0.30073,0.34049,0.16026,2.22425,1.48698,1.08601,0.00802,0.00802,0.00802
32,952.065,2.19725,1.42656,1.10722,0.62988,0.30943,0.3574,0.16246,2.2829,1.45968,1.10119,0.007954,0.007954,0.007954
33,982.173,2.15572,1.39219,1.09356,0.65604,0.3276,0.37619,0.18121,2.13084,1.48576,1.06917,0.007888,0.007888,0.007888
34,1018.27,2.20477,1.44123,1.10121,0.63738,0.32378,0.36371,0.17037,2.17408,1.41168,1.07222,0.007822,0.007822,0.007822
35,1053.99,2.14977,1.40778,1.0882,0.67175,0.33692,0.3965,0.19191,2.11342,1.44228,1.06513,0.007756,0.007756,0.007756
36,1080.63,2.114,1.35858,1.07294,0.663,0.33919,0.38816,0.18607,2.10369,1.36508,1.0577,0.00769,0.00769,0.00769
