epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.4,4.37435,4.43478,2.85142,0.03809,0.04437,0.01679,0.00494,3.82968,3.16409,2.10939,0.0700358,0.00332936,0.00332936
2,172.139,3.29448,2.91059,1.84933,0.15087,0.08921,0.04474,0.01484,3.43576,3.1697,1.72771,0.0399918,0.00661872,0.00661872
3,258.115,3.01327,2.52921,1.63664,0.25889,0.17708,0.12719,0.05205,2.86037,4.47956,1.50657,0.00990385,0.00986407,0.00986407
4,337.755,2.83864,2.32368,1.52586,0.42104,0.22569,0.21546,0.08524,2.66174,1.99625,1.39689,0.009802,0.009802,0.009802
5,419.788,2.67979,2.07103,1.4418,0.44006,0.26983,0.26861,0.11549,2.47121,1.85993,1.32991,0.009736,0.009736,0.009736
6,501.646,2.55429,1.90004,1.38684,0.54529,0.28382,0.31353,0.13762,2.36729,1.78294,1.2887,0.00967,0.00967,0.00967
7,585.39,2.50803,1.82577,1.36494,0.60075,0.27932,0.31992,0.14328,2.29221,1.83797,1.27463,0.009604,0.009604,0.009604
8,670.615,2.43155,1.72525,1.32688,0.59128,0.29471,0.33424,0.1524,2.27642,1.69293,1.24467,0.009538,0.009538,0.009538
9,755.791,2.39104,1.66792,1.30541,0.61816,0.31783,0.36115,0.17096,2.20924,1.49191,1.23123,0.009472,0.009472,0.009472
10,839.357,2.3293,1.5797,1.29369,0.64165,0.32887,0.39161,0.18713,2.19276,1.51511,1.22727,0.009406,0.009406,0.009406
11,924.342,2.30315,1.56291,1.27654,0.62542,0.33844,0.38534,0.18343,2.15039,1.46233,1.20489,0.00934,0.00934,0.00934
12,1003.9,2.26877,1.50375,1.25666,0.65353,0.33116,0.38481,0.18966,2.08186,1.49416,1.18241,0.009274,0.009274,0.009274
13,1087.34,2.26732,1.50237,1.25422,0.64247,0.35348,0.39611,0.18865,2.10432,1.4363,1.18762,0.009208,0.009208,0.009208
14,1169.54,2.23579,1.4656,1.23558,0.69819,0.35115,0.42622,0.21387,2.0358,1.39562,1.15378,0.009142,0.009142,0.009142
15,1258.17,2.20357,1.40759,1.22985,0.66217,0.36212,0.41115,0.19533,2.07722,1.3707,1.17736,0.009076,0.009076,0.009076
16,1340.77,2.1852,1.40573,1.22995,0.66221,0.37325,0.42661,0.21193,2.0177,1.34006,1.15177,0.00901,0.00901,0.00901
17,1420.85,2.15149,1.38705,1.2222,0.65755,0.36349,0.42338,0.21928,2.00831,1.3566,1.15027,0.008944,0.008944,0.008944
18,1502.68,2.14164,1.35887,1.21545,0.68204,0.3821,0.43762,0.22309,1.98394,1.32115,1.14505,0.008878,0.008878,0.008878
19,1583.99,2.13851,1.35718,1.20641,0.67149,0.3882,0.43152,0.21567,1.95594,1.28792,1.13147,0.008812,0.008812,0.008812
20,1667.07,2.11877,1.3363,1.20667,0.68762,0.38356,0.44339,0.21985,1.97466,1.26887,1.13122,0.008746,0.008746,0.008746
21,1748,2.10354,1.31789,1.19808,0.7081,0.39487,0.45626,0.23237,1.95063,1.27492,1.12945,0.00868,0.00868,0.00868
22,1834.63,2.10171,1.29005,1.18125,0.70297,0.40651,0.461,0.23794,1.92544,1.2415,1.12112,0.008614,0.008614,0.008614
23,1917.48,2.06418,1.2948,1.18219,0.71105,0.40477,0.46671,0.24783,1.90311,1.22546,1.1151,0.008548,0.008548,0.008548
24,2002.91,2.07059,1.28641,1.18487,0.72639,0.3996,0.4701,0.24532,1.91823,1.26036,1.11126,0.008482,0.008482,0.008482
25,2085.81,2.05296,1.26353,1.17661,0.7049,0.4205,0.47703,0.24737,1.8744,1.21935,1.10284,0.008416,0.008416,0.008416
26,2165.71,2.05463,1.26928,1.16705,0.72933,0.4112,0.47793,0.2446,1.92421,1.22923,1.11522,0.00835,0.00835,0.00835
27,2250.41,2.03514,1.2418,1.16275,0.70708,0.40854,0.47017,0.2534,1.85081,1.22313,1.09723,0.008284,0.008284,0.008284
28,2331.7,2.0124,1.20845,1.1581,0.71916,0.41365,0.47085,0.24748,1.85198,1.19412,1.0984,0.008218,0.008218,0.008218
29,2415.1,2.0239,1.23084,1.16721,0.7128,0.41274,0.46957,0.24474,1.87667,1.20659,1.098,0.008152,0.008152,0.008152
30,2496.9,2.02707,1.23112,1.1524,0.71212,0.41944,0.48136,0.25903,1.8609,1.19233,1.09586,0.008086,0.008086,0.008086
31,2576.6,2.01137,1.20078,1.15302,0.72144,0.42605,0.48497,0.25408,1.87747,1.18417,1.09785,0.00802,0.00802,0.00802
32,2657.31,1.9805,1.1858,1.15923,0.71998,0.42695,0.48638,0.26086,1.8522,1.16558,1.09407,0.007954,0.007954,0.007954
33,2739.23,1.98983,1.19567,1.14856,0.73544,0.42868,0.49497,0.26517,1.82905,1.15072,1.0871,0.007888,0.007888,0.007888
34,2824.4,1.99312,1.18556,1.13921,0.73909,0.42337,0.4936,0.26243,1.83436,1.15385,1.0844,0.007822,0.007822,0.007822
35,2910.05,1.9605,1.16655,1.14461,0.72949,0.4333,0.49278,0.26857,1.80983,1.13717,1.08286,0.007756,0.007756,0.007756
36,2991.86,1.98281,1.16563,1.14326,0.70073,0.43785,0.48858,0.26714,1.8088,1.14096,1.08056,0.00769,0.00769,0.00769
37,3069.67,1.97458,1.17423,1.14817,0.73137,0.44056,0.49812,0.2672,1.81128,1.14805,1.08368,0.007624,0.007624,0.007624
38,3149.51,1.96817,1.16413,1.1409,0.72336,0.4436,0.49619,0.26518,1.81693,1.15704,1.08578,0.007558,0.007558,0.007558
39,3230.06,1.94941,1.14638,1.13596,0.7356,0.43822,0.50513,0.27571,1.7904,1.12482,1.07378,0.007492,0.007492,0.007492
40,3311.86,1.94266,1.14576,1.13284,0.74765,0.4407,0.50478,0.27566,1.78365,1.11853,1.07311,0.007426,0.007426,0.007426
41,3396.05,1.92465,1.1369,1.13522,0.74091,0.4393,0.49981,0.27067,1.79916,1.11235,1.07402,0.00736,0.00736,0.00736
42,3476.4,1.92992,1.14283,1.12561,0.72791,0.44814,0.50222,0.27642,1.76844,1.12383,1.06918,0.007294,0.007294,0.007294
43,3554.5,1.94155,1.14287,1.12624,0.74162,0.43519,0.49428,0.26638,1.80522,1.11635,1.07464,0.007228,0.007228,0.007228
44,3638.22,1.94027,1.13824,1.12062,0.73994,0.44917,0.50792,0.27701,1.78473,1.11337,1.07331,0.007162,0.007162,0.007162
45,3720.98,1.93601,1.12668,1.11796,0.75943,0.44555,0.51011,0.28296,1.7502,1.10225,1.06328,0.007096,0.007096,0.007096
46,3802.2,1.93375,1.12901,1.12966,0.74128,0.44929,0.51249,0.28588,1.74933,1.09092,1.05948,0.00703,0.00703,0.00703
47,3882.64,1.89141,1.09981,1.12415,0.75839,0.44802,0.51868,0.28319,1.75626,1.09229,1.06235,0.006964,0.006964,0.006964
48,3963.48,1.91738,1.11166,1.11921,0.75073,0.45333,0.51877,0.28984,1.73938,1.08556,1.05819,0.006898,0.006898,0.006898
49,4043.49,1.8963,1.09674,1.11362,0.75611,0.45047,0.51465,0.28375,1.77063,1.08939,1.06121,0.006832,0.006832,0.006832
50,4127.56,1.92783,1.11968,1.10984,0.75011,0.4517,0.51491,0.28502,1.75097,1.07171,1.0612,0.006766,0.006766,0.006766
51,4208.74,1.90277,1.0917,1.10645,0.76261,0.44837,0.51629,0.28539,1.74345,1.08537,1.05632,0.0067,0.0067,0.0067
52,4291.33,1.86427,1.07353,1.10976,0.76606,0.45224,0.52588,0.29235,1.75182,1.08811,1.05775,0.006634,0.006634,0.006634
53,4374.16,1.86763,1.06854,1.11073,0.76255,0.45333,0.52083,0.29111,1.73184,1.06797,1.05343,0.006568,0.006568,0.006568
54,4457.83,1.868,1.06612,1.09931,0.76913,0.45764,0.52588,0.29911,1.69784,1.07063,1.04063,0.006502,0.006502,0.006502
55,4541.13,1.88276,1.07401,1.10429,0.74418,0.45874,0.5177,0.2901,1.72523,1.07229,1.05097,0.006436,0.006436,0.006436
56,4624.07,1.8566,1.05877,1.10285,0.74553,0.45385,0.5184,0.29338,1.71325,1.06052,1.04518,0.00637,0.00637,0.00637
57,4704.04,1.87336,1.06632,1.09986,0.78159,0.45523,0.52462,0.2955,1.71175,1.06126,1.04936,0.006304,0.006304,0.006304
58,4789.27,1.88029,1.06309,1.0887,0.77797,0.4515,0.51783,0.28657,1.72331,1.05981,1.04821,0.006238,0.006238,0.006238
59,4874.27,1.87634,1.06788,1.10026,0.76347,0.46001,0.52971,0.30071,1.70929,1.05087,1.04479,0.006172,0.006172,0.006172
60,4960.54,1.86222,1.05835,1.09729,0.76299,0.46271,0.52882,0.29738,1.7199,1.05004,1.04801,0.006106,0.006106,0.006106
61,5045.77,1.8644,1.04722,1.09372,0.7623,0.45034,0.51789,0.29307,1.7309,1.06522,1.04939,0.00604,0.00604,0.00604
62,5128.44,1.86177,1.03988,1.08483,0.78509,0.45176,0.52892,0.29764,1.71642,1.05061,1.04534,0.005974,0.005974,0.005974
63,5207.52,1.85069,1.04216,1.09544,0.76424,0.4693,0.53244,0.29859,1.70806,1.04793,1.04183,0.005908,0.005908,0.005908
64,5291.48,1.8509,1.04846,1.08961,0.7775,0.46039,0.5303,0.2939,1.72065,1.05035,1.04515,0.005842,0.005842,0.005842
65,5373.67,1.8456,1.03494,1.08927,0.77423,0.46386,0.53389,0.30302,1.68459,1.04146,1.0396,0.005776,0.005776,0.005776
66,5454.48,1.8425,1.03929,1.08637,0.76693,0.4674,0.53463,0.30403,1.68096,1.03467,1.03916,0.00571,0.00571,0.00571
67,5538.65,1.84861,1.03402,1.08311,0.75521,0.46642,0.52752,0.29592,1.70285,1.03812,1.04242,0.005644,0.005644,0.005644
68,5620.34,1.82702,1.02286,1.08684,0.75692,0.46756,0.53255,0.3047,1.68896,1.03406,1.0368,0.005578,0.005578,0.005578
69,5695.23,1.82988,1.02563,1.08074,0.77171,0.46723,0.53892,0.30337,1.68594,1.03273,1.03628,0.005512,0.005512,0.005512
70,5772.93,1.82497,1.03862,1.09269,0.76281,0.47003,0.536,0.30583,1.68997,1.02843,1.03678,0.005446,0.005446,0.005446
71,5858.18,1.80963,1.01481,1.08903,0.76774,0.47147,0.53534,0.30699,1.67062,1.02446,1.03211,0.00538,0.00538,0.00538
72,5937.58,1.81894,1.02008,1.08216,0.78128,0.46481,0.53602,0.30297,1.68105,1.02714,1.03591,0.005314,0.005314,0.005314
73,6016.89,1.80948,1.00286,1.07882,0.78302,0.46458,0.53626,0.30504,1.67868,1.02047,1.03581,0.005248,0.005248,0.005248
74,6101.31,1.80768,0.99724,1.07964,0.76889,0.47232,0.53891,0.31267,1.66058,1.01296,1.02888,0.005182,0.005182,0.005182
75,6181.95,1.80911,0.99973,1.07351,0.78478,0.47243,0.54155,0.30725,1.68176,1.01685,1.03249,0.005116,0.005116,0.005116
76,6264.89,1.81326,1.00284,1.0775,0.77307,0.47278,0.54032,0.31043,1.67411,1.01712,1.03409,0.00505,0.00505,0.00505
77,6347.98,1.8096,1.00563,1.08052,0.77726,0.46869,0.53834,0.30773,1.66705,1.01752,1.03027,0.004984,0.004984,0.004984
78,6430.96,1.78629,0.99346,1.07716,0.78305,0.47248,0.54109,0.31099,1.66221,1.00107,1.0272,0.004918,0.004918,0.004918
79,6513.02,1.79658,0.99575,1.07511,0.77812,0.47052,0.54102,0.31538,1.65754,0.99997,1.02655,0.004852,0.004852,0.004852
