epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.422,2.36024,3.39911,1.265,0.25114,0.12303,0.10121,0.05637,2.23102,2.50846,1.16508,0.0701071,0.00332143,0.00332143
2,317.491,2.29617,2.42003,1.16049,0.37008,0.23123,0.20336,0.08864,2.44373,2.32072,1.165,0.0399754,0.006523,0.006523
3,386.399,2.30511,2.20251,1.16102,0.48859,0.27337,0.28297,0.13294,2.19694,2.0026,1.16146,0.00971161,0.00959257,0.00959257
4,566.669,2.2507,2.05105,1.1496,0.55939,0.31313,0.32944,0.16052,2.09235,1.87984,1.11091,0.009406,0.009406,0.009406
5,610.098,2.13655,1.9028,1.1195,0.54869,0.31115,0.32984,0.15879,2.1368,1.84575,1.09838,0.009208,0.009208,0.009208
6,649.901,2.14415,1.82242,1.11335,0.60386,0.33273,0.37709,0.17936,2.09402,1.71265,1.08622,0.00901,0.00901,0.00901
7,750.351,2.09923,1.75126,1.09817,0.62536,0.33877,0.38105,0.18572,2.12621,1.61773,1.09673,0.008812,0.008812,0.008812
8,830.52,2.11108,1.65183,1.09414,0.64345,0.35628,0.40001,0.20486,2.01764,1.64651,1.05919,0.008614,0.008614,0.008614
9,927.095,2.08398,1.59138,1.08115,0.67041,0.36039,0.41401,0.21136,1.98814,1.49753,1.05648,0.008416,0.008416,0.008416
10,1040.32,2.07743,1.59117,1.07535,0.65688,0.32497,0.37909,0.19687,2.00214,1.61557,1.06968,0.008218,0.008218,0.008218
11,1108.74,2.00237,1.52274,1.07034,0.65032,0.36279,0.41568,0.21644,1.95163,1.49734,1.0457,0.00802,0.00802,0.00802
12,1142.2,2.04436,1.55879,1.06104,0.67585,0.38118,0.42991,0.21995,1.98011,1.4472,1.04676,0.007822,0.007822,0.007822
13,1180.64,2.00419,1.47022,1.05057,0.69255,0.38248,0.43434,0.22514,1.94956,1.4566,1.03428,0.007624,0.007624,0.007624
14,1212.43,1.95746,1.44241,1.04524,0.68452,0.37632,0.42926,0.22682,1.96334,1.49141,1.05272,0.007426,0.007426,0.007426
15,1264.03,1.91477,1.37854,1.03911,0.70479,0.39292,0.45827,0.24597,1.88616,1.36714,1.02594,0.007228,0.007228,0.007228
16,1298.99,1.925,1.41228,1.0455,0.70616,0.40694,0.45561,0.23832,1.87338,1.34712,1.02555,0.00703,0.00703,0.00703
17,1471.99,1.91815,1.38693,1.04139,0.71641,0.38716,0.45998,0.2502,1.89756,1.35078,1.03409,0.006832,0.006832,0.006832
18,1567.36,1.93825,1.3918,1.03185,0.7004,0.40201,0.45852,0.24387,1.89769,1.34103,1.02524,0.006634,0.006634,0.006634
19,1684.09,1.91636,1.32826,1.03066,0.69837,0.39665,0.44742,0.23817,1.90418,1.36064,1.03399,0.006436,0.006436,0.006436
20,1779.62,1.86946,1.31815,1.02066,0.68827,0.39988,0.45296,0.24238,1.90387,1.33741,1.01863,0.006238,0.006238,0.006238
21,1855.93,1.89044,1.33449,1.02358,0.70279,0.41565,0.47187,0.25819,1.84093,1.30043,1.01499,0.00604,0.00604,0.00604
22,1912.4,1.84427,1.27729,1.02562,0.72038,0.41738,0.48513,0.2638,1.84106,1.28962,1.00958,0.005842,0.005842,0.005842
23,1943.03,1.83687,1.27115,1.01591,0.71529,0.41983,0.478,0.25791,1.84449,1.29143,1.01416,0.005644,0.005644,0.005644
24,1984.99,1.8732,1.29455,1.01527,0.71141,0.41547,0.47181,0.25862,1.84219,1.2887,1.0055,0.005446,0.005446,0.005446
25,2020.16,1.83541,1.25026,1.01121,0.73259,0.42027,0.48321,0.26315,1.84075,1.25177,1.00952,0.005248,0.005248,0.005248
26,2062.58,1.8177,1.20654,1.00685,0.71996,0.4178,0.48223,0.26265,1.83146,1.2545,1.00427,0.00505,0.00505,0.00505
27,2133.3,1.82254,1.22876,1.00768,0.72989,0.4235,0.48806,0.26843,1.82196,1.2418,1.00117,0.004852,0.004852,0.004852
28,2175.92,1.7903,1.19002,1.00286,0.71386,0.41713,0.48141,0.26249,1.82501,1.23817,1.00195,0.004654,0.004654,0.004654
29,2205.76,1.82702,1.1961,0.99685,0.73982,0.42736,0.491,0.27183,1.82609,1.23781,1.00194,0.004456,0.004456,0.004456
30,2235.53,1.79572,1.1905,0.996,0.7401,0.42646,0.49708,0.27347,1.81045,1.21596,0.99943,0.004258,0.004258,0.004258
31,2264.35,1.79655,1.17246,0.9951,0.7465,0.42097,0.48879,0.27382,1.79607,1.20144,0.99602,0.00406,0.00406,0.00406
32,2294.42,1.77507,1.16192,0.98892,0.73894,0.44039,0.4989,0.27756,1.80211,1.19341,0.99495,0.003862,0.003862,0.003862
33,2321.23,1.74302,1.13679,0.98175,0.73803,0.42702,0.49222,0.28114,1.78259,1.1963,0.99274,0.003664,0.003664,0.003664
34,2349.61,1.78076,1.1701,0.99029,0.74255,0.43468,0.49621,0.27566,1.77786,1.18878,0.99232,0.003466,0.003466,0.003466
35,2384.35,1.7463,1.15166,0.98407,0.73385,0.4391,0.50085,0.27679,1.78301,1.1862,0.99127,0.003268,0.003268,0.003268
36,2456.87,1.72582,1.12481,0.97574,0.7257,0.44564,0.50358,0.28421,1.77236,1.16712,0.98661,0.00307,0.00307,0.00307
37,2563.29,1.70896,1.1147,0.98191,0.73251,0.43819,0.50089,0.28115,1.7766,1.17033,0.98671,0.002872,0.002872,0.002872
38,2645.9,1.72274,1.12563,0.97765,0.72505,0.44476,0.50257,0.28292,1.77234,1.16265,0.98642,0.002674,0.002674,0.002674
39,2791.88,1.76178,1.13182,0.98087,0.73807,0.43818,0.50161,0.28119,1.76909,1.1657,0.98881,0.002476,0.002476,0.002476
40,2855.63,1.69779,1.09112,0.97259,0.74881,0.43769,0.50436,0.28405,1.77242,1.15446,0.98634,0.002278,0.002278,0.002278
41,2887.66,1.74203,1.30746,1.00154,0.74923,0.44025,0.50763,0.285,1.78463,1.18946,0.98858,0.00208,0.00208,0.00208
42,2915.67,1.74819,1.21525,0.99113,0.74951,0.44184,0.50244,0.28329,1.76375,1.15971,0.98538,0.001882,0.001882,0.001882
43,2943.19,1.74525,1.20268,0.99343,0.7394,0.44011,0.50399,0.28746,1.75972,1.16667,0.98426,0.001684,0.001684,0.001684
44,2969.02,1.74064,1.20124,0.98409,0.7392,0.44429,0.51186,0.29173,1.76588,1.16929,0.98564,0.001486,0.001486,0.001486
45,2996.64,1.70749,1.16313,0.98506,0.72969,0.44791,0.51186,0.29392,1.755,1.15293,0.97883,0.001288,0.001288,0.001288
46,3023.36,1.69025,1.15178,0.98502,0.73736,0.44286,0.5078,0.2927,1.74663,1.14788,0.97861,0.00109,0.00109,0.00109
47,3049.25,1.71724,1.14696,0.97868,0.74187,0.44426,0.50954,0.29349,1.74596,1.14849,0.97984,0.000892,0.000892,0.000892
48,3075.2,1.71022,1.20924,0.97677,0.75138,0.44524,0.51326,0.29393,1.73699,1.14258,0.97671,0.000694,0.000694,0.000694
49,3106.55,1.69678,1.16334,0.98042,0.75614,0.44968,0.51494,0.29427,1.73393,1.13769,0.97731,0.000496,0.000496,0.000496
